source,target
Big New Max,Big New Max
Big New Better,Big New Better
3ds Max,3ds Max
3ds Max Design,3ds Max Design
Filmbox,Filmbox
NTSC,NTSC
fps,fps
AutoCAD Electrical,AutoCAD Electrical
Autodesk AutoCAD Electrical Rogue,Autodesk AutoCAD Electrical Rogue
WMFCheck,WMFCheck
AutoCAD Revit Architecture Suite,AutoCAD Revit Architecture Suite
Only One. AutoCAD.,Only One. AutoCAD.
Design Web Format,Design Web Format
SketchUp,SketchUp
Ohm,Ohm
KMZ,KMZ
i-drop Enhancer,i-drop Enhancer
PolarSnap,PolarSnap
mental ray,mental ray
Keyhole Markup Language,Keyhole Markup Language
XSL,XSL
KML,KML
DMS,DMS
Extensible Markup Language,Extensible Markup Language
Extensible Stylesheet Language,Extensible Stylesheet Language
Google Earth,Google Earth
Autodesk Content Explorer,Autodesk Content Explorer
ATIL,ATIL
ObjectARX,ObjectARX
ESW,ESW
AutoCAD OEM,AutoCAD OEM
CSS,CSS
CV,CV
ShapeManager,ShapeManager
DWF,DWF
DWG Convert,DWG Convert
DXF,DXF
DPI,DPI
Drawing Interchange Format,Drawing Interchange Format
Digital Signature Extension,Digital Signature Extension
Associative QDIM extension,Associative QDIM extension
AutoCAD LT,AutoCAD LT
DOF,DOF
QR Codes,QR Codes
AutoCAD Migration Assistance,AutoCAD Migration Assistance
AutoCAD including specialized toolsets,AutoCAD including specialized toolsets
ACA,ACA
Volo View Express,Volo View Express
BLOCKMRULIST,BLOCKMRULIST
BLOCKNAVIGATE,BLOCKNAVIGATE
SHX,SHX
Autodesk Assistant,Autodesk Assistant
ACTM,ACTM
AutoCAD for Mac,AutoCAD for Mac
AutoCAD LT for Mac,AutoCAD LT for Mac
Helius PFA,Helius PFA
Helius Composite,Helius Composite
kPa,kPa
lbf,lbf
Design Review,Design Review
Pro,Pro
A360 Rendering,A360 Rendering
A360 Team,A360 Team
A360,A360
AutoCAD 360,AutoCAD 360
BIM 360,BIM 360
DRM,DRM
Advance Steel,Advance Steel
Rilsan Invent Natural,Rilsan Invent Natural
Autodesk Knowledge Network,Autodesk Knowledge Network
Alias SpeedForm,Alias SpeedForm
Alias Concept,Alias Concept
Alias Design,Alias Design
Alias AutoStudio,Alias AutoStudio
Alias Surface,Alias Surface
Alias,Alias
AutoCAD Mechanical,AutoCAD Mechanical
BlueSnap,BlueSnap
AutoCAD Raster Design,AutoCAD Raster Design
Tinkerplay,Tinkerplay
Vehicle Tracking,Vehicle Tracking
Configurator 360,Configurator 360
LP,LP
LF,LF
Ia,Ia
DEM,DEM
XDRef,XDRef
EVCE,EVCE
HGL,HGL
DECDEG,DECDEG
HP,HP
AutoCAD Civil 3D,AutoCAD Civil 3D
EVC,EVC
BVCE,BVCE
BVC,BVC
BVCS,BVCS
DTM,DTM
HDS,HDS
ALKIS,ALKIS
ArcGIS,ArcGIS
FGDB,FGDB
DWG TrueConvert,DWG TrueConvert
Autodesk Fabrication,Autodesk Fabrication
FeatureCAM,FeatureCAM
SolidWorks,SolidWorks
XBUILD,XBUILD
FormIt,FormIt
Fusion,Fusion
Fusion 360,Fusion 360
Ansys Discovery,Ansys Discovery
Ansys Mechanical,Ansys Mechanical
F3Z,F3Z
AutoCAD DXF,AutoCAD DXF
Revit MEP,Revit MEP
Parallels Desktop,Parallels Desktop
VMware Fusion,VMware Fusion
Revit Architecture,Revit Architecture
Revit Structure software,Revit Structure software
Bridge Design for InfraWorks 360,Bridge Design for InfraWorks 360
Drainage Design for Infraworks 360,Drainage Design for Infraworks 360
InfraWorks 360,InfraWorks 360
Roadway Design for InfraWorks 360,Roadway Design for InfraWorks 360
InfraWorks 360 LT,InfraWorks 360 LT
Instructables,Instructables
iProperties,iProperties
iCopy,iCopy
iFeatures,iFeatures
DSS,DSS
Being Inventive,Being Inventive
Inventor LT,Inventor LT
Inventor,Inventor
Inventor Professional,Inventor Professional
Inventor LT Suite,Inventor LT Suite
AutoCAD Inventor LT Suite,AutoCAD Inventor LT Suite
DRF,DRF
Inventor CAM,Inventor CAM
Autodesk Prodsmart,Autodesk Prodsmart
LIVE,LIVE
DTED,DTED
FDO,FDO
AutoCAD Map 3D,AutoCAD Map 3D
Autodesk Docs,Autodesk Docs
Big New Maya,Big New Maya
Maya,Maya
Maya LT,Maya LT
MatchMover,MatchMover
M&E,M&E
Bifrost Graph Editor,Bifrost Graph Editor
Blue Sky Studios,Blue Sky Studios
Bifrost Ocean Simulation System,Bifrost Ocean Simulation System
OpenEXR,OpenEXR
MUD,MUD
OBJ,OBJ
Mudbox,Mudbox
Meshmixer,Meshmixer
Token Flex,Token Flex
Piranesi EPix,Piranesi EPix
Navisworks Exporters,Navisworks Exporters
Roamer,Roamer
TimeLiner,TimeLiner
Navisworks,Navisworks
Navisworks Manage,Navisworks Manage
Navisworks Freedom,Navisworks Freedom
Navisworks Simulate,Navisworks Simulate
Netfabb,Netfabb
Arcam EBM Spectra H,Arcam EBM Spectra H
Autodesk Cloud,Autodesk Cloud
Autodesk Netfabb,Autodesk Netfabb
Autodesk Spark,Autodesk Spark
Arcam,Arcam
ASCII STL,ASCII STL
Checkerboard hatching,Checkerboard hatching
CLF,CLF
CLI,CLI
CLS,CLS
Compressed Mesh,Compressed Mesh
GTS,GTS
IGES,IGES
ILT,ILT
NCM,NCM
NetProject,NetProject
OpenJob,OpenJob
Scalable Vector Graphics,Scalable Vector Graphics
Solidscape,Solidscape
Stratasys,Stratasys
USF,USF
ZPR,ZPR
Hangul Banja,Hangul Banja
Hangul Hanja,Hangul Hanja
Hiragana,Hiragana
Hiragana Katakana,Hiragana Katakana
Katakana,Katakana
Zenkaku Hankaku,Zenkaku Hankaku
UTF,UTF
Henkan,Henkan
Ogham,Ogham
Gurmukhi,Gurmukhi
Thaana,Thaana
Nastran,Nastran
Nastran In-CAD,Nastran In-CAD
Fusion Lifecycle,Fusion Lifecycle
PIP,PIP
ISA,ISA
AutoCAD P&ID,AutoCAD P&ID
AutoCAD Plant 3D,AutoCAD Plant 3D
PowerInspect,PowerInspect
PowerMill,PowerMill
PowerShape,PowerShape
ReCap 360,ReCap 360
Photo on ReCap 360,Photo on ReCap 360
Rendering in A360,Rendering in A360
AutoCAD Revit LT Suite,AutoCAD Revit LT Suite
Batch Print,Batch Print
Revit LT,Revit LT
Revit,Revit
Structural Analysis for Revit,Structural Analysis for Revit
Revit Collaboration Suite,Revit Collaboration Suite
P&ID Modeler,P&ID Modeler
Simulation CFD Viewer,Simulation CFD Viewer
Simulation CFD 3D Viewer,Simulation CFD 3D Viewer
CFD Motion,CFD Motion
CFD Advanced,CFD Advanced
CFD,CFD
Shotgun,Shotgun
