source,target
3D Move gizmo,أداة التحريك ثلاثية الأبعاد
3D Rotate gizmo,أداة التدوير ثلاثية الأبعاد
3D Scale gizmo,أداة رؤية ثلاثية الأبعاد
Action Editor,محرر الإجراءات
AEC content,محتوى مُخصص للهندسة والبناء والإنشاء
AEC entity,عنصر مُخصص للهندسة والبناء والإنشاء
AEC object,كائن مُخصص للهندسة والبناء والإنشاء
aligned dimension,البُعد المحاذي
aligned section view,عرض مقطع محاذي
ALKIS,ALKIS
all-around symbol,رمز شامل
alpha-blend,دمج شفافية الطبقات
alternate unit,الوحدة البديلة
analytical surface,السطح التحليلي
angle of deflection,زاوية الانحراف
annotation,تعليق
annotational constraint,قيد توضيحي
annotative object,كائن توضيحي
anode,أنود
anode station,محطة الأنود
appearance style,نمط المظهر
arc,قوس
arc length,طول القوس
arc radius,نصف قطر القوس
arc segmentation,تقسيم القوس
arc-chord distance,المسافة بين القوس والوتر
area value,قيمة المنطقة
ARG,ملف ARG
assembly extraction template,قالب استخراج التجميع
associative array,مصفوفة ترابطية
associative QDIM extension,Associative QDIM extension
assumed nozzle,فوهة مفترضة
ATIL,ATIL
AutoCAD color index,مؤشر ألوان AutoCAD
AutoCAD Mobile,AutoCAD للأجهزة المحمولة
Autocad Mobile app,تطبيق Autocad للأجهزة المحمولة
AutoComplete,إكمال تلقائي
Autodesk Assistant,مساعد Autocad
Autodesk Manufacturing Community Portal,بوابة مجتمع Autodesk للتصنيع
AutoLISP development,تطوير AutoLISP
AutoLISP environment,بيئة AutoLISP
auxiliary coordinate system,نظام الإحداثيات المساعد
axial stress,الإجهاد المحوري
axiality,المحورية
azimuth,السمت
ball mill,طاحونة الكرات
base point,نقطة الأساس
Batch Standards Checker,أداة التحقق من تطبيق المعايير
baud rate,سرعة نقل الإشارات في الاتصال
BDA,بيانات ميدانية
below grade,تحت مستوى الأرض
bevel groove weld,لحام بحز مشطوف
bill of materials,قائمة المواد
binary large object,كائن ثنائي كبير
bitonal image,صورة ثنائية اللون
blend mode,وضع الدمج
blend surface,سطح الدمج
BLOB,BLOB
block authoring object,كائن تأليف الكتل
block definition,تعريف الكتلة
block library,مكتبة الكتل
block properties table,جدول خصائص الكتلة
block replacement,استبدال الكتلة
Blocks palette,واجهة اختيار الكتل
BOM grid,شبكة قائمة المواد (BOM)
bounded area,مساحة محدودة
bounding area,المنطقة المحيطة
branch circuit,دائرة فرعية
break loop,كسر الحلقة
break point,نقطة التوقف
breakpoint,نقطة التوقف
bulge,ارتفاع المنحنى
bulge factor,معامل ارتفاع المنحنى
bulk copy,نسخ بيانات بكميات كبيرة
bump,بروز
bump map,تخطيط البروز
bump mapping,مخطط البروز
cable tray,مجرى الكابلات
cable tray fitting,تركيب مجرى الكابلات
camera calibration,معايرة الكاميرا
camera glyph,رمز الكاميرا
cap filleting,تنعيم الحواف بالتغطية
cap height,ارتفاع التغطية
caret,مؤشر الإدخال
cascading style sheets,أوراق الأنماط المتتالية
catalog browser,متصفح الكتالوج
catalog number,رقم الكتالوج
Catmull-Clark subdivision surface,سطح التقسيم الفرعي كاتمول-كلارك
center line,خط المنتصف
center mark,علامة المنتصف
center point,نقطة المنتصف
chamfer,شطف الزاوية
character large object,كائن نصي كبير
cinematic shot,لقطة سينمائية
circlip,حلقة قفل
clip volume,حجم القفل
clipping plane,مستوى القص
CLOB,CLOB
closed edge,حافة مغلقة
code combination,مجموعة الرموز
cold grip,مقبض غير نشط
cold water fixture unit,وحدة قياس تدفق المياه الباردة
colinear constraint,قيود التوازي الخطي
collected balloons,البالونات المجمعة
collection,مجموعة
color book,كتاب الألوان
colorbook,كتاب الألوان
combustion chamber,غرفة الاحتراق
comminuting machine,آلة الطحن
component list,قائمة المكونات
composite solid,جسم مركب
composite symbol,رمز المركب
compound joint,وصلة مركبة
compound symbol,رمز المركب
compression,ضغط
compression end,طرف الضغط
conduit,أنبوب
conduit fitting,توصيل الأنبوب
connector pin,سن التوصيل
constrained object,كائن مقيّد
constraint,قيد
constraint bar,شريط القيود
constraint parameter,معامل القيد
constraint point,نقطة القيد
constraint variable,متغير القيد
construction line,خط الإنشاء
Content Editor,محرر المحتوى
content library,مكتبة المحتوى
content pack,حزمة المحتوى
control hull,هيكل التحكم
control point,نقطة التحكم
control vertex,نقطة التحكم
control vertex hull,هيكل نقطة التحكم
control vertices hull,هيكل نقاط التحكم
coordinate system tracker,متتبع نظام الإحداثيات
corner point,نقطة الزاوية
cross section,مقطع عرضي
CRS,CRS
CS library,مكتبة نظام الإحداثيات (CS)
CSS,CSS
CUI editor,محرر واجهة المستخدم المُخصصة (CUI)
current directory,الدليل الحالي
curvature analysis,تحليل الانحناء
customer error reporting,تقارير أخطاء العملاء
customer support,خدمة العملاء
cutting line,خط القطع
CWFU,CWFU
datum,نقطة مرجعية
datum identifier,معرف النقطة المرجعية
datum note,ملاحظة النقطة المرجعية
datumpoint,النقطة المرجعية
DCM Engine,محرك DCM
dead joint symbol,رمز الوصلة غير النشطة
default lighting,الإضاءة الافتراضية
default mleader style,النمط الافتراضي للأسهم
default plot style,النمط الافتراضي للرسم
default table style,النمط الافتراضي للجدول
DEFPOINTS,نقاط التحديد
dependency highlighting,تمييز التبعيات
depth of field,عمق المجال
Design Review,Design Review
Design Web Format,Design Web Format
destination arrow,سهم الوجهة
destination signal arrow,سهم إشارة الوجهة
diameter,قُطر
diffuse map,خريطة الانتشار
digital elevation model,نموذج الارتفاع الرقمي
Digital Signature extension,Digital Signature Extension
digitizer puck,أداة مؤشر الجهاز الرقمي
digitizing tablet,جهاز لوحي رقمي
dimension association,ارتباط الأبعاد
dimension constraint,قيد الأبعاد
dimension line,خط الأبعاد
dimension style,نمط الأبعاد
dimensional constraint,قيود الأبعاد
distributed rendering,المعالجة الموزعة للرسوميات
DMS,DMS
DOF,DOF
dots per inch,نقطة في البوصة
DPI,DPI
draft analysis,تحليل المسودة
draggable dimension,بُعد القابل للسحب
drawing congestion,ازدحام الرسم
drawing folder,مجلد الرسم
Drawing Interchange Format,Drawing Interchange Format
Drawing Manager,مدير الرسومات
drawing source,مصدر الرسم
drawtime,وقت الرسم
driven constraint,قيد تابع
driving dimension,البعد المُحدد
DTED,DTED
duct fitting,تركيب القناة
dump,نسخة احتياطية
DWF,DWF
DWG Convert,DWG Convert
DWG TrueConvert,DWG TrueConvert
DXF,DXF
dynamic constraint,قيد ديناميكي
edit in place,تحرير في الموقع
editing tool,أداة تحرير
ejector,أداة الإخراج
elbow,كوع
emitter,باعث
end point,نقطة النهاية
enhanced secondary window,نافذة ثانوية محسّنة
enhanced viewer,عارض محسّن
environment map,خريطة البيئة
EPSG code,رمز EPSG
ESW,ESW
evaluation version,نسخة تجريبية
Expression Builder,أداة إنشاء التعبيرات
extended help file,ملف المساعدة المطول
Extensible Markup Language,Extensible Markup Language
Extensible Stylesheet Language,Extensible Stylesheet Language
extension line,خط الامتداد
External Reference Manager,مدير المراجع الخارجية
extraction template,قالب الاستخراج
fabricated equipment,الأدوات المُصنعة
facet,جانب
fast breeder reactor,مفاعل التكاثر السريع
FDO,FDO
features,ميزات
FG,التجميع النهائي
fill pattern,نمط التعبئة
final gathering,التجمع النهائي
fit point,نقطة الملاءمة
flow arrow,سهم التدفق
flow direction,اتجاه التدفق
