source,target
3D Move gizmo,3D 移動控點
3D Rotate gizmo,3D 旋轉控點
3D Scale gizmo,3D 縮放控點
ACS,ACS
ACTM,ACTM
Aligned Dimension,對齊標註
aligned section view,對齊剖面視圖
ALKIS,ALKIS
all-around symbol,全周符號
alpha-blend,alpha 混成
alternate unit,對照單位
altimetry,測高法
AMSHIDE,AMSHIDE
analytical surface,解析表面
angle of deflection,偏折角度
annotation,註解
annotational constraint,註解約束
annotative object,可註解物件
anode,陽極
anode station,陽極測站
appearance style,外觀型式
arc,弧
arc segmentation,弧分段
arc-chord distance,弧弦距離
ARG,ARG
assembly extraction template,組合萃取樣板
Associative QDIM extension,Associative QDIM extension
ATIL,ATIL
AutoCAD color index,AutoCAD 顏色索引
AutoCAD Mobile,AutoCAD 行動版
Autocad Mobile app,AutoCAD Mobile 應用程式
AutoComplete,自動完成
Autodesk Assistant,Autodesk Assistant
Autodesk Manufacturing Community Portal,Autodesk 製造業社群入口網站
AutoLISP development,AutoLISP 開發
AutoLISP environment,AutoLISP 環境
auxiliary coordinate system,輔助座標系統
axis offset,軸偏移
azimuth,方位角
backwater gate,逆止閥
ball mill,球磨機
base point,基準點
baseline,基準線
Batch Standards Checker,批次標準檢查器
baud rate,鮑率
BDA,BDA
below grade,低於地平面
bevel,斜切
bill of materials,材料表
binary large object,二進位大型物件
bitonal image,黑白影像
blend mode,混合模式
blend surface,混成曲面
BLOB,BLOB
block authoring object,圖塊建立物件
block library,圖塊資源庫
block properties table,圖塊性質表
block replacement,圖塊取代
BLOCKMRULIST,BLOCKMRULIST
BLOCKNAVIGATE,BLOCKNAVIGATE
BLOCKSPALETTE,BLOCKSPALETTE
BLOCKSPALETTECLOSE,BLOCKSPALETTECLOSE
blow off valve,進氣洩壓閥
BOM,BOM
boolean,布林
bounded area,有邊界的區域
bounding area,邊界區域
bounding box,邊界方塊
branch circuit,分支電路
break,切斷
break loop,截斷迴路
break point,切斷點
BREAKATPOINT,BREAKATPOINT
breaker,斷路器
break-out line,拆解線
breakpoint,切斷點
bulge,凸度
bulge factor,凸度係數
bulk copy,批量複製
bump,凸紋
bump map,凸紋貼圖
bump mapping,凸紋貼圖
bus bar,匯流排
cable tray,電纜架
cable tray fitting,電纜架配件
camera calibration,相機校準
camera glyph,相機圖像
canvas,畫布
cap,末端收頭
cap filleting,收頭圓角處理
cap height,大寫字高
capacitor,電容器
Cascading Style Sheets,階層型式表
casing,套管
casing model,套管型號
Catmull-Clark subdivision surface,Catmull-Clark 細分曲面
center line,中心線
center mark,中心標記
center point,中心點
chamfer,倒角
CHAR,CHAR
character large object,角色大型物件
chi square,卡方
child feature class,子圖徵類別
cinematic shot,電影式快照
circlip,扣環
circuit breaker,斷路器
circuitry,電路圖
CLASSICINSERT,CLASSICINSERT
clip volume,截取體積
CLOB,CLOB
closed edge,封閉邊
code combination,代碼組合
COGO,COGO
cold grip,冷掣點
cold water fixture unit,冷水裝置單元
colinear,共線
colinear constraint,共線約束
collate,核對
collection,集合
collinear,共線
color book,顏色表
colorbook,顏色表
combined electric and heat generating station,混合使用電力和熱力的發電站
combustion chamber,燃燒室
comminuting machine,粉碎機
COMPARECLOSE,COMPARECLOSE
COMPAREEXPORT,COMPAREEXPORT
COMPAREIMPORT,COMPAREIMPORT
component list,元件清單
composite solid,複合實體
compound symbol,複合符號
compression,壓縮
computed length,計算長度
concentric,同圓心
conductor,導體
conduit,導管
conduit fitting,導管配件
connector line,連接線
connector pin,連接器接腳
constrained object,受約束的物件
constraint bar,約束列
constraint parameter,約束參數
constraint point,約束點
constraint variable,約束變數
construction line,建構線
content library,圖庫
content pack,內容套件
control cabinet,控制箱
control cable,控制電纜
control hull,控制關聯線
control point,控制點
control vertex,控制頂點
control vertices hull,控制頂點關聯線
coordinate reference system,座標參考系統
coordinate system tracker,座標系統追蹤器
corner point,角點
COUNTCLOSE,COUNTCLOSE
COUNTFIELD,COUNTFIELD
COUNTLIST,COUNTLIST
COUNTLISTCLOSE,COUNTLISTCLOSE
COUNTNAVNEXT,COUNTNAVNEXT
COUNTNAVPREV,COUNTNAVPREV
COUNTTABLE,COUNTTABLE
covering area,覆蓋區域
CRC,CRC
crease,縐摺
cross section,斷面
cross section duct,斷面管道
CRS,CRS
CS library,CS 資源庫
CSS,CSS
CUI editor,CUI 編輯器
current directory,目前目錄
curvature analysis,曲率分析
Customer Error Reporting,客戶錯誤報告
customer support,客戶支援
cutting line,割面線
CV,CV
CV hull,CV 關聯線
CWFU,CWFU
DCM Engine,DCM 引擎
dead joint symbol,固定接合符號
decorative element,裝飾元素
degrees minutes seconds,度/分/秒
dependency highlighting,相依性亮顯
depth of field,景深
depth polygon,深度多邊形
Design Review,Design Review
Design Web Format,Design Web Format
diameter,直徑
diffuse map,漫射貼圖
digital elevation model,數位高程模型
Digital Signature Extension,Digital Signature Extension
digital terrain elevation data,數位高程地形資料
digitizer puck,數位板指標
digitizing tablet,數位板
dimension line,標註線
dimension style,標註型式
Dimstyle,標註型式
disposal tank,廢水槽
distance offset,距離偏移
distributed rendering,分散式彩現
dithering,調色
DMS,DMS
dock,停靠
DOF,DOF
dots per inch,每英吋點數
DPI,DPI
draft analysis,拔模分析
drain area,排水區域
drawing folder,圖面資料夾
Drawing Interchange Format,Drawing Interchange Format
drawing list report,圖面清單報告
Drawing Manager,圖面管理員
driven constraint,從動約束
driving dimension,主動標註
DTED,DTED
duct fitting,風管配件
dump,轉儲
DWF,DWF
DWG Convert,DWG Convert
DWG TrueConvert,DWG TrueConvert
DWGCONVERT,DWGCONVERT
DWGHISTORY,DWGHISTORY
