source,target
3D Move gizmo,manipulátor 3D přesunu
3D Rotate gizmo,manipulátor 3D rotace
3D Scale gizmo,manipulátor 3D měřítka
3DALIGN,3DSROVNEJ
3DARRAY,3DPOLE
3DCLIP,3DOŘEŽ
3DCORBIT,3DPORBIT
3DDISTANCE,3DVZD
3DDWF,3DDWF
3DDWFPUBLISH,PUBLIK3DDWF
3DEDITBAR,3DEDITBAR
3DFACE,3DPLOCHA
3DFLY,3DPRŮLET
3DFORBIT,3DVORBIT
3DMESH,3DSÍŤ
3DMOVE,3DPOSUN
3DORBIT,3DORBIT
3DORBITCTR,3DORBITCTR
3DORBITTRANSPARENT,3DORBITTRANSPARENT
3DOSNAP,3DUCHOP
-3DOSNAP,-3DUCHOP
3DPAN,3DPP
3DPANTRANSPARENT,3DPANTRANSPARENT
3DPOLY,3DKŘIVKA
3DPRINT,3DTISK
3DPRINTSERVICE,SLUŽBA3DTISKU
3DROTATE,3DOTOČ
3DSCALE,3DMĚŘÍTKO
3DSIN,ČTI3DS
3DSWIVEL,3DCÍL
3DSWIVELTRANSPARENT,3DNÁKLONTRANSPARENT
3DWALK,3DPROCH
3DZOOM,3DZOOM
3DZOOMTRANSPARENT,3DZOOMTRANSPARENT
ACADBLOCKDIALOG,ACADBLOCKDIALOG
ACADINFO,ACADINFO
ACADWBLOCKDIALOG,ACADWBLOCKDIALOG
ACISIN,ČTIACIS
ACISOUT,PIŠACIS
ACS,PSS
ACTBASEPOINT,REFBODAKCE
ACTIVITYINSIGHTSCLOSE,ZAVŘIPŘEHLEDAKTIVIT
ACTIVITYINSIGHTSOPEN,OTEVŘIPŘEHLEDAKTIVIT
ACTM,ACTM
ACTMANAGER,SPRÁVCEAKCÍ
ACTRECORD,ZÁZNAMAKCE
ACTSTOP,STOPAKCE
ACTUSERINPUT,UŽIVZADÁNÍ
ACTUSERMESSAGE,UŽIVZPRÁVA
ADC,ADC
ADCCLOSE,ADCZAVŘI
ADCCUSTOMNAVIGATE,ADCUŽIVNAVIGACE
ADCENTER,ADCENTER
ADCNAVIGATE,ADCNAVIGACE
ADDSELECTED,ADDSELECTED
AI_CIRCTAN,AI_CIRCTAN
AI_PSPACE,AI_PSPACE
AIDIMPREC,AIDIMPREC
AIDIMSTYLE,AIDIMSTYLE
AIDIMTEXTMOVE,AIDIMTEXTMOVE
ALIASEDIT,ALIASEDIT
aligned section view,zarovnaný řez
ALIGNSPACE,ALIGNSPACE
ALKIS,ALKIS
all-around symbol,značka obvodového svaru
ALLPLAY,PŘEHRÁTVŠE
alpha-blend,alfa přechod
alternate unit,alternativní jednotky
altimetry,měření výšek
AMECONVERT,AMEPŘEVOD
ANALYSISCURVATURE,ANALÝZAZAKŘIVENÍ
ANALYSISDRAFT,ANALÝZAÚKOSU
ANALYSISOPTIONS,MOŽNOSTIANALÝZY
ANALYSISZEBRA,ANALÝZAHLADKOSTI
analytical surface,analytický povrch
angle of deflection,úhel odklonění
ANIPATH,ANIMDRÁHU
ANNORESET,POZNOBNOV
annotation,poznámka
annotational constraint,vazba s poznámkou
ANNOUPDATE,POZNAKT
anode,anoda
anode station,anodová stanice
APPAUTOLOADER,APLAUTONAČTENÍ
appearance style,styl vzhledu
APPLOAD,APLČTI
ARC,OBLOUK
arc segmentation,segmentace oblouku
arc-chord distance,vzdálenost oblouk-tětiva
ARCTEXT,ARCTEXT
AREA,PLOCHA
ARG,ARG
ARRAY,POLE
ARRAYCLASSIC,POLESTARŠÍ
ARRAYCLOSE,ZAVŘIPOLE
ARRAYEDIT,EDITPOLE
ARRAYPATH,KŘIVPOLE
ARRAYPOLAR,POLÁRPOLE
ARRAYRECT,OBDPOLE
ARX,ARX
assembly drawing,výkres sestavy
assembly extraction template,šablona extrakce sestavy
ASSISTANTCLOSE,ASISTENTZAVŘI
ASSISTANTOPEN,ASISTENTOTEVŘI
ATEXT,ATEXT
ATIL,ATIL
ATTACHURL,PŘIPOJURL
ATTDEF,ATRDEF
ATTDISP,ATRDISP
ATTEDIT,ATREDIT
ATTEXT,ATREXT
ATTIN,ATTIN
ATTIPEDIT,ATRPEDIT
ATTOUT,ATTOUT
ATTREDEF,ATTREDEF
ATTSYNC,ATRSYNCHR
AutoCAD color index,Index barev aplikace AutoCAD
AutoCAD Migration Assistance,AutoCAD Migration Assistance
AutoCAD Mobile,Mobilní AutoCAD
AutoComplete,automatické dokončování
AUTOCONSTRAIN,AUTOVAZBY
Autodesk Assistant,Autodesk Assistant
Autodesk Content Explorer,Autodesk Content Explorer
Autodesk Manufacturing Community Portal,portál Autodesk Manufacturing Community
AUTODESKCONNECTIONPOINT,AUTODESKCONNECTIONPOINT
AutoLISP development,vývojové prostředí AutoLISP
AutoLISP environment,prostředí AutoLISP
AUTOPUBLISH,AUTOPUBLIKUJ
auxiliary coordinate system,pomocný souřadnicový systém
axis offset,odsazení osy
azimuth,azimut
BACKGROUND,POZADÍ
BACTION,AKCEBLOKU
BACTIONBAR,BPANELAKCÍ
BACTIONSET,MNOŽAKCEBLOKU
BACTIONTOOL,NÁSTROJAKCEBLOKU
ball mill,kulová fréza
BASSOCIATE,SDRUŽBLOK
Batch Standards Checker,Dávková kontrola standardů
BATTMAN,SPRBLOKU
BATTORDER,POŘATRBLOKU
baud rate,přenosová rychlost
BAUTHORPALETTE,PALBLOKU
BAUTHORPALETTECLOSE,ZAVŘIPALBLOK
BCLOSE,ZAVŘIEDBLOK
BCONSTRUCTION,BKONSTRUKCE
BCOUNT,BCOUNT
BCPARAMETER,PARAMETRBV
BCYCLEORDER,POŘCYKLPROCHBLOK
BDA,BDA
BEDIT,EDBLOK
BESETTINGS,BENASTAVENÍ
bevel,úkos
BEXTEND,BEXTEND
BGRIPSET,MNOŽUZLBLOK
BHATCH,HŠRAFY
bill of materials,rozpiska
binary large object,binární velký objekt
blend mode,režim přechodu
blend surface,přechodová plocha
BLOB,BLOB
block authoring object,objekt publikování bloku
block library,knihovna bloků
block properties table,tabulka vlastností bloku
block replacement,nahrazení bloku
BLOCKICON,BLOKIKONA
BLOCKREPLACE,BLOCKREPLACE
BLOCKSDATAOPTION,MOŽNOSTIDATBLOKŮ
BLOCKSPALETTE,PALETABLOKY
BLOCKSPALETTECLOSE,ZAVŘIPALETABLOKY
BLOCKTOXREF,BLOCKTOXREF
BLOOKUPTABLE,VYHLTABBLOK
blow off valve,pojistný ventil
BMAKE,VYTVOŘB
BMOD,BUPRAV
BMPOUT,PIŠBMP
BOUNDARY,HRANICE
bounded area,ohraničená oblast
bounding area,ohraničující plocha
bounding box,ohraničující těleso
BPARAMETER,PARAMBLOK
BPOLY,HKŘIVKA
branch circuit,koncový obvod
break loop,smyčka přerušení
break point,bod přerušení
BREAKATPOINT,PŘERUŠVBODĚ
breaker,jistič
break-out line,čára přerušení
breakpoint,bod přerušení
BREP,HREP
BREPLACE,NAHRAĎBLOK
BROWSERCLOSE,ZAVŘIPROHL
BROWSEROPEN,OTEVŘIPROHL
BSAVE,ULOŽBLOK
BSAVEAS,ULOŽBLOKJAKO
BSCALE,BSCALE
BTABLE,BTABULKA
BTESTBLOCK,BTESTBLOKU
BTRIM,BTRIM
bulge,vyboulení
bulge factor,faktor vyboulení
bulk copy,hromadné kopírování
bump,nerovnost
bump map,mapa nerovností
bump mapping,mapování nerovností
bus bar,sběrnice
BVHIDE,SKRYJBLOK
BVSHOW,ZOBRAZBLOK
BVSTATE,STAVVIDBLOKU
cable tray,kabelová lávka
cable tray fitting,tvarovka kabelové lávky
CAL,KAL
CAMERA,KAMERA
camera calibration,kalibrace kamery
camera glyph,symbol kamery
canvas,kreslicí plocha
cap,zakončení
cap filleting,zaoblení zakončení
capacitor,kondenzátor
casing,chránička
casing model,model chráničky
Catmull-Clark subdivision surface,povrchy úseků Catmull-Clark
CDORDER,CDORDER
center mark,středová značka
CENTERDISASSOCIATE,STŘEDODPOJ
centerline,osa
CENTERREASSOCIATE,STŘEDPŘIPOJ
CENTERRESET,STŘEDOBNOV
CHAMFEREDGE,ZKOSHRANU
CHAR,CHAR
character large object,velké objekty znaků
CHECKSTANDARDS,KONTROLASTANDARDU
chi square,chí-kvadrát
child feature class,podřazená třída prvků
CHPROP,ZMĚNAV
CHSPACE,ZMĚŇPROSTOR
CHURLS,CHURLS
cinematic shot,filmový záběr
CLASSICGROUP,KLASICKÁSKUPINA
CLASSICIMAGE,KLASICKÝOBRAZ
CLASSICINSERT,KLASICKÝVLOŽ
CLASSICLAYER,KLASICKÁHLADINA
CLASSICXREF,KLASICKÝXREF
CLEANSCREENOFF,ČISTÁOBRAZOVKANE
CLEANSCREENON,ČISTÁOBRAZOVKAANO
clip volume,oříznutý objem
CLIPIT,CLIPIT
CLOB,CLOB
CLOSEALL,ZAVŘIVŠE
CLOSEALLOTHER,ZAVŘIVŠEOSTATNÍ
