source,target
3D Move gizmo,3D-Verschieben-Gizmo
3D Rotate gizmo,3D-Drehen-Gizmo
3D Scale gizmo,3D-Skalieren-Gizmo
3DALIGN,3DAUSRICHTEN
3DARRAY,3DREIHE
3DCLIP,3DSCHNITT
3DCORBIT,3DORBITFORTL
3DDISTANCE,3DENTFERNUNG
3DDWF,3DDWF
3DDWFPUBLISH,3DDWFPUBL
3DEDITBAR,3DBEARBLEISTE
3DFACE,3DFLÄCHE
3DFLY,3DFLUG
3DFORBIT,3DFORBIT
3DMESH,3DNETZ
3DMOVE,3DSCHIEBEN
3DORBIT,3DORBIT
3DORBITCTR,3DORBITCTR
3DORBITTRANSPARENT,3DORBITTRANSP
3DOSNAP,3DOFANG
3DPAN,3DPAN
3DPANTRANSPARENT,3DPANTRANSPARENT
3DPOLY,3DPOLY
3DPRINT,3DDRUCK
3DPRINTSERVICE,3DDRUCKSERVICE
3DROTATE,DREHEN3D
3DSCALE,3DSKAL
3DSIN,3DSIN
3DSWIVEL,3DSCHWENKEN
3DSWIVELTRANSPARENT,3DSCHWENKTRANSP
3DWALK,3DNAV
3DZOOM,3DZOOM
3DZOOMTRANSPARENT,3DZOOMTRANSPARENT
ACADBLOCKDIALOG,ACADBLOCKDIALOG
ACADINFO,ACADINFO
ACADWBLOCKDIALOG,ACADWBLOCKDIALOG
ACISIN,ACISIN
ACISOUT,ACISOUT
ACS,HKS
ACTBASEPOINT,AKTAUSGPUNKT
action editor,Aktionseditor
ACTIVITYINSIGHTSCLOSE,AKTIVEINBLICKESCHL
ACTIVITYINSIGHTSOPEN,AKTIVEINBLICKEÖFFN
ACTMANAGER,AKTMANAGER
ACTRECORD,AKTREKORD
ACTSTOP,AKTSTOP
ACTUSERINPUT,AKTBENEING
ACTUSERMESSAGE,AKTMELD
ADC,ADC
ADCCLOSE,ADCSCHLIESSEN
ADCCUSTOMNAVIGATE,ADCBENUTZNAVIG
ADCENTER,ADCENTER
ADCNAVIGATE,ADCNAVIGIEREN
ADDSELECTED,ADDSELECTED
AEC content,AEC-Inhalte
AEC entity,AEC-Element
AEC object,AEC-Objekt
AI_CIRCTAN,AI_CIRCTAN
AI_PSPACE,AI_PSPACE
AIDIMPREC,AIDIMPREC
AIDIMSTYLE,AIDIMSTYLE
AIDIMTEXTMOVE,AIDIMTEXTMOVE
ALIASEDIT,ALIASEDIT
Aligned Dimension,Ausgerichtete Bemaßungen
aligned section view,Ausgerichtete Schnittansicht
ALIGNSPACE,ALIGNSPACE
ALKIS,ALKIS
all-around symbol,Kreissymbol
ALLPLAY,ALLEABSP
alpha-blend,Alpha-Blending
alternate unit,Alternativeinheit
AMECONVERT,AMEKONVERT
ANALYSISCURVATURE,ANALYSEKRÜMMUNG
ANALYSISDRAFT,ANALYSEFORMSCHRÄGE
ANALYSISOPTIONS,ANALYSEOPTIONEN
ANALYSISZEBRA,ANALYSEZEBRA
analytical surface,berechnete Oberfläche
angle of deflection,Winkeltoleranz
ANIPATH,ANIPFAD
ANNORESET,BESCHRZURÜCK
annotation,Anmerkung
annotational constraint,Beschriftungsabhängigkeit
annotative object,Beschriftungsobjekt
ANNOUPDATE,BESCHRAKT
anode,cinematic shot
anode station,circular pitch
APERTURE,ÖFFNUNG
APPAUTOLOADER,ANWAUTOLADER
appearance style,Darstellungsstil
APPLOAD,APPLOAD
arc,Bogen
Arc Length,Bogenlänge
Arc radius,Bogenradius
