source,target
3D mesh primitive,primitiva de malla 3D
3DALIGN,ALINEAR3D
3DARRAY,3DARRAY
3DCLIP,3DDELIM
3DDWF,DWF3D
3DDWFPUBLISH,PUBLICARDWF3D
3DEDITBAR,3DBARRAEDICION
3DFACE,3DCARA
3DFLY,VUELO3D
3DFORBIT,3DFORBIT
3DMESH,3DMALLA
3DMOVE,DESPLAZA3D
3DORBIT,3DORBITA
3DORBITCTR,3DCTRORBIT
3DORBITTRANSPARENT,3DORBITATRANS
3DOSNAP,3DREFENT
-3DOSNAP,-3DREFENT
3DPAN,3DENCUADRE
3DPANTRANSPARENT,3DENCUADRETRANSP
3DPOLY,3DPOL
3DPRINT,IMPRIMIR3D
3DPRINTSERVICE,SERVICIOIMPR3D
3DROTATE,ROTACION3D
3DSCALE,ESCALA3D
3DSIN,CARGAR3DS
3DSWIVEL,3DPIVOTAR
3DSWIVELTRANSPARENT,3DPIVOTARTRANSP
3DWALK,3DPASEO
3DZOOM,3DZOOM
3DZOOMTRANSPARENT,3DZOOMTRANSP
ACADBLOCKDIALOG,ACADBLOCKDIALOG
ACADINFO,ACADINFO
ACADWBLOCKDIALOG,ACADWBLOCKDIALOG
ACISIN,ACISIN
ACISOUT,ACISOUT
ACS,SCA
ACTBASEPOINT,ACCIONPUNTOBASE
ACTIVITYINSIGHTSCLOSE,CERRARINFOACTIVIDAD
ACTIVITYINSIGHTSOPEN,ABRIRINFOACTIVIDAD
ACTMANAGER,ADMINACCIONES
ACTRECORD,ACTRECORD
ACTSTOP,ACCIONDETENER
ACTUSERINPUT,ACCIONENTUSU
ADC,ADC
ADCCLOSE,CERRARADC
ADCCUSTOMNAVIGATE,TRASLADPERSADC
ADCENTER,ADCENTER
ADCNAVIGATE,TRASLADADC
ADDSELECTED,ADDSELECTED
ADJUST,AJUSTAR
AEC Collection,AEC Collection
AEC entity,entidad AEC
AEC object,objeto AEC
AI_CIRCTAN,AI_CIRCTAN
AI_PSPACE,AI_PSPACE
AIDIMPREC,AIDIMPREC
AIDIMSTYLE,AIDIMSTYLE
AIDIMTEXTMOVE,AIDIMTEXTMOVE
ALIASEDIT,ALIASEDIT
ALIGN,ALINEAR
Aligned Dimension,Cota alineada
aligned section view,vista de sección abatida
ALIGNSPACE,ALIGNSPACE
ALKIS,ALKIS
all-around symbol,símbolo sobre todo el contorno
ALLPLAY,REPROTODO
alpha-blend,combinación alfa
alternate unit,unidad alternativa
AMECONVERT,CONVERTAME
ANALYSISCURVATURE,ANALISISCURVATURA
ANALYSISDRAFT,ANALISISANGULOINCLINACION
ANALYSISOPTIONS,OPCIONESANALISIS
ANALYSISZEBRA,ANALISISCEBRA
analytical surface,superficie analítica
angle of deflection,ángulo de desviación
ANIPATH,ANITRAYEC
ANNORESET,RESTABANOT
annotation,anotación
annotational constraint,restricción por anotación
annotative object,objeto anotativo
ANNOUPDATE,ACTUALANOT
APERTURE,APERTURA
APPAUTOLOADER,CARGAAUTOAPL
appearance style,estilo de aspecto
APPLOAD,APPLOAD
APPSTORE,APPSTORE
arc,arco
arc segmentation,segmentación de arco
arc-chord distance,distancia entre cuerda y arco
ARCTEXT,ARCTEXT
AREA,AREA
ARG,ARG
ARRAYCLASSIC,MATRIZCLASICA
ARRAYCLOSE,CERRARMATRIZ
ARRAYEDIT,EDITARMATRIZ
ARRAYPATH,MATRIZCAMINO
ARRAYPOLAR,MATRIZPOLAR
ARRAYRECT,MATRIZRECTANG
ARX,ARX
assembly extraction template,plantilla de extracción de ensamblaje
ASSISTANTCLOSE,CERRARASISTENTE
ASSISTANTOPEN,ABRIRASISTENTE
Associative QDIM extension,Associative QDIM extension
ATEXT,TEXTOA
ATIL,ATIL
ATTACH,ENLAZAR
ATTACHURL,ENLAZARURL
ATTDEF,ATRDEF
ATTDISP,ATRVIS
ATTEDIT,ATREDIT
ATTEXT,ATREXT
ATTIN,ATTIN
ATTIPEDIT,EDITATRINSITU
ATTOUT,ATTOUT
ATTREDEF,ATTREDEF
ATTSYNC,ATTSYNC
AutoCAD color index,Índice de color de AutoCAD
AutoCAD Mobile,AutoCAD Móvil
Autocad Mobile app,aplicación AutoCAD Mobile
AutoComplete,Autocompletar
AUTOCONSTRAIN,RESTRINGIRAUTO
Autodesk Assistant,Autodesk Assistant
Autodesk Content Explorer,Autodesk Content Explorer
Autodesk Manufacturing Community Portal,Portal de Autodesk Manufacturing Community
AUTODESKCONNECTIONPOINT,AUTODESKCONNECTIONPOINT
AutoLISP,AutoLISP Project Files
AutoLISP development,desarrollo en AutoLISP
AutoLISP environment,entorno de AutoLISP
AUTOPUBLISH,PUBLIAUTO
auxiliary coordinate system,sistema de coordinadas auxiliar
axis offset,desfase de ejes
azimuth,acimut
BACKGROUND,FONDO
BACTION,ACCIONBLOQUE
BACTIONBAR,BARRAACCIONESBLOQUE
BACTIONSET,CONJUNTOACCIONBLOQUE
BACTIONTOOL,HERRACCIONBLOQUE
ball mill,molino de bolas
BASE,BASE
base point,punto base
BASSOCIATE,ASOCIARBLOQUE
Batch Standards Checker,Verificador por lotes de normas
BATTMAN,ADMATRB
BATTORDER,ORDENATRIBLOQUE
baud rate,velocidad de transmisión
BAUTHORPALETTE,PALCREARBLOQUE
BAUTHORPALETTECLOSE,CERRARPALCREARBLOQUE
BCLOSE,CERRARBLOQUE
BCONSTRUCTION,CONSTRUCBLOQUE
BCOUNT,BCOUNT
BCPARAMETER,PARAMRESTRICBLOQUE
BCYCLEORDER,CICLOPINZABLOQUE
BDA,BDA
BEDIT,EDITARBLOQUE
below grade,por debajo de la cimentación
BESETTINGS,PARAMEDITBLOQUE
bevel,bisel
BEXTEND,BEXTEND
BGRIPSET,CONJUNTOPINZABLOQUE
BHATCH,SOMBCONT
bill of materials,lista de materiales
binary large object,objeto grande binario
bitonal image,imagen bitonal
blend mode,modo de fusión
blend surface,superficie de fusión
BLOB,BLOB
block authoring object,objeto para la creación de bloques
block library,biblioteca de bloques
block properties table,tabla de propiedades de bloque
block replacement,sustitución de bloques
BLOCK?,BLOCK?
BLOCKICON,ICONOBLOQUE
BLOCKMRULIST,BLOCKMRULIST
BLOCKNAVIGATE,BLOCKNAVIGATE
BLOCKREPLACE,BLOCKREPLACE
BLOCKSDATAOPTION,OPCDATOSBLOQUES
