source,target
3D mesh primitive,primitif de maillage 3D
3D Move gizmo,gizmo Déplacement 3D
3D Rotate gizmo,gizmo Rotation 3D
3D Scale gizmo,gizmo Echelle 3D
3DALIGN,ALIGNER3D
3DARRAY,3DARRAY
3DCLIP,3DDELIM
3DCORBIT,3DORBITEC
3DDISTANCE,3DDIST
3DDWF,DWF3D
3DDWFPUBLISH,PUBLIERDWF3D
3DEDITBAR,BARREEDITION3D
3DFACE,FACE3D
3DFLY,MOUVEMENT3D
3DFORBIT,ORBITELIBRE3D
3DMESH,3DMAILLE
3DMOVE,DEPLACER3D
3DORBIT,ORBITE3D
3DORBITCTR,CTRORBITE3D
3DORBITTRANSPARENT,ORBITETRANSPARENTE3D
3DOSNAP,3DACCROBJ
-3DOSNAP,-3DACCROBJ
3DPAN,3DPAN
3DPANTRANSPARENT,3DPANTRANSPARENT
3DPOLY,POLY3D
3DPRINT,IMPRESS3D
3DPRINTSERVICE,SERVICEIMPRESSION3D
3DROTATE,ROTATION3D
3DSCALE,ECHELLE3D
3DSIN,CHARG3DS
3DSWIVEL,PIVOT3D
3DSWIVELTRANSPARENT,PIVOTTRANSPARENT3D
3DWALK,NAVIGATION3D
3DZOOM,3DZOOM
3DZOOMTRANSPARENT,3DZOOMTRANSPARENT
ACA,ACA
ACADBLOCKDIALOG,ACADBLOCKDIALOG
ACADINFO,ACADINFO
ACADWBLOCKDIALOG,ACADWBLOCKDIALOG
ACISIN,CHARGACIS
ACISOUT,SAUVEACIS
ACS,SCA
ACTBASEPOINT,POINTBASEACT
ACTIVITYINSIGHTSCLOSE,FERMERINFOSACTIVITE
ACTIVITYINSIGHTSOPEN,OUVRIRINFOSACTIVITE
ACTMANAGER,GESTACTIONS
ACTRECORD,ENREGACT
ACTSTOP,ARRETACT
ACTUSERINPUT,ENTRUTILACT
ACTUSERMESSAGE,MESSAGUTILACT
ADC,ADC
ADCCLOSE,FERMERADC
ADCCUSTOMNAVIGATE,NAVIGATIONPERSONNALISADC
ADCENTER,ADCENTER
ADCNAVIGATE,NAVIGUERADC
ADDSELECTED,ADDSELECTED
ADJUST,REGLAGE
AEC content,contenu AEC
AEC entity,entité AEC
AEC object,objet AEC
AI_CIRCTAN,AI_CIRCTAN
AI_PSPACE,AI_PSPACE
AIDIMPREC,AIDIMPREC
AIDIMSTYLE,AIDIMSTYLE
AIDIMTEXTMOVE,AIDIMTEXTMOVE
ALIASEDIT,ALIASEDIT
ALIGN,ALIGNER
Aligned Dimension,Cote alignée
aligned section view,vue en coupe alignée
ALIGNSPACE,ALIGNSPACE
ALKIS,ALKIS
