source,target
3D Move gizmo,3D मूव गिज़्मो
3D Rotate gizmo,3D रोटेट गिज़्मो
3D Scale gizmo,3D स्केल गिज़्मो
ACS,ACS
Action Editor,ऐक्शन एडिटर
AEC content,AEC कॉन्टेंट
AEC entity,AEC इकाई
AEC object,AEC ऑब्जेक्ट
aligned dimension,संरेखित आयाम
aligned section view,संरेखित सेक्शन व्यू
ALKIS,ALKIS
all-around symbol,ऑल-अराउंड प्रतीक
alpha-blend,अल्फ़ा--ब्लेंड
alternate unit,वैकल्पिक युनिट
analytical surface,विश्लेषणात्मक सतह
angle of deflection,विक्षेपण का कोण
annotation,टिप्पणी
annotational constraint,व्याख्यात्मक बाधा
annotative object,व्याख्यात्मक ऑब्जेक्ट
anode,एनोड
anode station,एनोड स्टेशन
appearance style,रूप-रंग की शैली
arc,आर्क
arc length,आर्क की लंबाई
arc radius,आर्क की त्रिज्या
arc segmentation,आर्क विभाजन
arc-chord distance,आर्क-कॉर्ड दूरी
area value,क्षेत्र का मान
ARG,ARG
assembly extraction template,असेंबली एक्सट्रैक्शन टेम्प्लेट
associative array,एसोसिएटिव ऐरे
associative QDIM extension,एसोसिएटिव QDIM एक्सटेंशन
assumed nozzle,कल्पित नोज़ल
ATIL,ATIL
AutoCAD color index,AutoCAD कलर इंडेक्स
AutoCAD Mobile,AutoCAD Mobile
Autocad Mobile app,Autocad Mobile ऐप
AutoComplete,AutoComplete
Autodesk Assistant,Autodesk Assistant
Autodesk Manufacturing Community Portal,Autodesk विनिर्माण समुदाय पोर्टल
AutoLISP development,AutoLISP विकास
AutoLISP environment,AutoLISP वातावरण
auxiliary coordinate system,सहायक समन्वय प्रणाली
axial stress,अक्षीय तनाव
axiality,अक्षीयता
azimuth,दिगंश
ball mill,बॉल मिल
base point,आधार बिंदु
Batch Standards Checker,बैच स्टैंडर्ड चेकर
baud rate,बॉड दर
BDA,BDA
below grade,ग्रेड से कम
bevel groove weld,बेवेल ग्रूव वेल्ड
bill of materials,सामग्री का बिल
binary large object,बाइनरी बड़ा ऑब्जेक्ट
bitonal image,बिटोनल छवि
blend mode,ब्लेंड मोड
blend surface,ब्लेंड सतह
BLOB,BLOB
block authoring object,ब्लॉक ऑथरिंग ऑब्जेक्ट
block definition,ब्लॉक परिभाषा
block library,ब्लॉक लाइब्रेरी
block properties table,ब्लॉक प्रॉपर्टीज़ टेबल
block replacement,ब्लॉक प्रतिस्थापन
Blocks palette,ब्लॉक पैलेट
BOM,BOM
BOM grid,BOM ग्रिड
bounded area,सीमांकित क्षेत्र
bounding area,सीमाबद्ध क्षेत्र
branch circuit,ब्रांच सर्किट
break loop,ब्रेक लूप
break point,ब्रेक प्वाइंट
breakpoint,ब्रेकप्वाइंट
bulge,उभार
bulge factor,उभार कारक
bulk copy,बल्क कॉपी
bump,बम्प
bump map,बम्प मैप
bump mapping,बम्प मैपिंग
cable tray,केबल ट्रे
cable tray fitting,केबल ट्रे फ़िटिंग
camera calibration,कैमरा कैलिब्रेशन
camera glyph,कैमरा ग्लिफ़
cap filleting,कैप फ़िलेटिंग
cap height,कैप की ऊंचाई
caret,कैरट
cascading style sheets,व्यापक शैली की शीट
catalog browser,कैटलॉग ब्राउज़र
catalog number,कैटलॉग नंबर
Catmull-Clark subdivision surface,कैटमुल-क्लार्क सब-डिवीज़न सतह
center line,केंद्र रेखा
center mark,केंद्र चिह्न
center point,केंद्र बिंदु
chamfer,किनारा
character large object,कैरेक्टर लार्ज ऑब्जेक्ट
cinematic shot,सिनेमाई शॉट
circlip,घेरा
clip volume,क्लिप वॉल्यूम
clipping plane,क्लिपिंग प्लेन
CLOB,CLOB
closed edge,बंद किनारा
code combination,कोड संयोजन
cold grip,कोल्ड ग्रिप
cold water fixture unit,ठंडे पानी की स्थिरता इकाई
colinear constraint,रेखीय बाधा
collected balloons,एकत्रित गुब्बारे
collection,कलेक्शन
color book,कलर बुक
colorbook,कलरबुक
combustion chamber,दहन कक्ष
comminuting machine,संचार मशीन
component list,घटक सूची
composite solid,समग्र ठोस
composite symbol,समग्र प्रतीक
compound joint,यौगिक जोड़
compound symbol,यौगिक प्रतीक
compression,संपीड़न
compression end,संपीड़न अंत
conduit,नाली
conduit fitting,नाली की फ़िटिंग
connector pin,कनेक्टर पिन
constrained object,बाधित ऑब्जेक्ट
constraint,बाधा
constraint bar,बाधा बार
constraint parameter,बाधा पैरामीटर
constraint point,बाधा का बिंदु
constraint variable,बाधा चर
construction line,निर्माण लाइन
Content Editor,कॉन्टेंट एडिटर
content library,कॉन्टेंट लाइब्रेरी
content pack,कॉन्टेंट पैक
control hull,नियंत्रण पतवार
control point,नियंत्रण बिंदु
control vertex,नियंत्रण शीर्ष
control vertex hull,नियंत्रण शीर्ष पतवार
control vertices hull,नियंत्रण शीर्ष पतवार
coordinate system tracker,समन्वय प्रणाली ट्रैकर
corner point,कोने का बिंदु
cross section,क्रॉस सेक्शन
CRS,CRS
CS library,CS लाइब्रेरी
CSS,CSS
CUI editor,CUI एडिटर
current directory,मौजूदा निर्देशिका
curvature analysis,वक्रता विश्लेषण
customer error reporting,ग्राहक त्रुटि रिपोर्टिंग
customer support,ग्राहक सहायता
cutting line,कटिंग लाइन
CWFU,CWFU
datum,डेटाम
datum identifier,डेटाम पहचानकर्ता
datum note,डेटाम नोट
datumpoint,डेटामबिंदु
DCM Engine,DCM इंजन
dead joint symbol,मृत जोड़ प्रतीक
default lighting,डिफ़ॉल्ट प्रकाश व्यवस्था
default mleader style,डिफ़ॉल्ट मल्टीलीडर शैली
default plot style,डिफ़ॉल्ट प्लॉट शैली
default table style,डिफ़ॉल्ट टेबल शैली
DEFPOINTS,DEFPOINTS
dependency highlighting,निर्भरता हाइलाइटिंग
depth of field,क्षेत्र की गहराई
Design Review,Design Review
Design Web Format,डिज़ाइन वेब फ़ॉर्मेट
destination arrow,गंतव्य तीर
destination signal arrow,गंतव्य संकेत तीर
diameter,व्यास
diffuse map,फैला हुआ मैप
digital elevation model,डिजिटल उन्नयन मॉडल
Digital Signature extension,डिजिटल सिग्नेचर विस्तार
digitizer puck,डिजिटाइज़र पक
digitizing tablet,डिजिटाइजिंग टेबलेट
dimension association,आयाम एसोसिएशन
dimension constraint,आयाम बाधा
dimension line,आयाम लाइन
dimension style,आयाम शैली
dimensional constraint,आयामी बाधा
distributed rendering,वितरित प्रतिपादन
DMS,DMS
DOF,DOF
dots per inch,प्रति इंच बिंदू
DPI,DPI
draft analysis,ड्राफ़्ट विश्लेषण
draggable dimension,खींचने योग्य आयाम
drawing congestion,ड्राइंग भीड़भाड़
drawing folder,ड्राइंग फ़ोल्डर
Drawing Interchange Format,ड्राइंग इंटरचेंज फ़ॉर्मेट
Drawing Manager,ड्राइंग मैनेजर
drawing source,ड्राइंग सोर्स
drawtime,ड्राटाइम
driven constraint,संचालित बाधा
driving dimension,ड्राइविंग आयाम
DTED,DTED
duct fitting,डक्ट फ़िटिंग
dump,डंप
DWF,DWF
DWG Convert,DWG कन्वर्ट
DWG TrueConvert,DWG TrueConvert
DXF,DXF
dynamic constraint,गतिशील बाधा
edit in place,एडिट इन-प्लेस
editing tool,एडिटिंग टूल
ejector,इजेक्टर
elbow,एल्बो
emitter,उत्सर्जक
end point,अंतिम बिंदु
enhanced secondary window,उन्नत द्वितीयक विंडो
enhanced viewer,उन्नत दर्शक
environment map,पर्यावरण का मैप
EPSG code,EPSG कोड
ESW,ESW
evaluation version,मूल्यांकन संस्करण
Expression Builder,एक्सप्रेशन बिल्डर
extended help file,विस्तारित सहायता फ़ाइल
Extensible Markup Language,एक्स्टेंसिबल मार्कअप लैंग्वेज
Extensible Stylesheet Language,एक्स्टेंसिबल स्टाइलशीट लैंग्वेज
extension line,विस्तारित लाइन
External Reference Manager,एक्सटर्नल रिफ़रेंस मैनेजर
