source,target
3D mesh primitive,3D hálóprimitív
3D Move gizmo,3D mozgatási minialkalmazás
3D Rotate gizmo,3D forgatási minialkalmazás
3D Scale gizmo,3D léptékezési minialkalmazás
3DALIGN,3DILLESZT
3DARRAY,3DKIOSZT
3DCLIP,3DMETSZ
3DCORBIT,3DFKERINGÉS
3DDISTANCE,3DTÁVOLSÁG
3DDWF,3DDWF
3DDWFPUBLISH,3DDWFKÖZZÉTESZ
3DEDITBAR,3DEDITBAR
3DFACE,3DLAP
3DFLY,3DREPÜL
3DFORBIT,3DSZKERINGÉS
3DMESH,3DHÁLÓ
3DMOVE,3DMOZGAT
3DORBIT,3DKERINGÉS
3DORBITCTR,3DKERINGÉSKP
3DORBITTRANSPARENT,3DKERINGÉSTRANSZPARENS
3DOSNAP,3DTRASZTER
-3DOSNAP,-3DTRASZTER
3DPAN,3DTOL
3DPANTRANSPARENT,3DTOLTRANSZPARENS
3DPOLY,3DVLÁNC
3DPRINT,3DNYOMTAT
3DPRINTSERVICE,3DNYOMTATÁSISZOLGÁLTATÁS
3DROTATE,3DFORGAT
3DSCALE,3DLÉPTÉK
3DSIN,3DSBE
3DSWIVEL,3DELFORGAT
3DSWIVELTRANSPARENT,3DELFORGATTRANSZPARENS
3DWALK,3DSÉTA
3DZOOM,3DZOOM
3DZOOMTRANSPARENT,3DZOOMTRANSZPARENS
ACADBLOCKDIALOG,ACADBLOCKDIALOG
ACADINFO,ACADINFO
ACADWBLOCKDIALOG,ACADWBLOCKDIALOG
ACISIN,ACISBE
ACISOUT,ACISKI
ACS,SKR
ACTBASEPOINT,BÁZISPONTMAKRÓBA
ACTIVITYINSIGHTSCLOSE,TEVÉKENYSÉGBETEKINTŐBEZÁR
ACTIVITYINSIGHTSOPEN,TEVÉKENYSÉGBETEKINTŐMEGNYIT
ACTMANAGER,MAKRÓKEZELŐ
ACTRECORD,MŰVELETRÖGZÍT
ACTSTOP,MŰVLEÁLLÍT
ACTUSERINPUT,MŰVFELHBEV
ACTUSERMESSAGE,MŰVFELHÜZENET
ADC,ADC
ADCCLOSE,ADCBEZÁR
ADCCUSTOMNAVIGATE,ADCFELHÚTVONAL
ADCENTER,ADCENTER
ADCNAVIGATE,ADCÚTVONAL
ADDSELECTED,ADDSELECTED
AI_CIRCTAN,AI_CIRCTAN
AI_PSPACE,AI_PSPACE
AIDIMPREC,AIDIMPREC
AIDIMSTYLE,AIDIMSTYLE
AIDIMTEXTMOVE,AIDIMTEXTMOVE
ALIASEDIT,ALIASEDIT
aligned section view,illesztett metszet
ALIGNSPACE,ALIGNSPACE
ALKIS,ALKIS
all-around symbol,összetartozó felületek rajzjel
ALLPLAY,MINDLEJÁTSZ
alpha-blend,alfasimitás
alternate unit,Alternatív mértékegység
AMECONVERT,AMEKONVERT
ANALYSISCURVATURE,ELEMZÉSGÖRBÜLET
ANALYSISDRAFT,ELEMZÉSFERDESÉG
ANALYSISOPTIONS,ELEMZÉSBEÁLLÍT
ANALYSISZEBRA,ELEMZÉSZEBRA
analytical surface,analitikus felület
angle of deflection,hajlásszög
ANIPATH,ANIMÚTVONAL
ANNORESET,FELIRATVISSZAÁLL
annotational constraint,feliratozási kényszer
annotative object,feliratozási objektum
ANNOUPDATE,FELIRATFRISSÍT
anode,anód
anode station,anódállomás
APPAUTOLOADER,AUTOBETÖLTALK
appearance style,megjelenésstílus
APPLOAD,ALKTÖLT
APPSTORE,APPSTORE
ARC,ÍV
arc segmentation,ívfelosztás
arc-chord distance,ív-húr távolság
ARCTEXT,ARCTEXT
AREA,TERÜLET
ARG,ARG
ARRAYCLASSIC,KIOSZTKLASSZIKUS
ARRAYCLOSE,KIOSZTBEZÁR
ARRAYEDIT,KIOSZTSZERKESZT
ARRAYPATH,KIOSZTÚTVONAL
ARRAYPOLAR,KIOSZTPOLÁRIS
ARRAYRECT,KIOSZTNÉGYSZ
ARX,ARX
assembly drawing,összeállítási rajz
ASSISTANTCLOSE,SEGÉDBEZÁR
ASSISTANTOPEN,SEGÉDMEGNYIT
Associative QDIM extension,Associative QDIM extension
ATEXT,ÍVSZÖVEG
ATIL,ATIL
ATTACHURL,URLCSATOL
ATTDEF,ATTDEF
ATTDISP,ATTLÁTH
ATTEDIT,ATTEDIT
ATTEXT,ATTKI
ATTIN,ATTIN
ATTIPEDIT,ATTEDITHELYBEN
ATTOUT,ATTOUT
ATTREDEF,ATTREDEF
ATTSYNC,ATTSZINK
AUDIT,HLISTA
AutoCAD color index,AutoCAD színindex
AutoCAD including specialized toolsets,AutoCAD including specialized toolsets
AutoCAD Migration Assistance,AutoCAD Migration Assistance
AutoCAD Mobile,AutoCAD mobil
AutoComplete,Automatikus kiegészítés
AUTOCONSTRAIN,AUTOKÉNYSZER
Autodesk Assistant,Autodesk Assistant
Autodesk CAD Manager Tools,Autodesk CAD Manager Tools Setup Wizard
Autodesk Content Explorer,Autodesk Content Explorer
Autodesk Manufacturing Community Portal,Autodesk gépipari közösségi portál
AUTODESKCONNECTIONPOINT,AUTODESKCONNECTIONPOINT
AutoLISP development,AutoLISP-fejlesztés
AutoLISP environment,AutoLISP-környezet
AUTOPUBLISH,AUTOKÖZZÉTESZ
auxiliary coordinate system,segéd koordináta-rendszer
axis offset,tengelyeltolás
azimuth,azimut
BACKGROUND,HÁTTÉR
backwater gate,másodrendű védőgát
BACTION,BMŰVELET
BACTIONBAR,BMŰVELETSOR
BACTIONSET,BMŰVELETBEÁLL
BACTIONTOOL,BMŰVELETESZKÖZ
ball mill,golyósmalom
base point,bázispont
BASSOCIATE,BTÁRSÍT
Batch Standards Checker,Kötegelt szabványellenőrző
BATTMAN,BATTKEZ
BATTORDER,BATTSORREND
baud rate,átviteli sebesség
BAUTHORPALETTE,BSZERZŐIPALETTA
BAUTHORPALETTECLOSE,BSZERZŐIPALETTABEZÁR
BCLOSE,BBEZÁR
BCONSTRUCTION,BSZERKGEOM
BCOUNT,BCOUNT
BCPARAMETER,BKPARAMÉTER
BCYCLEORDER,BCIKLUSSORREND
BDA,BDA
BEDIT,BSZERK
BESETTINGS,BLOKKSZERKBEÁLL
bevel,letörés
BEXTEND,BEXTEND
BGRIPSET,BFOGÓKÉSZLET
BHATCH,HSRAFFOZ
bill of materials,darabjegyzék
binary large object,nagy bináris objektum
bitonal image,bitonális kép
blend mode,keverési mód
blend surface,simítási felület
BLOB,BLOB
block authoring object,blokk-készítési objektum
block library,blokk-könyvtár
block properties table,blokk tulajdonságtáblája
block replacement,blokk lecserélése
BLOCKICON,BLOKKIKON
BLOCKMRULIST,BLOCKMRULIST
BLOCKNAVIGATE,BLOCKNAVIGATE
BLOCKREPLACE,BLOCKREPLACE
BLOCKSDATAOPTION,BLOKKADATBEÁLL
BLOCKSPALETTE,BLOKKPALETTA
BLOCKSPALETTECLOSE,BLOKKPALETTABEZÁR
BLOCKTOXREF,BLOCKTOXREF
BLOOKUPTABLE,BKERESÉSITÁBLÁZAT
blow off valve,Lefúvató szelep
BMAKE,BKÉSZÍT
BMOD,BMOD
BMPOUT,BMPKI
BOM,DBJ
boolean,logikai
BOUNDARY,HVONAL
bounded area,körülhatárolt terület
bounding area,befoglaló terület
BOX,TTEST
BPARAMETER,BPARAMÉTER
BPOLY,HVLÁNC
branch circuit,áramkör
break loop,megszakítási ciklus
break point,töréspont
BREAKATPOINT,MEGTÖRÉSPONTBAN
breaker,megszakító
BREAKLINE,BREAKLINE
break-out line,kitörési vonal
breakout section view,kitört metszeti nézet
breakpoint,töréspont
BREP,BREP
BREPLACE,BCSERE
BROWSER,BÖNGÉSZŐ
BROWSERCLOSE,BÖNGÉSZŐBEZÁR
BROWSEROPEN,BÖNGÉSZŐMEGNYIT
BSAVE,BMENT
BSAVEAS,BMENTMINT
BSCALE,BSCALE
BTABLE,BLOKKTÁBLA
BTESTBLOCK,BLOKKTESZT
BTRIM,BTRIM
bulge factor,kitüremkedési tényező
bulk copy,kötegelt másolás
bump map,felülettérkép
bump mapping,felülettérképezés
bus bar,gyűjtősín
BVHIDE,BLELREJT
BVSHOW,BLMEGJELENÍT
BVSTATE,BLÁLLAPOT
cable tray,kábeltálca
cable tray fitting,kábeltálca-szerelvény
CAL,KAL
CAMERA,KAMERA
camera calibration,kamerakalibrálás
camera glyph,kamera jele
canvas,vászon
cap filleting,Lezárás lekerekítése
cap height,nagybetűmagasság
Cascading Style Sheets,egymásra épülő stíluslapok
casing,védőcső
casing model,Védőcsőmodell
Catmull-Clark subdivision surface,Catmull-Clark osztófelület
CDORDER,CDORDER
center line,középvonal
center mark,középjel
CENTERDISASSOCIATE,KÖZÉPLEVÁLASZT
CENTERLINE,KÖZÉPVONAL
CENTERMARK,KÖZÉPPONTJEL
CENTERREASSOCIATE,KÖZÉPÚJRACSATOL
CENTERRESET,KÖZÉPVISSZAÁLLÍT
CHAMFEREDGE,ÉLLETÖR
CHAR,CHAR
character large object,nagy karakteres objektum
CHECKSTANDARDS,SZABVÁNYELLENŐRZÉS
child feature class,gyermek jellemzőosztály
CHPROP,TVÁLT
CHSPACE,TÉRVÁLT
CHURLS,CHURLS
cinematic shot,mozgóképes felvétel
CIRCLE,KÖR
circlip,rögzítőgyűrű
circuit breaker,árammegszakító
CLASSICGROUP,KLASSZIKUSCSOPORT
CLASSICIMAGE,KLASSZIKUSKÉP
CLASSICINSERT,KLASSZIKUSBEILL
CLASSICLAYER,KLASSZIKUSFÓLIA
CLASSICXREF,KLASSZIKUSXREF
CLEANSCREENOFF,TISZTAKÉPERNYŐKI
CLEANSCREENON,TISZTAKÉPERNYŐBE
clip volume,metszőtérfogat
CLIPIT,CLIPIT
CLOB,CLOB
CLOSEALL,MINDBEZÁR
CLOSEALLOTHER,MINDENMÁSTBEZÁR
closed edge,lezárt él
code combination,kódkombináció
COGO,COGO
cold grip,inaktív fogó
cold water fixture unit,egyenértékű hidegvízfogyasztási egység
colinear,egyvonalú
colinear constraint,egyvonalú kényszer
collate,leválogat
collection,gyűjtemény
collinear,egyvonalú
color book,színkatalógus
colorbook,színkatalógus
combustion chamber,égéstér
COMMANDLINE,PARANCSSOR
COMMANDLINEHIDE,PARANCSSORELREJT
COMMANDMACROS,PARANCSMAKRÓK
COMMANDMACROSCLOSE,PARANCSMAKRÓKBEZÁR
comminuting machine,őrlőgép
COMPARECLOSE,ÖSSZEHASONLÍTÁSBEZÁR
COMPAREEXPORT,ÖSSZEHASONLÍTÁSEXPORT
COMPAREIMPORT,ÖSSZEHASONLÍTÁSIMPORT
COMPAREINFO,ÖSSZEHASONLÍTINFÓ
component list,összetevőlista
composite solid,összetett szilárdtest
composite symbol,összetett szimbólum
compound symbol,összetett szimbólum
compression,tömörítés
compression spring,nyomórugó
computed length,számított hossz
concentric,koncentrikus
conductor,vezető
conduit,vezeték
conduit fitting,csatornaidom
CONE,KÚP
CONFIG,KONFIG
connector pin,csatlakozótű
constrained object,kényszerezett objektum
constraint bar,kényszertár
constraint parameter,kényszerparaméter
constraint point,kényszerezési pont
constraint solver,kényszermegoldó
constraint variable,kényszerváltozó
CONSTRAINTBAR,KÉNYSZERTÁR
CONSTRAINTSETTINGS,KÉNYSZERBEÁLL
construction line,szerkesztővonal
CONTENT,TARTALOM
content library,tartalomtár
content pack,tartalomcsomag
control cabinet,vezérlőszekrény
control cable,vezérlőkábel
control hull,vezérlő háló
control point,vezérlőpont
control vertex,vezérlő csúcspont
control vertex hull,vezérlő csomópontok hálója
control vertices hull,vezérlő csomópontok hálója
CONVERTCTB,KONVERTCTB
CONVERTOLDLIGHTS,RÉGIFÉNYKONVERTÁL
CONVERTOLDMATERIALS,RÉGIANYAGKONVERTÁL
CONVERTPOLY,VLKONVERT
CONVERTPSTYLES,KONVERTNYSTÍLUS
CONVTOMESH,KONVERTHÁLÓVÁ
CONVTONURBS,KONVERTNURBSBE
CONVTOSOLID,KONVTESTTÉ
CONVTOSURFACE,KONVFELÜLETTÉ
coordinate reference system,koordinátareferencia-rendszer
coordinate system tracker,koordinátarendszer-követő
COORDINATIONMODELATTACH,KOORDINÁCIÓSMODELLCSATOL
COPYBASE,ALAPMÁSOL
COPYCLIP,VGMÁSOL
COPYFROMTRACE,PAUSZRÓLMÁSOL
COPYHIST,PTMÁSOL
COPYLINK,VGNMÁSOL
COPYM,COPYM
COPYTOLAYER,FÓLIÁRAMÁSOL
COUNTAREA,DARABSZÁMTERÜLET
COUNTAREACLOSE,DARABSZÁMTERÜLETBEZÁR
COUNTCLOSE,DARABSZÁMBEZÁR
COUNTFIELD,DARABSZÁMMEZŐ
COUNTLIST,DARABSZÁMLISTA
COUNTLISTCLOSE,DARABSZÁMLISTABEZÁR
COUNTNAVNEXT,DARABSZÁMNAVKÖVETKEZŐ
COUNTNAVPREV,DARABSZÁMNAVELŐZŐ
COUNTTABLE,DARABSZÁMTÁBLÁZAT
covering area,takarófelület
CRC,CRC
cross section,keresztmetszet
CRS,CRS
CS library,KR-könyvtár
CSS,CSS
cubic loft,harmadfokú pásztázás
CUI,CUI
CUI editor,CUI-szerkesztő
CUIEXPORT,CUIEXPORT
CUIIMPORT,CUIIMPORT
CUILOAD,CUIBETÖLT
CUIUNLOAD,CUITÖRÖL
current directory,aktuális alkönyvtár
curvature analysis,görbületelemzés
Customer Error Reporting,Felhasználói hibajelentés
customer support,ügyfélszolgálat
CUSTOMIZE,TESTRESZAB
CUTBASE,ALAPKIVÁG
CUTCLIP,VGVÁG
cutting line,metszővonal
CV,CV
CV hull,VCS háló
