source,target
3D Move gizmo,Alat Pindah 3D
3D Rotate gizmo,Alat Putar 3D
3D Scale gizmo,Alat Skala 3D
ACS,ACS
Action Editor,Editor Tindakan
AEC content,Konten AEC
AEC entity,Entitas AEC
AEC object,Objek AEC
aligned dimension,dimensi yang sejajar
aligned section view,tampilan bagian sejajar
ALKIS,ALKIS
all-around symbol,simbol serbaguna
alpha-blend,campuran alfa
alternate unit,unit alternatif
analytical surface,permukaan analitik
angle of deflection,sudut defleksi
annotation,anotasi
annotational constraint,kendala anotasi
annotative object,objek anotatif
anode,anoda
anode station,stasiun anoda
appearance style,gaya penampilan
arc,busur
arc length,panjang busur
arc radius,radius busur
arc segmentation,segmentasi busur
arc-chord distance,jarak akor busur
area value,nilai area
ARG,ARG
assembly extraction template,templat ekstraksi perakitan
associative array,array asosiatif
associative QDIM extension,ekstensi QDIM asosiatif
assumed nozzle,nosel yang diasumsikan
ATIL,ATIL
AutoCAD color index,Indeks warna AutoCAD
AutoCAD Mobile,AutoCAD Seluler
Autocad Mobile app,Aplikasi AutoCAD Seluler
AutoComplete,Lengkapi Otomatis
Autodesk Assistant,Asisten Autodesk
Autodesk Manufacturing Community Portal,Portal Komunitas Manufaktur Autodesk
AutoLISP development,Pengembangan AutoLISP
AutoLISP environment,Lingkungan AutoLISP
auxiliary coordinate system,sistem koordinat tambahan
axial stress,tekanan aksial
axiality,aksialitas
azimuth,azimut
ball mill,penggiling bola
base point,titik dasar
Batch Standards Checker,Pemeriksa Standar Batch
baud rate,laju baud
BDA,BDA
below grade,kelas lebih renda
bevel groove weld,las alur kemiringan
bill of materials,daftar bahan
binary large object,objek biner besar
bitonal image,gambar bitonal
blend mode,mode campuran
blend surface,permukaan campuran
BLOB,BLOB
block authoring object,objek pembuat blok
block definition,definisi blok
block library,pustaka blok
block properties table,tabel properti blok
block replacement,penggantian blok
Blocks palette,Palet blok
BOM,BOM
BOM grid,Kisi BOM
bounded area,area yang dibatasi
bounding area,area pembatas
branch circuit,sirkuit cabang
break loop,memutus perulangan
break point,titik putus
breakpoint,titik putus
bulge,tonjolan
bulge factor,faktor tonjolan
bulk copy,salinan massal
bump,benjolan
bump map,peta benjolan
bump mapping,pemetaan benjolan
cable tray,baki kabel
cable tray fitting,pemasangan baki kabel
camera calibration,kalibrasi kamera
camera glyph,glif kamera
cap filleting,pemotongan tutup
cap height,tinggi tutup
caret,tanda sisipan
cascading style sheets,lembar gaya berjenjang
catalog browser,browser katalog
catalog number,nomor katalog
Catmull-Clark subdivision surface,Permukaan subdivisi Catmull-Clark
center line,garis tengah
center mark,tanda tengah
center point,titik pusat
chamfer,chamfer
character large object,karakter objek besar
cinematic shot,bidikan sinematik
circlip,sirklip
clip volume,volume klip
clipping plane,bidang kliping
CLOB,CLOB
closed edge,tepi tertutup
code combination,kombinasi kode
cold grip,cold grip
cold water fixture unit,unit perlengkapan pasokan air dingin
colinear constraint,batasan kolinear
collected balloons,balon koleksi
collection,koleksi
color book,buku mewarnai
colorbook,buku mewarnai
combustion chamber,ruang pembakaran
comminuting machine,mesin penghancur
component list,daftar komponen
composite solid,komposit padat
composite symbol,simbol komposit
compound joint,senyawa sambungan
compound symbol,simbol gabungan
compression,kompresi
compression end,ujung kompresi
conduit,saluran
conduit fitting,pemasangan saluran
connector pin,pin konektor
constrained object,objek terbatas
constraint,batasan
constraint bar,bilah batasan
constraint parameter,parameter batasan
constraint point,titik batasan
constraint variable,variabel batasan
construction line,garis konstruksi
Content Editor,Editor Konten
content library,pustaka konten
content pack,paket konten
control hull,hull kontrol
control point,titik kontrol
control vertex,titik sudut kontrol
control vertex hull,hull titik sudut kontrol
control vertices hull,hull sekumpulan titik kontrol
coordinate system tracker,pelacak sistem koordinat
corner point,titik sudut
cross section,irisan melintang
CRS,CRS
CS library,Pustaka CS
CSS,CSS
CUI editor,editor CUI
current directory,direktori saat ini
curvature analysis,analisis kelengkungan
customer error reporting,pelaporan kesalahan pelanggan
customer support,dukungan pelanggan
cutting line,garis potong
CWFU,CWFU
datum,datum
datum identifier,pengenal datum
datum note,catatan datum
datumpoint,titik datum
DCM Engine,Mesin DCM
dead joint symbol,simbol sendi mati
default lighting,pencahayaan default
default mleader style,gaya mleader default
default plot style,gaya plot default
default table style,gaya tabel default
DEFPOINTS,DEFINISI
dependency highlighting,penyorotan dependensi
depth of field,kedalaman bidang
Design Review,Tinjauan Desain
Design Web Format,Desain Format Web
destination arrow,panah tujuan
destination signal arrow,tanda panah sinyal tujuan
diameter,diameter
diffuse map,peta difusi
digital elevation model,model elevasi digital
Digital Signature extension,Ekstensi Tanda Tangan Digital
digitizer puck,alat pendigit
digitizing tablet,tablet digitalisasi
dimension association,asosiasi dimensi
dimension constraint,batasan dimensi
dimension line,garis dimensi
dimension style,gaya dimensi
dimensional constraint,batasan dimensional
distributed rendering,rendering terdistribusi
DMS,DMS
DOF,DOF
dots per inch,titik per inci
DPI,DPI
draft analysis,analisis draf
draggable dimension,dimensi yang dapat diseret
drawing congestion,kemacetan gambar
drawing folder,folder gambar
Drawing Interchange Format,Drawing Interchange Format
Drawing Manager,Pengelola Gambar
drawing source,sumber gambar
drawtime,waktu menggambar
driven constraint,batasan yang didorong
driving dimension,dimensi penggerak
DTED,DTED
duct fitting,pemasangan saluran
dump,buang
DWF,DWF
DWG Convert,Konversi DWG
DWG TrueConvert,DWG TrueConvert
DXF,DXF
dynamic constraint,batasan dinamis
edit in place,edit di tempat
editing tool,alat pengeditan
ejector,ejektor
elbow,siku
emitter,pemancar
end point,titik akhir
enhanced secondary window,jendela sekunder yang ditingkatkan
enhanced viewer,penampil yang ditingkatkan
environment map,peta lingkungan
EPSG code,Kode EPSG
ESW,ESW
evaluation version,versi evaluasi
Expression Builder,Pembangun Ekspresi
extended help file,file bantuan yang diperluas
Extensible Markup Language,Extensible Markup Language
Extensible Stylesheet Language,Bahasa Lembar Gaya yang Dapat Diperluas
extension line,garis ekstensi
External Reference Manager,Pengelola Referensi Eksternal
extraction template,templat ekstraksi
fabricated equipment,peralatan fabrikasi
facet,segi
fast breeder reactor,reaktor pembiak cepat
FDO,FDO
features,fitur
FG,FG
fill pattern,pola pengisian
final gathering,pertemuan terakhir
fit point,titik pas
flow arrow,panah aliran
flow direction,arah aliran
flyout,flyout
fly-out,fly-out
fold panel,panel lipat
frame,bingkai
frame rate,laju bingkai
freeform design,desain bentuk bebas
front clipping plane,bidang kliping depan
fuel degasifier,pengurai bahan bakar
fuel gasifier,gasifikasi bahan bakar
functionality,fungsionalitas
gap,celah
geodetic transformation,transformasi geodesi
geometric constraint,kendala geometris
geospatial information,informasi geospasial
GIS,GIS
gizmo,alat
Gooch shading,Bayangan Gooch
Google Earth,Google Earth
gradient ramp,jalur gradien
grading plan,rencana grading
groove depth,kedalaman alur
ground water,air tanah
Group Policy Object,Objek Kebijakan Grup
grouped BOM row,baris BOM dikelompokkan
hardware shader,shader perangkat keras
hatch pattern,pola arsir
horizontal landing,pendaratan horizontal
hot grip,hot grip
hot water fixture unit,unit perlengkapan pasokan air panas
i-drop Enhancer,Penambah i-drop
i-drop Indicator,Indikator i-drop
illuminance distance,jarak iluminasi
implied windowing,jendela tersirat
in-canvas tool,alat dalam kanvas
included angle,sudut yang disertakan
index color,indeks warna
industry model,model industri
information channel,saluran informasi
inspection dimension,dimensi inspeksi
Interactive Create & Edit,Buat & Edit Interaktif
interference check,pemeriksaan gangguan
inverse linear,linier terbalik
inverse square,kuadrat terbalik
ISA,ISA
isoline,isoline
isoparm,isoparm
Keyhole Markup Language,Keyhole Markup Language
KML,KML
KMZ,KMZ
knot parameterization,parameterisasi knot
knot vector,vektor knot
label block,blok label
language pack,paket bahasa
latitude,lintang
Launchpad,Papan peluncuran
layer,lapisan
layer state,status lapisan
Learning AutoCAD 2010,Belajar AutoCAD 2010
level of smoothness,tingkat kehalusan
library,pustaka
license alert,peringatan lisensi
line merge,penggabungan garis
line summary list,daftar ringkasan garis
linear array,array linier
linear dimension,dimensi linier
lisp file,file lisp
Live Enabler,Pengaktif Langsung
live section,bagian langsung
loaded standard,standar yang dimuat
location,lokasi
long radius elbow,siku radius panjang
longitude,garis bujur
loop crossing,persimpangan perulangan
markup set,set penanda
Markup Set Manager,Pengelola Set Penanda
MDE,MDE
median,tengah
mental ray,mental ray
mental ray rendering engine,mesin rendering mental ray
MEP,MEP
mesh,jaring
midpoint,titik tengah
migration log file,file log migrasi
minidump,minidump
minimum cost spanning tree,pohon rentang biaya minimum
minimum spanning tree,pohon rentang minimum
mirror line,garis cermin
mitered elbow,siku berlekuk
MLD,MLD
mleader object,objek mleader
model parameter,parameter model
model space,ruang model
motor starter,motor starter
multi language dictionary,kamus multibahasa
multi-functional grip,pegangan multifungsi
multilanguage user interface,antarmuka pengguna multibahasa
multileader,multileader
multileader style,gaya multileader
Multiple Design Environment,Lingkungan Desain Ganda
MvPart,MvPart
nameplate,papan nama
NANT,NANT
NAS,NAS
NCLOB,NCLOB
nested reference,referensi tersarang
Network Attached Storage,Penyimpanan Jaringan Terlampir
network surface,permukaan jaringan
network tracing tool,alat pelacakan jaringan
non-associative array,array non-asosiatif
non-rectangular viewport,sudut pandang nonpersegi panjang
normal distribution,distribusi normal
normal style,gaya normal
northing,arah utara
nozzle list,daftar nosel
NPR,NPR
NURBS surface,permukaan NURBS
object snap mode,mode jepret objek
ObjectARX,ObjectARX
oblique angle,sudut objek miring
obscured line,garis tidak jelas
octant,oktan
OEM Make Wizard,Panduan Pembuatan OEM
Ohm,Ohm
opacity,opasitas
ordinate dimension,dimensi ordinat
ordinate dimensioning,pengukuran dimensi ordinat
organic modeling,pemodelan organik
orientation,orientasi
ortho drawing,gambar orto
ortho mode,mode orto
ortho view,tampilan orto
ortho-image,gambar orto
over-constrain,terlalu dibatasi
overlapping ring,cincin tumpang tindih
overline,garis atas
overlining,garis luar
override theme,mengganti tema
P&ID,P&ID
panorama,pemandangan
paper space,ruang kertas
parametric drawing,gambar parametrik
parametric expression,ekspresi parametrik
part extraction template,templat ekstraksi bagian
part reference,referensi bagian
patch list,daftar patch
patch surface,permukaan patch
path array,array jalur
path curve,kurva jalur
pen width,lebar pena
Pencil tool,Alat pensil
periodic curve,kurva periodik
persistent object snap,jepret objek persisten
persistent reactor,reaktor persisten
photo modeling,pemodelan foto
photon map,peta foton
physical prototyping,pembuatan prototipe fisik
pickfirst set,pilih set pertama
PIP,PIP
pipe fitting,pemasangan pipa
pipe gap end,celah ujung pipa
pipe insulation,isolasi pipa
planar face,muka planar
plastic socket,soket plastik
plot stamp,stempel plot
plot style,gaya plot
pointer input,input penunjuk
polar array,array polar
polar stretch,peregangan polar
polar tracking,pelacakan polar
PolarSnap,JepretPolar
polling frequency,frekuensi poling
polyarc segment,segmen busur poli
polyface mesh,jaring polifaset
polygon mesh,jaring poligon
polyline,garis poli
power dimensioning,pengukuran dimensi daya
power station,pembangkit listrik
precision presets manager,pengelola prasetel presisi
pressed joint,sambungan yang ditekan
production isometric drawing,gambar isometrik produksi
profile curve,kurva profil
progressive tooltip,tipalat progresif
project dashboard,dasbor proyek
Project Simulus,Project Simulus
projected coordinate system,sistem koordinat yang diproyeksikan
properties inspector,inspektur properti
property line,garis properti
Quick Dimension,Dimensi Cepat
Quick option,Opsi cepat
