source,target
3D mesh primitive,mesh 3D elementare
3D Move gizmo,gizmo Spostamento 3D
3D Rotate gizmo,gizmo Rotazione 3D
3D Scale gizmo,gizmo Scala 3D
3DALIGN,ALLINEA3D
3DARRAY,SERIE3D
3DCLIP,3DRITAGLIO
3DCORBIT,3DORBITACON
3DDISTANCE,3DDISTANZA
3DDWF,DWF3D
3DDWFPUBLISH,PUBBLICADWF3D
3DEDITBAR,3DEDITBAR
3DFACE,3DFACCIA
3DFLY,VOLO3D
3DFORBIT,ORBITALIB3D
3DMESH,3DMESH
3DMOVE,SPOSTA3D
3DORBIT,3DORBITA
3DORBITCTR,3DORBITCTR
3DORBITTRANSPARENT,ORBITA3DTRASP
3DOSNAP,3DOSNAP
-3DOSNAP,-3DOSNAP
3DPAN,3DPAN
3DPANTRANSPARENT,3DPANTRASPARENTE
3DPOLY,3DPOLI
3DPRINT,STAMPA3D
3DPRINTSERVICE,SERVIZIOSTAMPA3D
3DROTATE,ROTAZIONE3D
3DSCALE,SCALA3D
3DSIN,3DSIN
3DSWIVEL,ROTASSE3D
3DSWIVELTRANSPARENT,ROTASSE3DTRASP
3DWALK,PASSEGG3D
3DZOOM,3DZOOM
3DZOOMTRANSPARENT,3DZOOMTRASPARENTE
ACADBLOCKDIALOG,ACADBLOCKDIALOG
ACADINFO,ACADINFO
ACADWBLOCKDIALOG,ACADWBLOCKDIALOG
ACISIN,ACISIN
ACISOUT,ACISOUT
ACS,ACS
ACTBASEPOINT,AZIONEPUNTOBASE
ACTIVITYINSIGHTSCLOSE,CHIUDIINFOAPPROFATTIV
ACTIVITYINSIGHTSOPEN,APRIINFOAPPROFATTIV
ACTMANAGER,AZIONEGEST
ACTRECORD,AZIONEREG
ACTSTOP,AZIONESTOP
ACTUSERINPUT,AZIONEINPUTUT
ACTUSERMESSAGE,AZIONEMESSUT
ADC,ADC
ADCCLOSE,CHIUDIADC
ADCCUSTOMNAVIGATE,ADCCUSTOMNAVIGATE
ADCENTER,ADCENTER
ADCNAVIGATE,NAVIGAADC
ADDSELECTED,ADDSELECTED
AEC Collection,AEC Collection
AEC content,Contenuto AEC
AEC entity,entità AEC
AEC object,oggetto AEC
AI_CIRCTAN,AI_CIRCTAN
AI_PSPACE,AI_PSPACE
AIDIMPREC,AIDIMPREC
AIDIMSTYLE,AIDIMSTYLE
AIDIMTEXTMOVE,AIDIMTEXTMOVE
ALIASEDIT,ALIASEDIT
Aligned Dimension,Quota allineata
aligned section view,vista in sezione allineata
ALIGNSPACE,ALIGNSPACE
ALKIS,ALKIS
all-around symbol,simbolo su tutto il profilo
ALLPLAY,RIPRTUTTO
alpha-blend,alfa blending
alternate unit,unità alternativa
AMECONVERT,CONVERSAME
ANALYSISCURVATURE,ANALISICURVATURA
ANALYSISDRAFT,ANALISISFORMO
ANALYSISOPTIONS,OPZIONIANALISI
ANALYSISZEBRA,ANALISIZEBRA
analytical surface,superficie analitica
angle of deflection,angolo di deflessione
ANIPATH,ANIMAPERC
ANNORESET,RIPRISTANN
annotation,annotazione
annotational constraint,vincolo annotativo
annotative object,oggetto annotativo
ANNOUPDATE,AGGIORNANNOT
APERTURE,APERTURA
APPAUTOLOADER,APPAUTOLOADER
appearance style,stile aspetto
APPLOAD,APPLOAD
APPSTORE,APPSTORE
arc,arco
arc segmentation,segmentazione arco
arc-chord distance,distanza arco-corda
ARCTEXT,ARCTEXT
AREA,AREA
ARG,ARG
ARRAY,SERIE
ARRAYCLASSIC,SERIECLASSICA
ARRAYCLOSE,CHIUDISERIE
ARRAYEDIT,MODIFSERIE
ARRAYPATH,SERIETRAIETT
ARRAYPOLAR,SERIEPOLARE
ARRAYRECT,SERIERETTANG
ARX,ARX
assembly extraction template,modello di estrazione assieme
ASSISTANTCLOSE,CHIUDIASSISTENTE
ASSISTANTOPEN,APRIASSISTENTE
Associative QDIM extension,Associative QDIM extension
ATEXT,TESTOA
ATIL,ATIL
ATTACHURL,ATTACCAURL
ATTDEF,DEFATT
ATTDISP,VISATT
ATTEDIT,EDITATT
ATTEXT,ESTRATT
ATTIN,ATTIN
ATTIPEDIT,MODLOCATTR
ATTOUT,ATTOUT
ATTREDEF,ATTREDEF
ATTSYNC,SINCATT
AutoCAD color index,Indice dei colori di AutoCAD
AutoCAD Mobile,AutoCAD per dispositivi mobili
Autocad Mobile app,app Mobile Autocad
AutoComplete,completamento automatico
AUTOCONSTRAIN,VINCAUTO
Autodesk Assistant,Autodesk Assistant
Autodesk Content Explorer,Autodesk Content Explorer
Autodesk Manufacturing Community Portal,portale Autodesk Manufacturing Community
AUTODESKCONNECTIONPOINT,AUTODESKCONNECTIONPOINT
AutoLISP,AutoLISP Project Files
AutoLISP development,sviluppo AutoLISP
AutoLISP environment,ambiente AutoLISP
AUTOPUBLISH,AUTOPUBBL
auxiliary coordinate system,sistema di coordinate ausiliario
axial stress,sollecitazione assiale
axis offset,scostamento dell'asse
azimuth,azimut
BACKGROUND,SFONDO
BACTION,AZIONEBLOC
BACTIONBAR,BARAZIONEBLOC
BACTIONSET,GRUPPOAZIONEBLOC
BACTIONTOOL,STRUMAZIONEBLOC
ball mill,tornio a sfera
BASE,BASE
base point,punto base
BASSOCIATE,ASSOCIABLOC
Batch Standards Checker,Controllo batch per standard
BATTMAN,GESTATTBL
BATTORDER,ORDATTBLOC
baud rate,velocità di trasmissione
BAUTHORPALETTE,TAVCREABLOC
BAUTHORPALETTECLOSE,CHIUDITAVCREABLOC
BCLOSE,CHIUDIBLOC
BCONSTRUCTION,BLOCCOSTR
BCOUNT,BCOUNT
BCPARAMETER,BLOCPARAMVINC
BCYCLEORDER,ORDINACICLIBLOC
BDA,BDA
BEDIT,MODIFBLOC
below grade,sotto il livello del suolo
BESETTINGS,IMPOSTBLOCEDIT
bevel,smussatura
BEXTEND,BEXTEND
BGRIPSET,GRUPPOGRIPBLOC
BHATCH,PTRATT
bill of materials,distinta componenti
bitonal image,immagine bitonale
blend mode,modalità di miscelazione
blend surface,superficie di raccordo
BLOB,BLOB
block authoring object,oggetto di creazione dei blocchi
block library,libreria di blocchi
block properties table,tabella delle proprietà del blocco
block replacement,sostituzione blocco
BLOCK?,BLOCK?
BLOCKICON,BLOCCOICONA
BLOCKMRULIST,BLOCKMRULIST
BLOCKREPLACE,BLOCKREPLACE
BLOCKSDATAOPTION,OPZIONEDATIBLOCCHI
BLOCKSPALETTE,TAVOLOZZABLOCCHI
BLOCKSPALETTECLOSE,CHIUDITAVOLOZZABLOCCHI
BLOCKTOXREF,BLOCKTOXREF
BLOOKUPTABLE,TABCONTRDINAMBLOC
BMAKE,BMAKE
BMOD,MODBL
BMPOUT,BMPOUT
BOM,BOM
BOM grid,griglia della distinta componenti
boolean,booleano
BOUNDARY,CONTORNI
bounded area,area delimitata
bounding area,area di delimitazione
BOX,PARALLELEPIPEDO
BPARAMETER,PARAMBLOC
BPOLY,PPOLI
branch circuit,circuito derivato
break loop,ciclo di interruzione
break point,punto di interruzione
BREAKATPOINT,SPEZZAALPUNTO
BREAKLINE,BREAKLINE
break-out line,linea di interruzione
breakpoint,punto di interruzione
BREP,RAPPRCONT
BREPLACE,SOSTITUISCIB
BROWSER,BROWSER
BROWSERCLOSE,CHIUDIBROWSER
BROWSEROPEN,APRIBROWSER
BSAVE,SALVABLOC
BSAVEAS,SALVABLOCNOME
BSCALE,BSCALE
BTABLE,TABELLABLOC
BTESTBLOCK,VERIFBLOC
BTRIM,BTRIM
bulge,curvatura
bulge factor,fattore di curvatura
bulk copy,copia globale
bump,composizione in rilievo
bump map,mappa in rilievo
bump mapping,mappa di composizione in rilievo
BURST,BURST
BVHIDE,NASCBLOC
BVSHOW,MOSTRABLOC
BVSTATE,STATOVISBLOC
cable tray,passerella
cable tray fitting,raccordo della passerella
CAL,CAL
CAMERA,APPFOT
camera calibration,calibrazione dell'apparecchio fotografico
camera glyph,glifo dell'apparecchio fotografico
canvas,area di disegno
cap,terminazione
cap filleting,raccordo delle estremità
cap height,altezza della maiuscola
caret,punto di inserimento
Cascading Style Sheets,fogli di stile CSS
Catmull-Clark subdivision surface,superficie di suddivisione Catmull-Clark
CDORDER,CDORDER
center line,linea d'asse
center mark,centro
center point,punto centrale
CENTERDISASSOCIATE,DISSOCIACENTRO
CENTERLINE,LINEAASSE
CENTERREASSOCIATE,RIASSOCIACENTRO
CENTERRESET,REIMPOSTACENTRO
CHAMFEREDGE,CIMASPIGOLO
CHAR,CHAR
CHECKSTANDARDS,CONTRSTANDARD
CHPROP,CAPROP
CHSPACE,CAMBIASPAZIO
CHURLS,CHURLS
cinematic shot,ripresa cinematica
CIRCLE,CERCHIO
circlip,graffa circolare
CLASSICGROUP,GRUPPOCLASSICO
CLASSICIMAGE,IMMCLASSIC
CLASSICINSERT,INSERCLASSICO
CLASSICLAYER,LAYERCLASSICO
CLASSICXREF,XRIFCLASSIC
CLEANSCREENOFF,DISATTSCHINT
CLEANSCREENON,ATTSCHINT
CLIP,CLIP
clip volume,volume di ritaglio
CLIPIT,CLIPIT
CLOB,CLOB
CLOSEALL,CHIUDITUTTI
CLOSEALLOTHER,CHIUDITUTTIGLIALTRI
closed edge,spigolo chiuso
code combination,combinazione di norma
cold grip,grip freddo
cold water fixture unit,portata di progetto acqua fredda
colinear,collineare
colinear constraint,vincolo collineare
collate,classificare
collected balloons,numeri di riferimento raggruppati
collection,raccolta
collinear,collineare
COLOR,COLORE
color book,catalogo colori
colorbook,catalogo colori
combined electric and heat generating station,centrale di produzione combinata di energia elettrica e calore
combustion chamber,camera di combustione
COMMANDLINE,LINEACOM
COMMANDLINEHIDE,NASCLINEACOM
COMMANDMACROS,MACROCOMANDI
COMMANDMACROSCLOSE,CHIUDIMACROCOMANDI
comminuting machine,macchina di frantumazione
COMPARECLOSE,CHIUDICONFRONTO
COMPAREEXPORT,ESPORTACONFRONTO
COMPAREIMPORT,IMPORTACONFRONTO
COMPAREINFO,CONFRONTAINFO
component list,elenco componenti
composite solid,solido composto
composite symbol,simbolo composito
compound symbol,simbolo composto
compression,compressione
concentric,concentrico
conduit,tubo protettivo
conduit fitting,raccordo tubo protettivo
CONE,CONO
CONFIG,CONFIGURA
connector pin,pin del connettore
constrained object,oggetto vincolato
constraint bar,barra dei vincoli
constraint parameter,parametro del vincolo
constraint point,punto di vincolo
constraint variable,variabile del vincolo
CONSTRAINTBAR,BARRAVINC
CONSTRAINTSETTINGS,IMPOSTVINC
construction line,linea di costruzione
Content Editor,Editor contenuti
content library,libreria di contenuti
content pack,pacchetto di contenuti
control hull,reticolo di controllo
control point,punto di controllo
control vertex,vertice di controllo
control vertex hull,reticolo vertici di controllo
control vertices hull,reticolo vertici di controllo
CONVERTCTB,CONVERTCTB
CONVERTOLDLIGHTS,CONVERTILUCIPREC
CONVERTOLDMATERIALS,CONVERTIMATPREC
CONVERTPOLY,CONVERTIPOLI
CONVERTPSTYLES,CONVERTSTILIST
CONVTOMESH,CONVINMESH
CONVTONURBS,CONVINNURBS
CONVTOSOLID,CONVINSOLIDO
CONVTOSURFACE,CONVINSUPERF
coordinate reference system,sistema di coordinate di riferimento
coordinate system tracker,ricerca sistema di coordinate
COORDINATIONMODELATTACH,ASSOCIAMODELLOCOORDINAMENTO
COPYBASE,COPIAPUNTOB
COPYCLIP,COPIACLIP
COPYFROMTRACE,COPIADATRACCIA
COPYHIST,COPIACRONO
COPYLINK,COLLEGA
COPYM,COPYM
COPYTOLAYER,COPIASULAY
corner point,punto angolo
COUNTAREA,AREACONTEGGIO
COUNTAREACLOSE,CHIUDIAREACONTEGGIO
COUNTCLOSE,CHIUDICONTEGGIO
COUNTFIELD,CAMPOCONTEGGIO
COUNTLIST,ELENCOCONTEGGIO
COUNTLISTCLOSE,CHIUDIELENCOCONTEGGIO
COUNTNAVNEXT,NAVCONTEGGIOSUC
COUNTNAVPREV,NAVCONTEGGIOPREC
COUNTTABLE,TABELLACONTEGGIO
CRC,CRC
crease,piega
cross section,sezione trasversale
CRS,CRS
CS library,libreria SC
CSS,CSS
CUI,IUPERS
CUI editor,editor Personalizza interfaccia utente
CUIEXPORT,ESPORTAIUPERS
CUIIMPORT,IMPORTAIUPERS
CUILOAD,CARICAIUPERS
CUIUNLOAD,SCARICAIUPERS
current directory,directory corrente
curvature analysis,analisi curvatura
Customer Error Reporting,Rapporto errori clienti
customer support,supporto clienti
CUTBASE,BASETAGLIO
CUTCLIP,TAGLIACLIP
cutting line,linea di taglio
CV,CV
CV hull,reticolo VC
CVADD,AGGVC
CVHIDE,NASCVC
CVREBUILD,RICREAVC
CVREMOVE,RIMUOVIVC
CVSHOW,MOSTRAVC
CWFU,CWFU
CYLINDER,CILINDRO
DATAEXTRACTION,ESTRDATI
DATALINK,COLLDATI
DATALINKUPDATE,AGGIORNCOLLDATI
DATE,DATA
DBCCONFIGURE,DBCCONFIGURE
DBCCONNECT,DBCCONNECT
DBCDEFINELLT,DBCDEFINELLT
DBCDEFINELT,DBCDEFINELT
DBCDELETELINKS,DBCDELETELINKS
DBCDELETELLT,DBCDELETELLT
DBCDELETELT,DBCDELETELT
DBCDELETEQRY,DBCDELETEQRY
DBCDISCONNECT,DBCDISCONNECT
DBCEDITLINKEDTABLE,DBCEDITLINKEDTABLE
DBCEDITLLT,DBCEDITLLT
DBCEDITLT,DBCEDITLT
DBCEDITQRY,DBCEDITQRY
DBCEDITTABLE,DBCEDITTABLE
DBCEXECUTEQRY,DBCEXECUTEQRY
DBCEXPORTLINKS,DBCEXPORTLINKS
DBCEXPORTQS,DBCEXPORTQS
DBCEXPORTTS,DBCEXPORTTS
DBCHIDELABELS,DBCHIDELABELS
DBCIMPORTQRY,DBCIMPORTQRY
DBCIMPORTQS,DBCIMPORTQS
DBCIMPORTTS,DBCIMPORTTS
DBCLINKCONVERSION,DBCLINKCONVERSION
DBCLINKMANAGER,DBCLINKMANAGER
DBCONNECT,COLLEGADB
DBCRELOADLABELS,DBCRELOADLABELS
DBCSELECTLINKS,DBCSELECTLINKS
DBCSHOWLABELS,DBCSHOWLABELS
DBCVIEWLINKEDTABLE,DBCVIEWLINKEDTABLE
DBCVIEWTABLE,DBCVIEWTABLE
DBLIST,LISTDB
DCALIGNED,VDALLINEATO
DCANGULAR,VDANGOLARE
DCCONVERT,VDCONVERTI
DCDIAMETER,VDDIAMETRICO
DCDISPLAY,VDVISUALIZZA
DCFORM,VDTIPO
DCHORIZONTAL,VDORIZZONTALE
DCLINEAR,VDLINEARE
DCM Engine,motore DCM
DCRADIUS,VDRAGGIO
DCVERTICAL,VDVERTICALE
DDATTE,DDATTE
DDGRIPS,DDGRIPS
DDIM,DDIM
DDINSERT,DDINSERT
DDPLOTSTAMP,DDPLOTSTAMP
DDRMODES,DDIMODI
DDSELECT,DDSELECT
DDSTYLE,DDSTILE
DDUCS,DDUCS
DDUCSP,DDUCSP
DDUNITS,DDUNITS
DDVPOINT,DDVPOINT
dead joint symbol,simbolo di giunto inamovibile
DELAY,PAUSA
DELCONSTRAINT,ELIMVINC
dependency highlighting,evidenziazione della dipendenza
Design Review,Design Review
Design Web Format,Design Web Format
DESKTOPANALYTICS,ANALISIDESKTOP
DETACHURL,STACCAURL
DGNADJUST,REGOLADGN
DGNATTACH,ALLEGADGN
DGNBIND,UNISCIDGN
DGNCLIP,RITAGLIADGN
DGNEXPORT,ESPORTADGN
DGNIMPORT,IMPORTADGN
DGNLAYERS,LAYERDGN
DGNMAPPING,MAPDGN
diameter,diametro
diffuse map,mappa diffusa
Digital Signature Extension,Digital Signature Extension
DIGITALSIGN,FIRMEDIGITALI
digitizer puck,cursore di selezione del digitalizzatore
digitizing tablet,tavoletta di digitalizzazione
DIM,DIM
DIM1,DIM1
DIMALIGNED,DIMALLINEATA
DIMANGULAR,DIMANGOLO
DIMARC,ARCOQUOTA
DIMBASELINE,DIMLBASE
DIMBREAK,INTERRQUOTA
DIMCENTER,DIMCENTRO
DIMCONTINUE,DIMCONTINUA
DIMDIAMETER,DIMDIAMETRO
DIMDISASSOCIATE,DIMDISSOCIA
DIMEDIT,DIMEDITA
dimension association,associazione quote
dimension constraint,vincolo dimensionale
dimension line,linea di quota
dimension style,stile di quota
dimensional constraint,vincolo dimensionale
DIMEX,DIMEX
DIMHORIZONTAL,DIMORIZZONTALE
DIMIM,DIMIM
DIMINSPECT,QUOTANALISI
DIMJOGGED,QUOTARIDOTTA
DIMJOGLINE,QUOTARIDLIN
DIMLINEAR,DIMLINEARE
DIMORDINATE,DIMCOORDINATA
DIMOVERRIDE,DIMMODILOCALE
DIMRADIUS,DIMRAGGIO
DIMREASSOC,DIMREASSOC
DIMREASSOCIATE,DIMRIASSOCIA
DIMREGEN,DIMRIGEN
DIMROTATED,DIMRUOTATO
DIMSPACE,SPAZIOQUOTE
DIMTEDIT,DIMTEDIT
DIMVERTICAL,DIMVERTICALE
DIST,DIST
DISTANTLIGHT,LUCELONTANA
distributed rendering,rendering distribuito
dithering,dithering
DMS,DMS
dock,ancorare
DOF,DOF
DONUT,ANELLO
dots per inch,punti per pollice
DOUGHNUT,ANELLO
DOWNLOADMANAGER,GESTIONEDOWNLOAD
DPI,DPI
draft analysis,analisi sformo
draggable dimension,quota trascinabile
DRAGMODE,TRASCINA
drawing folder,cartella di disegno
Drawing Interchange Format,Drawing Interchange Format
Drawing Manager,Gestore disegno
drawing source,fonte dati Carta
DRAWINGRECOVERY,RECDISEGNO
DRAWINGRECOVERYHIDE,NASCRECDISEGNO
DRAWORDER,ORDINEDIS
drawtime,fase disegno
driven constraint,vincolo non parametrico
driving dimension,quota parametrica
DROPGEOM,RILGEOM
DSETTINGS,IMPOSTADIS
DTED,DTED
DTEXT,TESTODIN
duct fitting,Raccordo Condotto
dump,dump
DVIEW,VISTAD
DWF,DWF
DWFADJUST,REGOLADWF
DWFATTACH,ALLEGADWF
DWFCLIP,RITAGLIADWF
DWFFORMAT,FORMATDWF
DWFLAYERS,LAYERDWF
DWG Convert,DWG Convert
DWG TrueConvert,DWG TrueConvert
DWG TrueView,Autodesk DWG TrueView Sequoia
DWGCONVERT,CONVERTIDWG
DWGHISTORY,CRONOLOGIADWG
DWGHISTORYCLOSE,CHIUSURACRONOLOGIADWG
DWGPROPS,PROPDIS
DXBIN,DXBIN
DXF,DXF
DXFIN,DXFIN
DXFOUT,DXFOUT
dynamic constraint,vincolo dinamico
EATTEDIT,EATTEDIT
EATTEXT,ESTRATTAV
EDGE,EDGE
EDGESURF,SUPCOON
