source,target
3D Move gizmo,3D 移動ギズモ
3D Rotate gizmo,3D 回転ギズモ
3D Scale gizmo,3D 尺度変更ギズモ
3DALIGN,3D 位置合わせ
3DARRAY,3D 配列複写
3DCLIP,3D クリップ
3DCORBIT,3D 継続オービット
3DDISTANCE,3D 距離
3DDWF,3D DWF
3DDWFPUBLISH,3D DWF パブリッシュ
3DFACE,3D 面
3DFLY,3D フライスルー
3DFORBIT,3D 自由オービット
3DMESH,3D メッシュ
3DMOVE,3D 移動
3DORBIT,3D オービット
3DORBITCTR,3D オービット中心設定
3DORBITTRANSPARENT,3DORBITTRANSPARENT
3DPAN,3D 画面移動
3DPANTRANSPARENT,3DPANTRANSPARENT
3DPOLY,3D ポリライン
3DPRINT,3D プリント
3DPRINTSERVICE,3D プリント サービス
3DROTATE,3D 回転
3DSCALE,3D 尺度変更
3DSIN,3DS 読み込み
3DSWIVEL,3D 旋回
3DSWIVELTRANSPARENT,3DSWIVELTRANSPARENT
3DWALK,3D ウォークスルー
3DZOOM,3D ズーム
3DZOOMTRANSPARENT,3DZOOMTRANSPARENT
ACA,ACA
ACADBLOCKDIALOG,ACADBLOCKDIALOG
ACADINFO,ACADINFO
ACADWBLOCKDIALOG,ACADWBLOCKDIALOG
ACISIN,ACIS 読み込み
ACISOUT,ACIS 書き出し
ACS,ACS
ACTBASEPOINT,アクション マクロ基点挿入
action editor,アクション エディタ
ACTMANAGER,アクション マクロ管理
ACTRECORD,アクション マクロ記録
ACTSTOP,アクション マクロ記録停止
ACTUSERINPUT,アクション マクロ ユーザ入力
ACTUSERMESSAGE,アクション マクロ メッセージ挿入
ADC,ADC
ADCCLOSE,デザインセンターを閉じる
ADCCUSTOMNAVIGATE,ADCCUSTOMNAVIGATE
ADCENTER,デザインセンター
ADCNAVIGATE,デザインセンター パス設定
ADDSELECTED,選択オブジェクト追加
AEC entity,AEC 図形
AEC Industry,建設業界
AEC Industry Breakout,建設業界ブレイクアウト
AEC Industry Collection,建設業界コレクション
AEC Industry Overview,建設業界の概要
AEC Industry Partners,建設業界パートナー
AEC Industry Playbook,建設業界プレイブック
AEC Industry Sales Academy,建設業界販売アカデミー
AEC Industry Sales Materials,建設業界販売資料
AEC Industry Solutions,建設業界ソリューション
AEC Industry Trends,建設業界の動向
AEC object,AEC オブジェクト
aerial view,上空表示
AI_CIRCTAN,AI_CIRCTAN
AI_PSPACE,AI_PSPACE
AIDIMPREC,AIDIMPREC
AIDIMSTYLE,AIDIMSTYLE
AIDIMTEXTMOVE,AIDIMTEXTMOVE
ALIASEDIT,ALIASEDIT
Aligned Dimension,平行寸法
ALIGNSPACE,ALIGNSPACE
ALKIS,ALKIS
all-around symbol,全周記号
ALLPLAY,ALLPLAY
alpha-blend,アルファブレンド
alternate unit,変換単位
altimetry,高度測量
AMECONVERT,AME 変換
AMSHIDE,AMSHIDE
ANALYSISCURVATURE,曲率解析
ANALYSISDRAFT,勾配解析
ANALYSISOPTIONS,解析オプション
ANALYSISZEBRA,ゼブラ解析
analytical surface,解析サーフェス
ANIPATH,アニメーション パス
ANNORESET,尺度表現位置リセット
annotation,注記
annotational constraint,注釈拘束
annotative object,異尺度対応オブジェクト
ANNOUPDATE,異尺度対応オブジェクト更新
anode,電食
anode station,電食ステーション
APERTURE,オブジェクト スナップ範囲設定
APPAUTOLOADER,アプリケーション自動ロード
appearance style,外観スタイル
APPLOAD,アプリケーション ロード
ARC,円弧
Arc Length,円弧の長さ
Arc radius,円弧の半径
arc segmentation,円弧セグメンテーション
arc-chord distance,円弧-線分距離
ARCTEXT,ARCTEXT
ARG,ARG
ARRAYCLASSIC,旧配列複写
ARRAYCLOSE,配列複写編集モード終了
ARRAYEDIT,配列複写編集
ARRAYPATH,パス配列複写
ARRAYPOLAR,円形状配列複写
ARRAYRECT,矩形状配列複写
assembly extraction template,アセンブリ抽出テンプレート
associative array,自動調整配列
Associative QDIM extension,Associative QDIM extension
assumed nozzle,仮想ノズル
ATEXT,ATEXT
ATIL,ATIL
ATTACHURL,URL アタッチ
ATTDEF,属性定義
ATTDISP,属性表示
ATTEDIT,属性編集
ATTEXT,属性書き出し
ATTIN,ATTIN
ATTIPEDIT,属性値インプレイス編集
ATTOUT,ATTOUT
ATTREDEF,属性再定義
ATTSYNC,属性同期
AutoCAD block,AutoCAD ブロック
AutoCAD color index,AutoCAD カラー インデックス
AutoCAD Mobile,AutoCAD モバイル
Autocad Mobile app,Autocad Mobile アプリ
AUTOCONSTRAIN,自動拘束
Autodesk Assistant,Autodesk Assistant
AUTODESKCONNECTIONPOINT,AUTODESKCONNECTIONPOINT
AutoLISP development,AutoLISP 開発
AutoLISP environment,AutoLISP 環境
AUTOPUBLISH,自動パブリッシュ
auxiliary coordinate system,補助座標系
axial stress,軸方向応力
axis offset,軸オフセット
azimuth,方位
BACKGROUND,背景
backing strip,ビード
backwater gate,逆流ゲート
BACTION,ブロック アクション
BACTIONBAR,ブロック アクション バー
BACTIONSET,ブロック アクション選択セット
BACTIONTOOL,ブロック アクション追加
ball mill,ボール ミル
base point,基点
BASSOCIATE,ブロック アクション関連付け
Batch Standards Checker,バッチ標準チェッカー
BATTMAN,ブロック属性管理
BATTORDER,ブロック属性順序
baud rate,ボーレート
BAUTHORPALETTE,ブロック オーサリングを開く
BAUTHORPALETTECLOSE,ブロック オーサリングを閉じる
BCLOSE,ブロック エディタを閉じる
BCONSTRUCTION,構築ジオメトリ変換
BCOUNT,BCOUNT
BCPARAMETER,ブロック拘束パラメータ
BCYCLEORDER,循環順序
BEDIT,ブロック エディタ
below grade,地下
BESETTINGS,ブロック エディタ設定
bevel,ベベル
BEXTEND,BEXTEND
BGRIPSET,ブロック グリップ設定
BHATCH,境界ハッチング
bill of materials,部品表
binary large object,バイナリ ラージ オブジェクト
bitonal image,モノクロ イメージ
blend mode,ブレンド モード
blend surface,ブレンド サーフェス
BLOB,BLOB
block authoring object,ブロック オーサリング オブジェクト
block library,ブロック ライブラリ
block properties table,ブロック プロパティ テーブル
block replacement,ブロック置換
BLOCKICON,ブロック アイコン
BLOCKMRULIST,BLOCKMRULIST
BLOCKNAVIGATE,BLOCKNAVIGATE
BLOCKREPLACE,BLOCKREPLACE
blocks palette,ブロック パレット
BLOCKSPALETTE,ブロック パレット
BLOCKSPALETTECLOSE,ブロック パレットを閉じる
BLOCKTOXREF,BLOCKTOXREF
BLOOKUPTABLE,ブロック ルックアップ テーブル
blow off valve,ブローオフ バルブ
BMOD,ブロック説明修正
BMPOUT,BMP 書き出し
boolean,ブール
bounded area,境界領域
bounding area,境界領域
bounding box,境界ボックス
BPARAMETER,ブロック パラメータ
BPOLY,BPOLY
branch circuit,分岐回路
break loop,break ループ
break point,ブレーク ポイント
breaker,ブレーカ
BREAKLINE,BREAKLINE
break-out line,破断線
breakpoint,ブレークポイント
BREP,境界表現
BROWSER,ブラウザ
BROWSERCLOSE,BROWSERCLOSE
BROWSEROPEN,BROWSEROPEN
BSAVEAS,名前を付けてブロック定義保存
BSCALE,BSCALE
BTABLE,ブロック プロパティ テーブル
BTESTBLOCK,ブロック テスト
BTRIM,BTRIM
bulge,膨らみ係数
bulge factor,ふくらみ係数
bulk copy,一括コピー
bump,バンプ
bump map,バンプ マップ
bump mapping,バンプ マッピング
bus bar,バス バー
BVHIDE,ブロック可視非表示
BVSHOW,ブロック可視表示
BVSTATE,ブロック可視状態
BYBLOCK,BYBLOCK
BYLAYER,BYLAYER
cable tray,ケーブル ラック
cable tray fitting,ケーブル ラック継手
CAD manager,CAD マネージャ
CAL,ジオメトリック計算
CAMERA,カメラ
camera calibration,カメラ位置合わせ
camera glyph,カメラ記号
canvas,キャンバス
cap,端部キャップ
cap filleting,キャップ フィレット
cap height,キャップの高さ
capacitor,コンデンサ
Cascading Style Sheets,カスケード スタイル シート
casing,保護
casing model,保護モデル
Catmull-Clark subdivision surface,Catmull-Clark サブディビジョン サーフェス
CDORDER,CDORDER
center line,中心線
center mark,中心マーク
center point,中心点
CENTERDISASSOCIATE,中心自動調整解除
CENTERLINE,中心線
CENTERMARK,中心マーク
CENTERREASSOCIATE,中心自動調整再割り当て
CENTERRESET,中心リセット
chamfer,面取り
CHAMFEREDGE,面取りエッジ
character large object,キャラクタ ラージ オブジェクト
CHECKSTANDARDS,標準仕様を確認
chi square,カイ二乗
child feature class,子フィーチャ クラス
CHPROP,プロパティ変更
CHSPACE,空間変更
CHURLS,CHURLS
cinematic shot,シネマティック ショット
CIRCLE,円
circlip,止め輪
circuit breaker,回路ブレーカ
circuitry,回路
CLASSICGROUP,旧オブジェクト グループ設定
CLASSICIMAGE,旧イメージ管理
CLASSICINSERT,旧ブロック挿入
CLASSICLAYER,旧画層管理
CLASSICXREF,旧外部参照管理
CLEANSCREENOFF,フル スクリーン表示オフ
CLEANSCREENON,フル スクリーン表示オン
CLIP,クリップ
clip volume,ボリュームをクリップ
CLIPIT,CLIPIT
clipping plane,クリップ平面
CLOB,CLOB
CLOSE,閉じる
CLOSEALL,すべて閉じる
