source,target
3D Move gizmo,metauchwyt Przesunięcie 3D
3D Rotate gizmo,metauchwyt Obrót 3D
3D Scale gizmo,metauchwyt Skala 3D
3DALIGN,3DWYRÓWNAJ
3DARRAY,3DSZYK
3DCLIP,3DPRZEKRÓJ
3DCORBIT,3DCORBITA
3DDISTANCE,3DODLEG
3DDWF,3DDWF
3DDWFPUBLISH,OPUBLIKUJDWF3D
3DEDITBAR,3DEDITBAR
3DFACE,3WPOW
3DFLY,3DPRZELOT
3DFORBIT,3DWORBITA
3DMESH,SIATKA3W
3DMOVE,3DPRZESUŃ
3DORBIT,3DORBITA
3DORBITCTR,3DORBITACRT
3DORBITTRANSPARENT,3DPRZEZROCZYSTAORBITA
3DOSNAP,PRZYCIĄGOBIEKTU3D
3DPAN,3DNFRAGM
3DPANTRANSPARENT,3DNFRAGMPROST
3DPOLY,3WPLINIA
3DPRINT,DRUKUJ3D
3DPRINTSERVICE,USŁUGADRUKU3D
3DROTATE,3DOBRÓT
3DSCALE,SKALA3D
3DSIN,3DSWE
3DSWIVEL,3DKAMERA
3DSWIVELTRANSPARENT,3DPRZEZROCZYSTAKAM
3DWALK,3DSPACER
3DZOOM,3DZOOM
3DZOOMTRANSPARENT,3DZOOMPROST
ACA,ACA
ACADBLOCKDIALOG,ACADBLOCKDIALOG
ACADINFO,ACADINFO
ACADWBLOCKDIALOG,ACADWBLOCKDIALOG
ACISIN,ACISWE
ACISOUT,ACISWY
ACTBASEPOINT,PUNKTBAZOPER
ACTIVITYINSIGHTSCLOSE,ZAMKNIJSPOSTRZAKTYW
ACTIVITYINSIGHTSOPEN,OTWÓRZSPOSTRZAKTYW
ACTMANAGER,MENEDŻERREJOP
ACTRECORD,REJOP
ACTSTOP,REJOPSTOP
ACTUSERINPUT,REJOPWPROW
ACTUSERMESSAGE,REJOPKOMUNIKAT
ADC,ADC
ADCCLOSE,ADCZAMKNIJ
ADCCUSTOMNAVIGATE,ADCAPLUŻYT
ADCENTER,ADCENTER
ADCNAVIGATE,ADCPRZEJDŹ
ADDSELECTED,ADDSELECTED
AI_CIRCTAN,AI_CIRCTAN
AI_PSPACE,AI_PSPACE
AIDIMPREC,AIDIMPREC
AIDIMSTYLE,AIDIMSTYLE
AIDIMTEXTMOVE,AIDIMTEXTMOVE
ALIASEDIT,ALIASEDIT
aligned section view,przekrój dopasowany
ALIGNSPACE,ALIGNSPACE
ALKIS,ALKIS
all-around symbol,symbol pełnej spoiny na obwodzie
ALLPLAY,ODTWARZAJWSZ
alpha-blend,łączenie alfa
alternate unit,Jednostka dodatkowa
altimetry,altymetria
AMECONVERT,AMEKONW
ANALYSISCURVATURE,ANALIZAKRZYWIZNY
ANALYSISDRAFT,ANALIZASZKICU
ANALYSISOPTIONS,OPCJEANALIZY
ANALYSISZEBRA,ANALIZAZEBRY
analytical surface,powierzchnia modelu analitycznego
angle of deflection,kąt ugięcia
ANIPATH,ŚCIEŻKANIM
ANNORESET,OPISRESET
annotation,opis
annotative object,skala obiektu opisowego
ANNOUPDATE,OPISAKTUAL
anode,anoda
anode station,stacja anody
APERTURE,CELOWNIK
APPAUTOLOADER,AUTOWCZYTYWANIEAPL
appearance style,styl wyglądu
APPLOAD,WCZYTAJAPL
arc segmentation,segmentacja łuku
arc-chord distance,strzałka łuku
ARCHIVE,ARCHIWIZACJA
ARCTEXT,ARCTEXT
AREA,POLE
ARG,ARG
ARRAY,SZYK
ARRAYCLASSIC,SZYKKLAS
ARRAYCLOSE,ZAMKNIJSZYK
ARRAYEDIT,EDYTUJSZYK
ARRAYPATH,ŚCIEŻKASZYK
ARRAYPOLAR,SZYKBIEGUN
ARRAYRECT,SZYKPROST
ARX,ARX
assembly drawing,rysunek złożeniowy
assembly extraction template,szablon wyodrębniania złożenia
ASSISTANTCLOSE,ASYSTENTZAMKNIJ
ASSISTANTOPEN,ASYSTENTOTWÓRZ
Associative QDIM extension,Associative QDIM extension
ATEXT,ATEXT
ATIL,ATIL
ATTACHURL,DOŁĄCZURL
ATTDEF,ATRDEF
ATTDISP,ATRWID
ATTEDIT,ATRRED
ATTEXT,ATRWYC
ATTIN,ATTIN
