source,target
3D Move gizmo,meta-alça Mover 3D
3D Rotate gizmo,meta-alça Rotacionar 3D
3D Scale gizmo,meta-alça Escala 3D
3DALIGN,ALINHAR3D
3DARRAY,MATRIZ3D
3DCLIP,CORTAR3D
3DCORBIT,ORBITA3DC
3DDISTANCE,DISTANCIA3D
3DDWF,DWF3D
3DDWFPUBLISH,PUBLICARDWF3D
3DEDITBAR,BARRAEDICAO3D
3DFACE,FACE3D
3DFLY,VOAR3D
3DFORBIT,ORBITAF3D
3DMESH,MALHA3D
3DMOVE,MOVER3D
3DORBIT,ORBITA3D
3DORBITCTR,CTRORBIT3D
3DORBITTRANSPARENT,ORBITATRANSPARENTE3D
3DOSNAP,3DOSNAP
3DPAN,PAN3D
3DPANTRANSPARENT,3DPANTRANSPARENT
3DPOLY,POLI3D
3DPRINT,IMPRESSAO3D
3DPRINTSERVICE,SERVIÇOIMPRESSÃO3D
3DROTATE,ROTACIONAR3D
3DSCALE,ESCALA3D
3DSIN,IMP3DS
3DSWIVEL,GIRAR3D
3DSWIVELTRANSPARENT,GIRAR3DTRANSPARENTE
3DWALK,NAVEGAR3D
3DZOOM,ZOOM3D
3DZOOMTRANSPARENT,3DZOOMTRANSPARENT
ACADBLOCKDIALOG,ACADBLOCKDIALOG
ACADINFO,ACADINFO
ACADWBLOCKDIALOG,ACADWBLOCKDIALOG
ACISIN,ACISIN
ACISOUT,ACISOUT
ACS,ACS
ACTBASEPOINT,PONTOBASEACAO
ACTIVITYINSIGHTSCLOSE,FECHARACTIVITYINSIGHTS
ACTIVITYINSIGHTSOPEN,ABRIRACTIVITYINSIGHTS
ACTMANAGER,GERENCIADORACAO
ACTRECORD,GRAVARACAO
ACTSTOP,PARARACAO
ACTUSERINPUT,ENTRADAUSUARIOACAO
ACTUSERMESSAGE,MENSAGEMUSUARIOACAO
ADC,ADC
ADCCLOSE,FECHARADC
ADCCUSTOMNAVIGATE,NAVEGADORPERSONALIZADOADC
ADCENTER,ADCENTER
ADCNAVIGATE,NAVEGADC
ADDSELECTED,ADDSELECTED
ADJUST,AJUSTAR
AI_CIRCTAN,AI_CIRCTAN
AI_PSPACE,AI_PSPACE
AIDIMPREC,AIDIMPREC
AIDIMSTYLE,AIDIMSTYLE
AIDIMTEXTMOVE,AIDIMTEXTMOVE
ALIASEDIT,ALIASEDIT
ALIGN,ALINHAR
aligned section view,vista de corte alinhada
ALIGNSPACE,ALIGNSPACE
ALKIS,ALKIS
all-around symbol,símbolo de todo o contorno
ALLPLAY,REPROTUDO
alpha-blend,sangramento alfa
alternate unit,unidade alternativa
AMECONVERT,CONVERTERAME
ANALYSISCURVATURE,ANALISECURVATURA
ANALYSISDRAFT,ANALISEANGULOMODELO
ANALYSISOPTIONS,OPCOESANALISE
ANALYSISZEBRA,ANALISEZEBRA
analytical surface,superfície analítica
angle of deflection,ângulo de deflexão
ANIPATH,ANIMCAMINHO
ANNORESET,RESTAURARANOT
annotation,anotação
annotational constraint,restrição de anotação
annotative object,objeto anotativo
ANNOUPDATE,ATUALIZANOT
APERTURE,ABERTURA
APPAUTOLOADER,CARREGAUTOAPLIC
appearance style,estilo da aparência
APPLOAD,CARRAPLIC
arc,arco
ARCHIVE,ARQUIVAR
ARCTEXT,ARCTEXT
AREA,AREA
ARG,ARG
ARRAYCLASSIC,MATRIZCLASSICA
ARRAYCLOSE,FECHARMATRIZ
ARRAYEDIT,EDITARMATRIZ
ARRAYPATH,MATRIZCAMINHO
ARRAYPOLAR,MATRIZPOLAR
ARRAYRECT,MATRIZRETANG
ARX,ARX
assembly extraction template,modelo de extração de montagem
ASSISTANTCLOSE,FECHARASSISTENTE
ASSISTANTOPEN,ABRIRASSISTENTE
Associative QDIM extension,Associative QDIM extension
ATEXT,ATEXT
ATIL,ATIL
ATTACH,ANEXAR
ATTACHURL,ANEXARURL
ATTDEF,DEFATRIB
ATTDISP,VISATRIB
ATTEDIT,EDITARATRIB
ATTEXT,EXTRATRIB
ATTIN,ATTIN
ATTIPEDIT,EDITATRIBNOLOCAL
ATTOUT,ATTOUT
ATTREDEF,ATTREDEF
ATTSYNC,SINCATRIB
AutoCAD color index,Índice de cores do AutoCAD
