source,target
ALKIS,ALKIS
ATIL,ATIL
BLOB,BLOB
CLOB,CLOB
CRS,CRS
CSS,CSS
CV,CV
CWFU,CWFU
Design Review,Design Review
Design Web Format,Design Web Format
DMS,DMS
DOF,DOF
DPI,DPI
Drawing Interchange Format,Drawing Interchange Format
DTED,DTED
DWF,DWF
DWG Convert,DWG Convert
DWG TrueConvert,DWG TrueConvert
DXF,DXF
ESW,ESW
Extensible Markup Language,Extensible Markup Language
Extensible Stylesheet Language,Extensible Stylesheet Language
FDO,FDO
fps,fps
Google Earth,Google Earth
i-drop Enhancer,i-drop Enhancer
ISA,ISA
Keyhole Markup Language,Keyhole Markup Language
KML,KML
KMZ,KMZ
mental ray,mental ray
NANT,NANT
NCLOB,NCLOB
ObjectARX,ObjectARX
Ohm,Ohm
P&ID,P&ID
PIP,PIP
PolarSnap,PolarSnap
ShapeManager,ShapeManager
SketchUp,SketchUp
XSL,XSL
