source,target
3D mesh primitive,сетевой 3D-примитив
3D Move gizmo,гизмо 3D-переноса
3D Rotate gizmo,гизмо 3D-поворота
3D Scale gizmo,гизмо 3D-масштабирования
3DALIGN,3DВЫРОВНЯТЬ
3DARRAY,3DМАССИВ
3DCLIP,3DСЕКПЛ
3DCORBIT,3DПОРБИТА
3DDISTANCE,3DРАССТ
3DDWF,3DДВФ
3DDWFPUBLISH,ПУБЛ3DДВФ
3DEDITBAR,3DEDITBAR
3DFACE,3DГРАНЬ
3DFLY,3DОБЛЕТ
3DFORBIT,3DСОРБИТА
3DMESH,3DСЕТЬ
3DMOVE,3DПЕРЕНЕСТИ
3DORBIT,3DОРБИТА
3DORBITCTR,3DОРБЦЕНТР
3DORBITTRANSPARENT,3DОРБИТАПРОЗРАЧНАЯ
3DOSNAP,3DПРИВЯЗКА
-3DOSNAP,-3DПРИВЯЗКА
3DPAN,3DПАН
3DPANTRANSPARENT,3DПАНПРОЗРАЧНОЕ
3DPOLY,3DПЛИНИЯ
3DPRINT,3DПЕЧАТЬ
3DPRINTSERVICE,СЛУЖБА3DПЕЧАТИ
3DROTATE,3DПОВЕРНУТЬ
3DSCALE,3DМАСШТАБ
3DSIN,ИМПОРТ3ДС
3DSWIVEL,3DШАРНИР
3DSWIVELTRANSPARENT,3DШАРНИРПРОЗРАЧНЫЙ
3DWALK,3DОБХОД
3DZOOM,3DПОКАЗАТЬ
3DZOOMTRANSPARENT,3DПОКАЗАТЬПРОЗРАЧНЫЙ
ACADBLOCKDIALOG,ACADBLOCKDIALOG
ACADINFO,ACADINFO
ACADWBLOCKDIALOG,ACADWBLOCKDIALOG
ACISIN,ИМПОРТТЕЛ
ACISOUT,ЭКСПОРТТЕЛ
ACTBASEPOINT,ОПЕРБАЗОВАЯТОЧКА
ACTIVITYINSIGHTSCLOSE,АНАЛИТИКАДЕЙСТВИЙЗАКРЫТЬ
ACTIVITYINSIGHTSOPEN,АНАЛИТИКАДЕЙСТВИЙОТКРЫТЬ
ACTMANAGER,ДИСПОПЕР
ACTRECORD,ОПЕРЗАПИСЬ
ACTSTOP,ОПЕРСТОП
ACTUSERINPUT,ОПЕРПВВОД
ACTUSERMESSAGE,ОПЕРПСООБЩЕНИЕ
ADC,ADC
ADCCLOSE,ЦУОТКЛ
ADCCUSTOMNAVIGATE,ЦУСТПЕРЕЙТИ
ADCENTER,ЦУВКЛ
ADCNAVIGATE,ЦУПЕРЕЙТИ
ADDSELECTED,ADDSELECTED
AEC Collection,AEC Collection
AI_CIRCTAN,AI_CIRCTAN
AI_PSPACE,AI_PSPACE
AIDIMPREC,AIDIMPREC
AIDIMSTYLE,AIDIMSTYLE
AIDIMTEXTMOVE,AIDIMTEXTMOVE
ALIASEDIT,ALIASEDIT
Aligned Dimension,Параллельный размер
aligned section view,сечение с выравниванием
ALIGNSPACE,ALIGNSPACE
ALKIS,ALKIS
all-around symbol,по замкнутому контуру
ALLPLAY,ВОСПРВСЕ
alpha-blend,альфа-смешение
alternate unit,альтернативная единица
altimetry,альтиметрия
AMECONVERT,РОККОНВЕРТ
ANALYSISCURVATURE,АНАЛИЗКРИВИЗНЫ
ANALYSISDRAFT,АНАЛИЗУКЛОНА
ANALYSISOPTIONS,ПАРАМЕТРЫАНАЛИЗА
ANALYSISZEBRA,АНАЛИЗЗЕБРА
analytical surface,аналитическая поверхность
angle of deflection,угол отклонения
ANIPATH,АНИМТРАЕКТ
ANNORESET,АННОСБРОС
annotation,аннотация
annotational constraint,аннотативная зависимость
annotative object,аннотативный объект
ANNOUPDATE,АННООБНОВИТЬ
anode,анод
anode station,анодная станция
APERTURE,АПЕРТУРА
APPAUTOLOADER,ПРИЛАВТОЗАГР
appearance style,стиль представления
APPLOAD,ЗАГПРИЛ
arc,дуга
arc segmentation,сегментация дуги
arc-chord distance,расстояние от хорды до дуги
ARCTEXT,ARCTEXT
ARG,ARG
ARRAYCLASSIC,МАССИВКЛ
ARRAYCLOSE,МАССИВЗАКР
ARRAYEDIT,МАССИВРЕД
ARRAYPATH,МАССИВТРАЕКТ
