source,target
Aligned Dimension,Hizalı Boyut
ALKIS,ALKIS
ATIL,ATIL
AutoCAD Migration Assistance,AutoCAD Migration Assistance
AutoCAD Mobile,AutoCAD Mobil
Autocad Mobile app,Autocad Mobil uygulaması
Autodesk Content Explorer,Autodesk Content Explorer
BLOB,BLOB
CHAR,CHAR
CLOB,CLOB
CRS,CRS
CSS,CSS
CV,CV
CWFU,CWFU
Design Review,Design Review
Design Web Format,Design Web Format
Digital Signature Extension,Digital Signature Extension
DMS,DMS
DOF,DOF
DPI,DPI
Drawing Interchange Format,Drawing Interchange Format
DTED,DTED
DWF,DWF
DWG Convert,DWG Convert
DWG TrueConvert,DWG TrueConvert
DXF,DXF
ESW,ESW
Extensible Markup Language,Extensible Markup Language
Extensible Stylesheet Language,Extensible Stylesheet Language
FDO,FDO
gesture,hareket
grip mirror,tutma noktası ayna
grip rotate,tutma noktası döndür
grip scale,tutma noktası ölçekle
index color,endeks rengi
ISA,ISA
Keyhole Markup Language,Keyhole Markup Language
KML,KML
KMZ,KMZ
linetype,çizgi tipi
major line,ana çizgi
mental ray,mental ray
NANT,NANT
NCLOB,NCLOB
ObjectARX,ObjectARX
P&ID,P&ID
PIP,PIP
PolarSnap,PolarSnap
ShapeManager,ShapeManager
SketchUp,SketchUp
trace feature,iz özelliği
XSL,XSL
