source,target
3D Move gizmo,3D-рухома штуковина
3D Rotate gizmo,3D-обертаєма штуковина
3D Scale gizmo,Штуковина в 3D масштабі
ACS,ACS
Action Editor,Редактор дій
AEC content,Зміст AEC
AEC entity,Організація AEC
AEC object,Об'єкт AEC
aligned dimension,вирівняний розмір
aligned section view,вирівняний вид перетину
ALKIS,АЛКІС
all-around symbol,універсальний символ
alpha-blend,альфа-суміш
alternate unit,альтернативний блок
analytical surface,аналітична поверхня
angle of deflection,кут відхилення
annotation,анотація
annotational constraint,анотація
annotative object,анотативний об'єкт
anode,анод
anode station,анодна станція
appearance style,стиль зовнішнього вигляду
arc,дуга
arc length,довжина дуги
arc radius,радіус дуги
arc segmentation,сегментація дуги
arc-chord distance,відстань між дугою і хордою
area value,значення площі
ARG,ARG
assembly extraction template,шаблон для вилучення збірки
associative array,асоціативний ряд
associative QDIM extension,асоціативне розширення Q DIM
assumed nozzle,передбачуване сопло
ATIL,ATIL
AutoCAD color index,Індекс кольорів AutoCAD
AutoCAD Mobile,AutoCAD Mobile
Autocad Mobile app,Мобільний додаток Autocad
AutoComplete,Автозаповнення
Autodesk Assistant,Асистент Autodesk
Autodesk Manufacturing Community Portal,Портал виробничого співтовариства Autodesk
AutoLISP development,Розробка AutoLISP
AutoLISP environment,Середа AutoLISP
auxiliary coordinate system,допоміжна система координат
axial stress,осьова напруга
axiality,аксіальність
azimuth,азимут
ball mill,кульовий млин
base point,базова точка
Batch Standards Checker,Пристрій для перевірки стандартів партії
baud rate,швидкість передачі даних в бодах
BDA,BDA
below grade,нижче класу
bevel groove weld,зварювання конічної канавки
bill of materials,специфікація матеріалів
binary large object,великий двійковий об'єкт
bitonal image,бітональне зображення
blend mode,режим накладення
blend surface,розтушована поверхня
BLOB,крапля
block authoring object,об'єкт створення блоку
block definition,визначення блоку
block library,бібліотека блоків
block properties table,таблиця властивостей блоку
block replacement,заміна блоку
Blocks palette,Палітра блоків
BOM,BOM
BOM grid,Таблиця специфікацій
bounded area,обмежена область
bounding area,обмежувальна область
branch circuit,відгалуження ланцюга
break loop,тормозний контур
break point,точка зупинки
breakpoint,точка зупинки
bulge,випуклість
bulge factor,коефіцієнт опуклості
