source,target
3D mesh primitive,3D-Netzgrundkörper
3D Mini-map,3D-Minimap
3D Move gizmo,3D-Verschieben-Gizmo
3D Rotate gizmo,3D-Drehen-Gizmo
3D Scale gizmo,3D-Skalieren-Gizmo
abutment,Widerlager
account administrator,Kontoadministrator
Activity Gantt View,Gantt-Diagramm für Aktivität
aggregate View,Gesamtansicht
air handler,Lüftungsgerät
Airtable,Airtable
aligned section view,Ausgerichtete Schnittansicht
alignment geometry point,Achshauptpunkt
alignment offset,Achsversatz
ALKIS,ALKIS
ampacity,Nennstromstärke
analemma,Analemma
analytical brace,Strebe (analytisch)
analytical floor,analytische Geschossdecke
analytical surface,berechnete Oberfläche
angle of deflection,Winkeltoleranz
angular speed,Winkelgeschwindigkeit
annotation,Anmerkung
anti-shrinkage reinforcement,Mindestbewehrung
apparent power,Scheinleistung
appearance style,Darstellungsstil
approver,Genehmiger
arc-chord distance,Bogen-Sehnen-Abstand
ArchiCAD model,ArchiCAD-Modell
architectural floor,architektonisches Geschoss
ASBD,ASBD
ASHRAE fitting,ASHRAE-Formstück
asset library,Objektbibliothek
ATIL,ATIL
attachment,Anhang
AutoCAD model,AutoCAD-Modell
Autodesk Image Library,Autodesk-Bilddatenbank
average end area,durchschnittliche Endfläche
azimuth,Azimut
backsight,Anschlusspunkt
ball in court,Beauftragter
base family,Basisfamilie
base layer,Basislayer
basemap,Basemap
Batch Print,Batch Print
BCA,BCA
BCF,BCF
bearing wall,tragende Wand
bend diameter,Biegedurchmesser
bent bar,Stabkröpfung
billing period,Abrechnungszeitraum
BIM object,BIM-Objekt
bisymmetric,zweifachsymmetrisch
bloss,Bloss-Bogen
borrower,Entleiher
box girder,Hohlträger
branch circuit,Zweigstromkreis
brick veneer,Ziegelverblendung
Bridge,Transfer-Tool
brushed,gebürstet
brushed aluminium,gebürstetes Aluminium
budget transfer,Budget-Übertragung
building common area,Gemeinschaftsfläche
building footprint,Gebäudegrundfläche
building level,Geschoss
built-up roof,mehrlagiges Dach
bulge,Wölbung
burnishing,poliert
business units,Geschäftsbereiche
butt,stumpf
BVC,BVC
BVCE,BVCE
BVCS,BVCS
cable tray,Kabeltrasse
CADmep,CADmep
callout markup,Ausschnittsvergrößerung
callout tag,Detailausschnittsbeschriftung
camera-centric,host
cant,Überhöhung
cant gradient,Überhöhungsneigung
Cant View,Überhöhungsansicht
cap,Linienende
cartoon set,Cartoon-Satz
casement,Flügel
catch basin,Auffangbecken
catchment,Einzugsgebiet
catchment area,Einzugsgebiet
catchment location,Gebietsauslass
cavity wall,Hohlwand
CDE,CDE
center line,Mittellinie
center mark,Zentrumsmarke
ceramic tile,Keramikfliese
chamfer,Fase
change analysis,Änderungsanalyse
Changes tool,Änderungsverfolgung
characteristic strength,charakteristische Festigkeit
Cipolletti,Cipolletti
clash group,Kollisionsgruppe
clash service,Kollisionsprüfung
clash(es),Kollision(en)
clerestory,Oberlicht
clip volume,Schnittvolumen
cloud model,Cloud-Modell
code combination,Normkombination
