source,target
3D mesh primitive,3D-verkkoprimitiivi
3D Move gizmo,3D-objektin siirtokoje
3D Rotate gizmo,3D-objektin kiertokoje
3D Scale gizmo,3D-objektin skaalauskoje
ALKIS,ALKIS
analytical surface,analyyttinen pinta
ATIL,ATIL
BCA,BCA
Bridge Design for InfraWorks 360,Bridge Design for InfraWorks 360
BVC,BVC
BVCE,BVCE
BVCS,BVCS
CWFU,CWFU
DECDEG,DECDEG
DEM,DEM
DMS,DMS
Drainage Design for Infraworks 360,Drainage Design for Infraworks 360
DTM,DTM
EDM,EDM
elevation,korkeustaso
EVC,EVC
EVCE,EVCE
fillet,pyöristys
FU,FU
gizmo,koje
HDS,HDS
HGL,HGL
HP,HP
level of smoothness,tasaisuuden taso
LF,LF
LP,LP
Piranesi EPix,Piranesi EPix
Roadway Design for InfraWorks 360,Roadway Design for InfraWorks 360
Roamer,Roamer
SketchUp,SketchUp
Structural Analysis for Revit,Structural Analysis for Revit
structural modeling,rakenteiden mallinnus
TimeLiner,TimeLiner
Vehicle Tracking,Vehicle Tracking
XDRef,XDRef
