source,target
3D mesh primitive,3D メッシュ プリミティブ
3D Mini-map,3D ミニマップ
3D Move gizmo,3D 移動ギズモ
3D Rotate gizmo,3D 回転ギズモ
3D Scale gizmo,3D 尺度変更ギズモ
abutment,橋台
ACC,ACC
account administrator,アカウント管理者
administrator,管理者
aerial view,上空表示
aggregate View,一括ビュー
air handler,エア ハンドラ
Airtable,Airtable
alignment geometry point,線形ジオメトリ ポイント
alignment offset,線形オフセット
ALKIS,ALKIS
ampacity,電流容量
analemma,アナレンマ
analytical brace,解析用ブレース
analytical floor,解析用床
analytical model,解析モデル
analytical surface,解析サーフェス
angular speed,角速度
annex,付属書
annotation,注記
APL,APL
apparent power,皮相電力
appearance style,外観スタイル
approver,承認者
appurtenance list,付帯装置リスト
arc-chord distance,円弧-線分距離
ArcGIS,ArcGIS
ArcGIS dataset,ArcGIS データセット
ArchiCAD model,ArchiCAD モデル
architectural floor,建築平面図
artificial horizon,人工地平線
ASBD,ASBD
ASHRAE fitting,ASHRAE 継手
asset library,アセット ライブラリ
ATIL,ATIL
attachment,添付ファイル
AUM team,AUM チーム
AutoCAD model,AutoCAD モデル
Autodesk Collaboration,Autodesk Collaboration
Autodesk Image Library,Autodesk Image Library
average end area,平均断面
axis offset,軸オフセット
azimuth,方位
backsight,後視
ball in court,現ステータスの担当者
band end,帯下部
base family,基本ファミリ
base surface,基準サーフェス
baseline,基線
batch converter,一括変換
Batch Print,Batch Print
Batch Utility,バッチ ユーティリティ
BCA,BCA
BCF,BCF
bearing wall,耐力壁
bend diameter,曲げ直径
berm,余裕幅
bid package,入札パッケージ
billing period,請求期間
BIM object,マッピングされた BIM オブジェクト プロパティ
BIM tool,BIM ツール
bloss,ブロス
blur,ブラー
blurriness,ぼかし
borrower,借用者
boundary point,境界点
bounding box,バウンディング ボックス
box girder,箱桁
branch circuit,分岐回路
breakover removal,ブレークオーバーの削除
brick veneer,レンガ ベニヤ
bridge,ブリッジ
Bridge Design for InfraWorks 360,Bridge Design for InfraWorks 360
bridge projection label,橋梁投影ラベル
British standards,英国標準規格
budget payment application,予算支払い請求
building common area,共用面積
building footprint,建物フットプリント
building level,階
built-up roof,アスファルト防水屋根
bulge,膨らみ係数
business units,ビジネス ユニット
butt,突合せ
BVC,BVC
BVCE,BVCE
BVCS,BVCS
cable tray,ケーブル ラック
CAD manager,CAD マネージャ
callout markup,吹き出しマークアップ
callout tag,吹き出しタグ
camera-centric,カメラ中心
cant,カント
cant gradient,カント勾配
cap,端部キャップ
cartoon set,ダミー セット
casement,内倒し
cast-in-place,現場打ち
catchment,集水域
CDE,共通のデータ環境(CDE)
ceiling plan,天井伏図
center line,中心線
center mark,中心マーク
ceramic tile,セラミック タイル
chamfer,面取り
change analysis,Changes 解析
Changes tool,Changes ツール
characteristic strength,特性強度
chord distance,弦の距離
Cipolletti,Cipolletti
clash,クラッシュ グループ
Clash Detective,Clash Detective
clash grid,干渉グリッド
clash group,干渉部位グループ
clash service,干渉チェック
clearance,クリアランス
clearance clash,クリアランス クラッシュ
clerestory,高窓
clip volume,ボリュームをクリップ
closed polyline,閉じたポリライン
cloud model,クラウド モデル
code combination,コード組み合わせ
code set style,コード セット スタイル
Cogo Points,COGO ポイント
cold water fixture unit,冷水器具ユニット
colinear,同一直線上
collinear,同一直線上
company,会社
composite object,合成オブジェクト
composition roof,複合屋根
compressive strength,圧縮強度
Conceptual Energy Analysis,コンセプト エネルギー解析
conceptual mass,コンセプト マス
condensate drain,復水ドレイン
conduit connector,配管コネクタ
connection symbol,接合記号
constraint element,拘束要素
constructability modeling,建設モデリング
contact,担当者
Content Awareness,コンテンツ認識
content library,コンテンツ ライブラリ
content pack,コンテンツ パック
contingency,予備費
continuous slab,連続スラブ
contour label,等高線ラベル
controlled sharing,コントロールされた共有
convection load,熱伝達荷重
convex,凸形
Coordinate Tracker,座標トラッカー
coordination space,統合モデル空間
cope,欠込み
COR,仕様変更
corbel,コーベル
corridor section,コリドー横断
corridor section editor,コリドー横断エディタ
corridor shrinkwrap,コリドー全体処理
corridor surface,コリドー サーフェス
cost impact,費用への影響
cost payment application,費用支払い請求
counterfort,控え壁
country kit,カントリー キット
crossing pipe,横断パイプ
crouch,しゃがむ
cubic parabola,3 次曲線
curtain grid,カーテン グリッド
curtain panel,カーテン パネル
curtain system,カーテン システム
curtain wall,カーテンウォール
curtain wall frame,カーテン ウォール フレーム
curtain wall grid,カーテン ウォール グリッド
curtain wall mullion,カーテン マリオン
