source,target
3D mesh primitive,3D 메쉬 기본체
3D Move gizmo,3D 이동 장치
3D Rotate gizmo,3D 회전 장치
3D Scale gizmo,3D 축척 장치
air handler,공조기
aligned section view,정렬 단면도
alignment geometry point,선형 지오메트리 점
alignment offset,선형 간격띄우기
ALKIS,ALKIS
ampacity,전류용량
analemma,아날렘마
analytical brace,해석 가새
analytical floor,해석 바닥
analytical surface,해석 표면
angle of deflection,편각
angular speed,각속도
annotation,주석
APL,APL
apparent power,피상 전력
appearance style,모양 스타일
arc-chord distance,호-현 거리
ArcGIS,ArcGIS
ArchiCAD model,ArchiCAD 모형
architectural floor,건축 바닥
artificial horizon,가상 지평선
ASHRAE fitting,ASHRAE 피팅
asset library,자산 라이브러리
Assets,자산
ATIL,ATIL
AutoCAD Civil 3D,AutoCAD Civil 3D
AutoCAD model,AutoCAD 모형
AutoCAD Revit Architecture Suite,AutoCAD Revit Architecture Suite
AutoCAD Revit LT Suite,AutoCAD Revit LT Suite
Autodesk Docs,Autodesk Docs
Autodesk Drive,Autodesk Drive
Autodesk Image Library,오토데스크 이미지 라이브러리
average end area,평균 끝 면적
azimuth,방위각
backsight,후시
base family,기본 패밀리
base surface,기준 지표면
batch converter,배치 변환기
Batch Print,Batch Print
Batch Utility,배치 유틸리티
BCA,BCA
bearing wall,내력벽
bend diameter,구부림 지름
berm,노견
bloss,Bloss
blur,흐림
blurriness,흐림
borrower,대여자
boundary point,경계점
bounding box,경계 상자
branch circuit,분기 회로
breakover removal,횡단경사변경부 제거
brick veneer,벽돌 베니아
Bridge,브리지
Bridge Design for InfraWorks 360,Bridge Design for InfraWorks 360
Budget Payment Application,예산지급 청구서
building common area,건물 공통 영역
building footprint,건물 외곽설정
building level,건물 레벨
built-up roof,내장 지붕
bulge,벌지
butt,버트
BVC,BVC
BVCE,BVCE
BVCS,BVCS
cable tray,케이블 트레이
CADmep,CADmep
callout markup,콜아웃 마크업
callout tag,콜아웃 태그
camera-centric,카메라 중심
cant,캔트
cap,마감
cartoon set,카툰 세트
casement,여닫이창
cast-in-place,현장타설
catchment,유역
cavity wall,캐비티 벽
ceiling plan,천장 평면도
center line,중심선
center mark,중심 표식
ceramic tile,세라믹 타일
chamfer,모따기
Change Order,계약 변경
chord distance,현 거리
clash,간섭 그룹
Clash Detective,Clash Detective
clearance,이격거리
clearance clash,유효 간섭 범위
clerestory,채광창
clip volume,객체 자르기
code set style,코드 세트 스타일
cold water fixture unit,냉수기구배수부하
compass angle,나침반 각도
composite object,복합 객체
composition roof,복합재 지붕
Conceptual Energy Analysis,개념 에너지 해석
conceptual mass,컨셉 매스
condensate drain,응축수 배수
conduit,배선
conduit connector,배선 커넥터
constraint element,구속조건 요소
constructability modeling,시공 가능성 모델링
content library,컨텐츠 라이브러리
content pack,컨텐츠 팩
contour label,등고선 레이블
convection load,대류 하중
convex,볼록
Coordinate Tracker,좌표 추적기
cope,코핑
corbel,코벨
Correspondence,서신
corridor section editor,코리더 횡단 편집기
corridor shrinkwrap,코리더 형상단순화
corridor surface,코리더 표면
Cost Payment Application,비용 지급 청구서
country kit,국가별 키트
crossing pipe,교차 파이프
crouch,숙임
cubic parabola,3차 포물선
current directory,현재 디렉토리
curtain grid,커튼 그리드
curtain panel,커튼 패널
curtain system,커튼 시스템
curtain wall,커튼월
curtain wall frame,커튼월 프레임
curtain wall grid,커튼월 그리드
curtain wall mullion,커튼월 멀리언
curtain wall unit,커튼월 단위
curve tessellation distance,원곡선 다듬기 거리
curved beam,곡선 보
cut-in speed wind,기동 바람
cut-out speed wind,정지 바람
CWFU,CWFU
data band,단면정보 테이블
daylight portal,일광 포탈
daylighting glass,일광 유리
dead load,고정 하중
DECDEG,DECDEG
degrees minutes seconds,도 분 초
DEM,DEM
demand factor,수요율
digital terrain model,디지털 지형 모형
DimConstraint,DimConstraint
Discipline,공종
DLL,dll
DMS,DMS
Drainage Design for Infraworks 360,Drainage Design for Infraworks 360
drawing group,도면 그룹
drop amount,삭제 양
drop reference location,단차 참조 위치
drop value,단차 값
drop-out,누락
dry bulb,건구
drywall,건식벽
DTM,DTM
duct connector,덕트 커넥터
duct damper,덕트 댐퍼
duct lining,덕트 라이닝
duct system,덕트 시스템
duplicate clash,중복 간섭
easting,동향
edit point,점 편집
EDM,EDM
electrical equipment,전기 장비
electronic distance meter,전자 거리 미터
elevation,고도
elevation axis,고도 축
embedded wall,내포된 벽
end connector,끝단 커넥터
Engineer-to-Order,Engineer-to-Order
equilibrium cant,평형 캔트
EVC,EVC
EVCE,EVCE
exhaust air,배기
external distance,외부 거리
external secant,외부 시컨트
eye,눈
faceting factor,면분할 계수
field book,야장
field of view,시야
field report,현장 보고서
fill pattern,채우기 패턴
fillet,모깎기
fitting,피팅
fixed line,고정 선
fixed window,고정 창
fixture unit,설비 단위
flange point,플랜지 점
float curve,부동 원곡선
floor plan,평면도
focal point,초점
form element,양식 요소
FormIt,FormIt
Forms,양식
frame,프레임
frame rate,프레임속도
FU,FU
fuzz,퍼지
gizmo,장치
grad,그래드
grading plan,정지 평면
gravity network,중력식 관망
gravity pipe,중력식 파이프
grid padding,그리드 패딩
ground conductor,접지 컨덕터
guardrail,난간
hanger,행거
hard clash,겹친 간섭
HDS,HDS
heat gain,열 취득
heat island,열섬
heating and cooling loads,난방 및 냉방 부하
heating design temperature,난방 설계 온도
HGL,HGL
highside location,위쪽 위치
horizontal adjustment method,수평 조정 방법
hot conductor,핫 컨덕터
hotspot,핫스폿
HP,HP
HS end plate,HS 엔드 플레이트
HVAC zone,HVAC 구역
hydraulic grade line,동수경사선
hydronic,순환수
implied point of intersection,임시 교차점
InfraWorks 360,InfraWorks 360
InfraWorks 360 LT,InfraWorks 360 LT
initial abstraction,초기 손실
Initiator,최초 작성자
input type,입력 유형
instance,인스턴스
interference check,간섭 검사
intersection,교차점
intersection method,교차 방법
issues,이슈
jobsite photos,현장 사진
keynote,키노트
keynote table,키노트 테이블
keynote tag,키노트 태그
keynote text,키노트 문자
knuckle,너클
latent heat,잠열 취득
layout profile,종단 배치
level landing,레벨 계단참
level of smoothness,부드럽기 정도
LF,LF
lighting device,조명 장치
lighting fixture,조명 설비
lighting power density,조명 전력 밀도
line boundary,선 경계
line string,행 문자열
linear array,선형 배열
linear dimension,선형 치수
live load,활하중
load case,하중 케이스
load classification,부하 분류
location line,위치 선
LP,LP
manhole,맨홀
manual entry bar,수동 항목 막대
mapcheck,측량 성과 검사
mass floor,매스 바닥
mass haul diagram,유토 곡선 다이어그램
mass zone,매스 구역
material takeoff,재료 견적
Max model,Max 모형
maximum breakover,최대 횡단경사변경부
maximum facet deviation,면분할 최대 편차
mean daily range,평균 일일 범위
mechanical load,기계적 하중
mid-ordinate,중앙종거
mid-ordinate distance,중앙종거 거리
minor station,보조 측점
miter join,연귀 결합
model text,입체 문자
model-centric,모형 중심
Multiplanar,다중 평면
Multi-planar,다중 평면
multi-poled circuit,다중 극 회로
multi-sheet,다중 시트
Navisworks,Navisworks
Navisworks Exporters,Navisworks Exporters
Navisworks Freedom,Navisworks Freedom
Navisworks Manage,Navisworks Manage
Navisworks Simulate,Navisworks Simulate
net graph,순토량 그래프
neutral conductor,중립 컨덕터
NNI,NNI
nominal diameter,공칭 지름
northing,북향
nurse call device,간호사 호출 장치
object grip,객체 그립
occupancy,점유
occupiable,점유 가능
OCR,OCR
one way slab,단방향 슬래브
ordinate dimensioning,세로좌표 치수
orthographic,직교
outfall,배수구
outside shoulder superelevation method,외부 길어깨 편경사 방법
P&ID Modeler,P&ID Modeler
pan joist,패널 장선
panelboard,배전반
path reinforcement,경로 철근 배근
people latent heat gain,사람의 체온 취득
phase filter,공정 필터
phase mapping,단계 매핑
Photo on ReCap 360,Photo on ReCap 360
photometric shape,포토메트릭 모양
photon map,광자 맵
physically accurate light,물리적 자동 광원
PI point,PI 점
pier,교각
pipe accessory,파이프 액세서리
pipe connector,파이프 커넥터
pipe end line,파이프 마감
pipe fitting,파이프 피팅
pipe insulation,파이프 단열재
pipe layout,파이프 배치
pipe plan,파이프 평면
pipe run,관로
pipe wall,파이프 벽
Piranesi EPix,Piranesi EPix
pitch,상하 회전
plan readability,읽기 쉬운 문자
PlanGrid,PlanGrid
plenum,천장속
plumbing fixture,배관 설비
point boundary condition,점 경계 조건
point load,점 하중
power circuit,전원 회로
power collaborator,고급 공동 작업자
power load,전력 부하
pre-action fire protection system,준비 작동식 방화 시스템
precast,프리캐스트
pressure loss,압력 손실
Primary,1차
profile definition,프로파일 정의
profile geometry point,종단 지오메트리 점
profile grade line,종단 정지선
profile grid view,종단 그리드 뷰
progress photos,진행률 사진
projected coordinate system,투영된 좌표계
property line,대지 경계선
proximity check,근접 검사
railing system,난간 시스템
raw intensity,원시 강도
ray tracing,레이트레이싱
rebar bar,보강 철근
ReCap,ReCap
ReCap 360,ReCap 360
ReCap 360 Ultimate,ReCap 360 Ultimate
ReCap Pro,ReCap Pro collaboration features
redline,수정 지시
redundant room,중복 룸
reference profile,참조 종단
reflected ceiling plan,반사된 천장 평면도
region line,영역 선
regression graph,회귀 그래프
rehab corridor,재건 코리더
release condition,릴리즈 조건
rendering appearance,렌더링 모양
retention,유보
return air,환기
return airflow,순환 기류
reverse play,뒤로 재생
Revit,Revit
Revit Cloud Worksharing,Revit 클라우드 작업 공유
Revit Collaboration Suite,Revit Collaboration Suite
Revit LT,Revit LT
right of way,용지경계선
riser,라이저
Roadway Design for InfraWorks 360,Roadway Design for InfraWorks 360
Roamer,Roamer
rolled roof,압연 지붕
roof fascia,지붕 처마돌림
roof ridge,지붕 용마루
roof soffit,지붕 처마밑면
room schedule,룸 일람표
run,계단진행
sag curve,오목형
sample line group,단면 검토선 그룹
sample point,샘플 점
sampled source,단면 검토된 소스
Schedule,일정
Scripter,Scripter
section sheet,횡단 시트
selection resolution,선택 설정
service clearance,서비스 틈새
shadow catcher,그림자 포착기
shear wall,전단벽
shell construction,쉘 시공
shop drawing,공장 도면
shoulder breakover,길어깨 횡단경사변경부
sine half-wavelength diminishing tangent curve,사인 반파장 감소 접선 원곡선
sinusoidal curve,사인 곡선
SketchUp,SketchUp
skew angle,사각
slab bottom,슬래브 하단
slab top,슬래브 상단
slope pattern,경사 패턴
sloped beam,경사 보
sloped piping,경사 파이프
soft clash,간격 간섭
Space Naming Utility,빈 공간 이름 유틸리티
Spec section,사양 분류
split location,분할 위치
splitter island,분리 교통섬
spot slope,지정점 경사
sprinkler,스프링클러
spud,스퍼드
stacked wall,적층벽
station elevation label,측점 표고
step footing,계단식 기초
still image,스틸 이미지
still-image,스틸 이미지
street elbow,암수 엘보우
strip window,스트립 창
stripping pavement,포장 스트립
stripping top soil,표토 스트립
structural analysis,구조 해석
Structural Analysis for Revit,Structural Analysis for Revit
structural modeling,구조 모델링
submittals,자료제출
Subordinate,종속
superimposed profile,겹친 종단
supplementing distance,보충 거리
supply air system,급기 시스템
surface profile,지표면에서 종단 작성
survey database,측량 데이터베이스
survey network,측량 네트워크
survey point,측량 점
swath width,주사 폭
switchboard,스위치 보드
SWPPP,SWPPP
tag,태그
tangent distance,접선 거리
tap,탭
temperature load,온도 하중
template,템플릿
tie bend,타이 구부림
tilt angle,경사각
time of travel,이동 시간
TimeLiner,TimeLiner
Tinkerplay,Tinkerplay
title mark,제목 표식
tolerance,공차
toolspace,도구공간
transition fitting,변환 장치
transition length,변환 길이 - LF
transition station,변환 측점
Transmittals,자료전송
transparent dimming,투명도 흐림
Traverse Editor,다각측량 편집기
trench,터파기
trench plate,바닥 보강용 철판
trim,자르기
true current,진전류
true load,실부하
two-cut plumb,귀퉁이 자른 수직
two-cut square,귀퉁이 자른 사각형
undivided crowned,분할되지 않은 크라운형
undivided planar,분할되지 않은 평면형
unresolved Xref,해석되지 않은 외부 참조
user contour,사용자 등고선
user research,사용자 리서치
Variable Air Volume,가변 공기 볼륨
VAV,VAV
Vehicle Tracking,Vehicle Tracking
velocity pressure,속도 압력
veneer,베니아
vented,환기
vertical adjustment,수직 조정 방법
vertical curvature,수직 곡면
view list,뷰 리스트
viewpoint,관측점
vision glass,시각 유리
void geometry,보이드 형상
volume table,토량 테이블
walkthrough,워크쓰루
wall foundation,벽 기초
web thickness,웨브 두께
weed,제거
welded wire fabric,용접철구조
wet bulb,습구
WFU,WFU
Worksharing Monitor,Worksharing Monitor
world up direction,표준 상방향
world up vector,표준 상향 벡터
wrap,마무리
XDRef,XDRef
zone of visual influence,시각적 영향 구역
zoom box,확대/축소 상자
