source,target
3D mesh primitive,prymityw siatki 3D
3D Move gizmo,metauchwyt Przesunięcie 3D
3D Rotate gizmo,metauchwyt Obrót 3D
3D Scale gizmo,metauchwyt Skala 3D
air handler,urządzenie wentylacyjne
aligned section view,przekrój dopasowany
alignment geometry point,punkt geometrii linii trasowania
alignment offset,odsunięcie linii trasowania
ALKIS,ALKIS
ampacity,obciążalność prądowa
analemma,analema
analytical brace,stężenie analityczne
analytical floor,model analityczny stropu
analytical surface,powierzchnia modelu analitycznego
angle of deflection,kąt ugięcia
angular speed,prędkość kątowa
annotation,opis
anti-shrinkage reinforcement,zbrojenie przeciwskurczowe
apparent power,Moc pozorna
appearance style,styl wyglądu
approach road,droga dojazdowa
apron,szerokość pierścienia
arc-chord distance,strzałka łuku
ArcGIS,ArcGIS
architectural floor,strop architektoniczny
ASHRAE fitting,złączka ASHRAE
asset library,biblioteka zasobów
asymmetrical roadway template,przekrój normalny jezdni asymetrycznej
ATIL,ATIL
Autodesk Image Library,Biblioteka obrazów Autodesk
average end area,średnia powierzchni końcowych
axis offset,odsunięcie osi
azimuth,azymut
backsight,pomiar wstecz
base family,rodzina bazowa
base layer,warstwa podstawowa
batch converter,konwerter wsadowy
Batch Print,Batch Print
BCA,BCA
bearing wall,ściana nośna
benching,tarasowanie
bend diameter,Średnica gięcia
bloss,krzywa Blossa
border and leader gap,odsunięcie ramki i linii odniesienia
borrower,wypożyczający
boundary point,punkt obwiedni
bounded volume,objętości ograniczone
bounding box,ramka ograniczająca
bounding shape,kształt ograniczający
branch circuit,obwód rozgałęziony
breakover removal,usuwanie różnicy nachylenia
brick veneer,oblicowanie cegłą
Bridge,Przekazy danych
Bridge Design for InfraWorks 360,Bridge Design for InfraWorks 360
building common area,powierzchnia wspólna budynku
building footprint,obrys budynku
building level,Poziom budynku
built-up roof,pokrycie dachu wielowarstwowe
bulge,wybrzuszenie
butt,łączyć doczołowo
BVC,BVC
BVCE,BVCE
BVCS,BVCS
bypass lane,pas objazdu
cable tray,drabinka kablowa
CADmep,CADmep
callout markup,adnotacja z objaśnieniem
callout tag,oznaczenie znacznika opisowego
cant,przechyłka kolejowa
cant gradient,przyrost  przechyłki kolejowej
cap,zaślepka
cartoon set,zestaw rysunków
casement,skrzydło okienne
cast-in-place,wylewany na miejscu
catch basin,wpust uliczny
catchment,zlewnia
catchment location,położenie zlewni
cavity wall,ściana szczelinowa
ceiling plan,rzut odwrócony
center line,linia środkowa
center mark,znacznik środka
centerline,linia środkowa
ceramic tile,płytka ceramiczna
channel,kanały
chord distance,długość cięciwy
CL,LŚ
clearance,odstęp
clerestory,clerestorium
clip volume,objętość przycięcia
code combination,kombinacje normowe
code set style,styl zestawu kodów
cold water fixture unit,jednostka armatury do zimnej wody
colinear,współliniowy
collinear,współliniowy
combination inlet,wlot złożony
composite volumes,objętości złożone
composition roof,dach z pokryciem bitumicznym
compound curve,krzywa złożona
Conceptual Energy Analysis,narzędzie koncepcyjnej analizy energetycznej
conceptual mass,masa koncepcyjna
condensate drain,dren kondensacyjny
conduit,rura kablowa
conduit connector,złącze przewodu
conduit fitting,osprzęt do rurkowania
connector,złącze
constraint element,element ograniczający
constructability modeling,modelowanie wykonalności
construction triangle,trójkąt konstrukcyjny
content library,biblioteka zawartości
content pack,pakiet zawartości
contour label,etykieta warstwicy
control region,region kontrolny
convection load,wartość konwekcji
convex,wypukłe
cope,przykrywać
corbel,wspornik wysadzony
corridor section editor,edytor przekroju korytarza
country kit,pakiet standardów lokalnych
crossing pipe,rura przecinająca
crown,góra rury
crowned roadway,Jezdnia o spadku daszkowym
cul-de-sac,zaułek
curb,ścianka krawężnika
curb opening inlet,wlot krawężnika
curb return,wyłukowanie krawędzi
current directory,bieżący katalog
current version,bieżąca wersja
curtain grid,podział ściany osłonowej
curtain panel,pole ściany osłonowej
curtain system,system elementów osłonowych
curtain wall,ściana kurtynowa
curtain wall frame,rama ściany kurtynowej
curtain wall grid,siatka ściany kurtynowej
curtain wall mullion,szpros ściany kurtynowej
curtain wall unit,jednostka ściany kurtynowej
curve tessellation distance,długość mozaikowania krzywej
curved beam,belka zakrzywiona
cut-in speed wind,"prędkość wiatru, przy której turbina startuje"
cut-out speed wind,"prędkość wiatru, przy której turbina zatrzymuje się"
CWFU,CWFU
data band,opis pasma danych
daylight portal,portal światła dziennego
daylighting glass,szkło doświetlające
dead load,obciążenie stałe
DECDEG,DECDEG
degrees minutes seconds,"stopnie, minuty, sekundy"
DEM,DEM
