source,target
3D mesh primitive,сетевой 3D-примитив
3D Move gizmo,гизмо 3D-переноса
3D Rotate gizmo,гизмо 3D-поворота
3D Scale gizmo,гизмо 3D-масштабирования
abutment,устой
air handler,установка для кондиционирования воздуха
aligned section view,сечение с выравниванием
alignment geometry point,точка геометрии трассы
alignment offset,смещение трассы
ALKIS,ALKIS
ampacity,допустимая токовая нагрузка
analemma,аналемма
analytical brace,аналитическая модель раскоса
analytical floor,аналитическая модель перекрытия
analytical surface,аналитическая поверхность
angle of deflection,угол отклонения
angular speed,угловая скорость
annotation,аннотация
apparent power,полная установленная мощность
appearance style,стиль представления
approach road,примыкающая дорога
apron,переходная полоса
arc-chord distance,расстояние от хорды до дуги
ArchiCAD model,модель ArchiCAD
architectural floor,архитектурный вид
ASBD,ASBD
ASHRAE fitting,фитинг по нормам ASHRAE
asset library,библиотека компонентов
asymmetrical roadway template,асимметричный шаблон дорожного полотна
ATIL,ATIL
AutoCAD model,модель AutoCAD
Autodesk Image Library,Библиотека изображений Autodesk
average end area,усредненная площадь
azimuth,азимут
backsight,обратное визирование
base family,базовое семейство
base layer,базовый слой
batch converter,пакетное преобразование
BCA,BCA
bearing wall,несущая стена
benching,берма
bend diameter,диаметр изгиба
bloss,кривая Блосса
border and leader gap,промежуток рамки и линии выноски
borrower,заемщик
boundary point,точка контура
bounded volume,ограниченный объем
bounding box,ограничивающая рамка
bounding shape,форма контура
box girder,коробчатая балка
branch circuit,участок цепи
breakover removal,удаление перелома
brick veneer,кирпичная облицовка
building common area,зона общего пользования в здании
building footprint,проекция здания
Building Information Modeling,информационное моделирование объектов строительства
building level,этаж здания
built-up roof,многослойная кровля
bulge,прогиб
butt,стыковое соединение
BVC,BVC
BVCE,BVCE
BVCS,BVCS
bypass lane,полоса объезда
cable tray,кабельный лоток
callout tag,марка выносного элемента
cap,заглушка
cartoon set,набор эскизов
casement,распашной переплет
cast-in-place,монолитный
catch basin,водосбор
catchment,водосбор
catchment location,местоположение водосбора
cavity wall,пустотная стена
ceiling plan,план потолка
center line,осевая линия
center mark,маркер центра
centerline,осевая линия
ceramic tile,керамическая плитка
channel,канал
characteristic strength,нормативная прочность
chord distance,длина хорды
CL,осевая линия
clerestory,верхний ряд окон
clip volume,усечение объема
cloud model,облачная модель
code combination,сочетание норм
code set style,стиль набора кодов
cold water fixture unit,расход прибора для холодной воды
colinear,коллинеарный
collinear,коллинеарный
combination inlet,комбинированный слив
composite volumes,композитные объемы
composition roof,кровля комбинированной конструкции
compound curve,составная кривая
Conceptual Energy Analysis,концептуальный расчет энергопотребления
conceptual mass,формообразующий элемент
condensate drain,конденсатопровод
conduit,короб
conduit connector,соединитель короба
conduit fitting,фитинг короба
connection symbol,обозначение соединения
connector,соединитель
constraint element,зависимый элемент
constructability modeling,моделирование технологичности строительства
construction triangle,конструктивный треугольник
content library,библиотека компонентов
content pack,пакет компонентов
contour label,метка горизонтали
control region,управляющая область
convection load,конвективная нагрузка
convex,выпуклый
cope,врезка
corbel,карниз
corridor section editor,редактор сечений коридора
counterfort,контрфорсный
country kit,пакет адаптации
crossing pipe,пересекающая труба
crown,гребень
crowned roadway,двускатная дорога
cul-de-sac,тупик
curb,бордюр
curb opening inlet,входное отверстие в бордюре
curb return,сопряжение на пересечении
current directory,рабочий каталог
curtain grid,схема разрезки стен
curtain panel,панель витража
curtain system,витражная система
curtain wall,витраж
curtain wall frame,каркас витража
curtain wall grid,сетка витража
curtain wall mullion,импост витража
curtain wall unit,блок витража
curve tessellation distance,протяженность мозаичной структуры для кривой
curved beam,криволинейная балка
custom girder,пользовательская балка
cut-in speed wind,скорость ветра с наветренной стороны
cut-out speed wind,скорость ветра с подветренной стороны
CWFU,CWFU
data band,область данных
daylight portal,световой фонарь
daylighting glass,стекло естественного освещения
dead load,постоянная нагрузка
DECDEG,DECDEG
deck,настил
degrees minutes seconds,градусы минуты секунды
DEM,DEM
demand factor,коэффициент нагрузки
depression low point,низшая точка впадины
design report,отчет по проекту
design speed lookup method,метод поиска проектной скорости
differential surface,поверхность по разности
