source,target
3D mesh primitive,enkelt 3D-nät
3D Move gizmo,verktyg för 3D-förflyttning
3D Rotate gizmo,verktyg för 3D-rotation
3D Scale gizmo,verktyg för 3D-skalning
ACC,ACC
account administrator,kontoadministratör
Activity Gantt View,"Aktivitet, Gantt-vy"
administrator,administratör
aggregate View,sammansatt vy
ALKIS,ALKIS
analytical surface,analytisk yta
approver,godkännare
ATIL,ATIL
attachment,bilaga
AutoCAD Civil 3D,AutoCAD Civil 3D
AutoCAD Revit LT Suite,AutoCAD Revit LT Suite
Autodesk Insight,Autodesk Insight
Autodesk Takeoff,Autodesk Takeoff
BCA,BCA
bid package,anbudspaket
billing period,faktureringsperiod
BIM tool,BIM-verktyg
Bridge,Bridge
Bridge Design for InfraWorks 360,Bridge Design for InfraWorks 360
budget payment application,budgetbetalningsansökan
business units,företagsenheter
BVC,BVC
BVCE,BVCE
BVCS,BVCS
CDE,CDE
company,företag
contact,kontakt
Content Awareness,Innehållsmedvetenhet
controlled sharing,kontrollerad delning
coordination space,samordningsutrymme
cost impact,kostnadspåverkan
cost payment application,kostnadsbetalningsansökan
CWFU,CWFU
data center,datacenter
DECDEG,DECDEG
DEM,DEM
DMS,DMS
document,dokument
document log,dokumentlogg
Document Management,Dokumenthantering
Drainage Design for Infraworks 360,Drainage Design for Infraworks 360
DTM,DTM
EDM,EDM
elevation,höjd
ellipse segment,ellipssegment
EVC,EVC
EVCE,EVCE
executive,chef
feature,funktion
file,fil
files log,fillogg
Form,Formulär
FormIt,FormIt
Forms,Formulär
FU,FU
general contractor company,huvudentreprenörsföretag
HDS,HDS
heat island,värmeöar
HGL,HGL
HP,HP
hypermodel,Hypermodell
hypermodeling,hypermodellering
Ia,Ia
InfraWorks 360,InfraWorks 360
InfraWorks 360 LT,InfraWorks 360 LT
initiator,initiator
inventory,inventarieförteckning
issue,ärende
Issues,Ärenden
item,objekt
jobsite photos,arbetsplatsfoton
labor and workforce report,arbetskraftsrapport
level of smoothness,jämnhet
LF,LF
location,plats
log,logg
LP,LP
markup,markering
member,medlem
mini-map,minikarta
model alignment,Justera modell
Navisworks,Navisworks
Navisworks Exporters,Navisworks Exporters
Navisworks Freedom,Navisworks Freedom
Navisworks Manage,Navisworks Manage
Navisworks Simulate,Navisworks Simulate
next action by,nästa åtgärd av
node,nod
not an issue,inte ett ärende
object,objekt
offering,erbjudande
organization,organisation
permission,behörighet
Photo on ReCap 360,Photo on ReCap 360
Piranesi EPix,Piranesi EPix
Place Me,Placera mig
PlanGrid,PlanGrid
primary model,primär modell
product,produkt
product picker,produktväljare
progress photos,förloppsfoton
Progress Tracking,förloppsspårning
project,projekt
project administrator,projektadministratör
Project List,projektlista
Pype,Pype
Quality Risk Trend,Kvalitetsrisk
ReCap,ReCap
ReCap 360,ReCap 360
ReCap 360 Ultimate,ReCap 360 Ultimate
reference,referens
report,rapport
reviewer,granskare
Reviews,Granskningar
Revit,Revit
Revit Collaboration Suite,Revit Collaboration Suite
Revit LT,Revit LT
RFI,RFI
RFI visibility,synlighet för RFI
RFIs,RFIs
Risk Level,Risknivå
Roadway Design for InfraWorks 360,Roadway Design for InfraWorks 360
Roamer,Roamer
role,roll
root cause,grundorsak
section plane,sektionsplan
set,uppsättning
settings,inställningar
SketchUp,SketchUp
spec section,specifikation
specification,Beskrivning
stamp,stämpel
string field,strängfält
Structural Analysis for Revit,Structural Analysis for Revit
structural modeling,konstruktionsmodellering
sub-location,underplats
submittal,Inlämning
Submittals,Inlämningar
task,uppgift
team,team
Team Space,Teamutrymme
template,mall
Timeline,Tidslinje
TimeLiner,TimeLiner
Tinkerplay,Tinkerplay
title,rubrik
tool,verktyg
Transmittals,Överföringar
unarchive,avarkivera
user research,användarforskning
Vehicle Tracking,Vehicle Tracking
viewer,visningsfönstret
XDRef,XDRef
