source,target
1-year subscription,1 年期固定期限的使用授權
30-day trial,30 天試用版
3D,3D
3D printer,3D 印表機
3D printing,3D 列印
Accelerate Better Design,加速更好的設計
ACE,ACE
ACI,ACI
activation code,啟用碼
active rental plan,主動租賃計畫
add-in,增益集
additive manufacturing,增材製造
ADI,ADI
AdLM,AdLM
ADN,ADN
ADP,ADP
Advance Concrete,Advance Concrete
Advance Steel,Advance Steel
advertise,廣告
AEC,AEC
AEC Collection,工程建設軟體集
aerospace,航太
AIA,AIA
Aligned Marketing Program,協調一致的行銷計劃
alpha channel,Alpha 通道
ambient color,環境顏色
ambient temperature,環境溫度
amendment,修正
American Institute of Architects,美國建築師協會
anchor,錨定
anchor point,錨定點
angle,角度
angle constraint,角度約束
Announcements,通告
anti-aliasing,消除鋸齒
anti-boycott,反抵制
anti-corruption,反貪腐
anxiety question,疑慮問題
AOTC,AOTC
API,API
App Store,App Store
app store end user license agreement,App Store 終端使用者授權合約
AppFrame,AppFrame
APPID,APPID
Apple App Store,Apple App Store
Application Engineer,應用程式工程師
application ID,應用程式 ID
Application Programming Interface,應用程式設計介面
Architect's Supplemental Instruction,建築補充說明
Architectural Supplemental Instructions,建築補充說明
ASIs,ASI
Ask Autodesk,詢問 Autodesk
ASM,ASM
assembly,組合
asset,資產
ATC,ATC
ATC Agreement,ATC 合約
ATC Global Program Guide,ATC 全球計劃指南
ATC Locator,ATC 搜尋工具
ATC Online Evaluation System,ATC 線上評估系統
ATC Site Enrolment and Business Plan Form,ATC 網站註冊和業務計劃表單
attach rate,新購率
AU,AU
AUGI,AUGI
authorized partner,授權合作夥伴
AutoCorrect,AutoCorrect
Autodesk Academic Value Added Reseller,Autodesk 學術加值經銷商
Autodesk Advanced Support,Autodesk Advanced Support (進階支援)
Autodesk Analytics,Autodesk Analytics
Autodesk Animation Academy,Autodesk Animation Academy
Autodesk App Store Verified Download,Autodesk App Store 驗證下載
Autodesk assessment test,Autodesk 評估測驗
Autodesk Asset Locator,Autodesk Asset Locator
Autodesk Authorized Academic Partner,Autodesk 授權學術合作夥伴
Autodesk authorized reseller,Autodesk 授權經銷商
Autodesk Authorized Training Center,Autodesk 授權教育訓練中心 (ATC)
Autodesk Backburner,Autodesk Backburner
Autodesk Basic Support,Autodesk Basic Support (基本支援)
Autodesk BIM and Beam Blog,Autodesk BIM and Beam 部落格
Autodesk BIM Transformation Services,Autodesk BIM 轉型服務
Autodesk Bronze reseller,Autodesk 銅級經銷商
Autodesk Building Engineering Playbook,Autodesk 建築工程策略手冊
Autodesk Building YouTube Channel,Autodesk 建築 YouTube 頻道
Autodesk Business Center,Autodesk 業務中心
Autodesk Business Value Methodology,Autodesk 商業價值方法
Autodesk carbon footprint,Autodesk 碳足跡
Autodesk Certification,Autodesk 認證
Autodesk Certification Training,Autodesk 認證訓練
Autodesk Certified Instructor program,Autodesk 認證講師計劃
Autodesk Certified logo,Autodesk 認證標誌
Autodesk Certified Professional,Autodesk 認證專業人士
Autodesk Certified User program,Autodesk 用戶認證計劃
Autodesk Channel Branding Guidelines,Autodesk 經銷商品牌指南
Autodesk Channel Sales Manager,Autodesk 經銷業務經理
Autodesk Channel Team,Autodesk 通路團隊
Autodesk Classroom Training,Autodesk 課堂訓練
Autodesk Clean Tech Partner Program,Autodesk 清潔技術合作夥伴計劃
Autodesk Collaboration and Data Management Services,Autodesk 協同合作和資料管理服務
Autodesk Collaborative Project Management Solutions,Autodesk 協同專案管理解決方案
Autodesk Compliance Program,Autodesk 法規遵循計劃
Autodesk Construction Magazine,Autodesk Construction Magazine
Autodesk Consulting,Autodesk 顧問服務
Autodesk Consulting Specialization Program,Autodesk 諮詢專業化計劃
Autodesk Content Service,Autodesk Content Service
Autodesk Content Syndication Service,Autodesk 內容聯合服務
Autodesk Customer Engagement Program,Autodesk 客戶參與計劃
Autodesk Customer Experience Team,Autodesk 客戶體驗團隊
Autodesk Customer Involvement Program,Autodesk 客戶參與方案
Autodesk Customer Satisfaction Program,Autodesk 客戶滿意度方案
Autodesk Customer Service representative,Autodesk 客戶服務代表
Autodesk Customer Support,Autodesk 客戶支援
Autodesk data management tools,Autodesk 資料管理工具
Autodesk Design Academy,Autodesk Design Academy
Autodesk Design and Creation Suites,Autodesk Design and Creation Suites
Autodesk Design Package,Autodesk Design Package
Autodesk DevDays Conference,Autodesk DevDays 大會
Autodesk Developer Network,Autodesk 開發商合作網
Autodesk Developer Network Open,Autodesk 開放式開發商合作網
Autodesk Digital Entertainment Creation solution,Autodesk 數位娛樂創作解決方案
Autodesk Digital Magazine,Autodesk 數位雜誌
Autodesk Digital Prototyping Forum,Autodesk 數位原型論壇
Autodesk Digital Prototyping solution,Autodesk 數位原型解決方案
Autodesk Digital STEAM Workshop,Autodesk 數位 STEAM 研討會
Autodesk Distributor Agreement,Autodesk 代理商合約
Autodesk Download Manager,Autodesk 下載管理器
Autodesk Education,Autodesk 教育版
Autodesk Education Community,Autodesk Education Community
Autodesk Education Curriculum,Autodesk 教育版課程
Autodesk Education Suite for Architecture & Engineering,Autodesk 建築與工程教育套件
Autodesk Education Suite for Civil & Structural Engineering,Autodesk 土木與結構工程教育套件
Autodesk Education Suite for Industrial Design,Autodesk 工業設計教育套件
Autodesk Education Suite for Mechanical Engineering,Autodesk 機械工程教育套件
Autodesk Employee Purchase Program,Autodesk 員工購買計劃
Autodesk Engineer-to-Order Services,Autodesk 依訂單設計服務
Autodesk Enterprise Priority Support,Autodesk Enterprise Priority Support (企業優先支援)
Autodesk flex token,Autodesk Flex 令牌
Autodesk FLUX Design Competition,Autodesk FLUX 設計比賽
Autodesk forum,Autodesk 論壇
Autodesk Gallery,Autodesk 藝廊
Autodesk Gold partner,Autodesk 金級合作夥伴
Autodesk ID,Autodesk ID
Autodesk iiko Experience,Autodesk iiko Experience
Autodesk in the News,Autodesk 新聞
Autodesk Industry Careers Framework for Games and Animation,Autodesk 遊戲和動畫產業職業框架
Autodesk Infrastructure Solutions,Autodesk 基礎架構解決方案
Autodesk Inside Sales Team,Autodesk 內部銷售團隊
Autodesk Installation Help,Autodesk 安裝說明
Autodesk Knowledge Network,Autodesk Knowledge Network
Autodesk Labs,Autodesk 實驗室
Autodesk LaunchPad,Autodesk 啟動台
Autodesk Learning and Education,Autodesk 學習與教育
Autodesk Learning Central,Autodesk Learning Central
Autodesk License Compliance Team,Autodesk 授權法規遵循團隊
Autodesk License Manager,Autodesk 授權管理員
Autodesk Live,Autodesk LIVE
Autodesk Live Chat,Autodesk Live Chat (即時交談)
Autodesk Manufacturing Team,Autodesk 製造團隊
Autodesk MasterClasses,Autodesk 大師課程
Autodesk Network License Manager,Autodesk Network License Manager
Autodesk Official Training Courseware,Autodesk 官方訓練課件
Autodesk Official Training Guides,Autodesk 官方訓練指南
Autodesk Online Store,Autodesk 網路商店
Autodesk Online Testing Service,Autodesk 線上測驗服務
Autodesk Partner Manager,Autodesk 合作夥伴管理員
Autodesk Partner Portal,Autodesk 合作夥伴入口網站
Autodesk Partner Program,Autodesk 合作夥伴方案
Autodesk Partner Specializations,Autodesk 合作夥伴專業領域
Autodesk Per-Incident Support,Autodesk 事件前支援
Autodesk Platinum partner,Autodesk 白金級合作夥伴
Autodesk Portfolio,Autodesk 產品組合
Autodesk Preferred Industry Partner,Autodesk 優先產業合作夥伴
Autodesk Premier Solutions Provider,Autodesk 頂級解決方案提供商
Autodesk Privacy Statement,Autodesk 隱私權聲明
Autodesk Professional Excellence,Autodesk 專業人士卓越
Autodesk Renovation and Retrofit Playbook,Autodesk 翻新與修整策略手冊
Autodesk Retirement Program,Autodesk 除役方案
Autodesk Route 66 Professional Skills Training,Autodesk Route 66 專業技能訓練
Autodesk Sales Development Fund,Autodesk 業務發展基金 (SDF) 計劃
Autodesk sales representative,Autodesk 銷售代表
Autodesk Services and Support,Autodesk 服務與支援
Autodesk Services Marketplace,Autodesk Services Marketplace
Autodesk Shape Manager,Autodesk Shape Manager
Autodesk Sign In Help,Autodesk 登入說明
Autodesk Silver partner,Autodesk 銀級合作夥伴
Autodesk software,Autodesk 軟體
Autodesk software license,Autodesk 軟體授權
Autodesk Software License Agreement,Autodesk 軟體授權合約
Autodesk solution for Digital Prototyping,Autodesk 數位原型製作解決方案
Autodesk Store,Autodesk Store
Autodesk Streamline,Autodesk Streamline
Autodesk suite,Autodesk 套件
Autodesk support agent,Autodesk 支援人員
Autodesk Sustainable Design Center,Autodesk 永續設計中心
Autodesk Training Center,Autodesk 訓練中心
Autodesk Trust Center,Autodesk 信任中心
Autodesk University,Autodesk University
Autodesk University Virtual,Autodesk University Virtual
Autodesk Upgrade and Retirement Program,Autodesk 升級與除役方案
Autodesk User Group International,Autodesk 國際使用者群組
Autodesk Value Added Reseller,Autodesk 加值經銷商
Autodesk Value Added Reseller Agreement,Autodesk 加值經銷商合約
Autodesk Virtual Classroom Training,Autodesk 虛擬課堂訓練
Autodesk® Product Design and Manufacturing Collection,Autodesk® 產品設計與製造軟體集
auto-fulfilment,自動履行
automotive component design,汽車元件設計
automotive supply chain,汽車供應鏈
auto-renewal,自動續展
Available languages,可用的語言
AVAR,AVAR
avatar,虛擬人偶
Backburner,Backburner
Baseline Features,基本功能
basic tooltip,基本工具提示
Be BIM Ready,BIM 就緒
benchmark report,基準報告
Benefit Guide,權益指南
best practice,最佳實踐
Better by Design,Better by Design
BIM,BIM
BIM Adoption and Change Management services,BIM 採用與變更管理服務
BIM Enterprise Execution Plan,BIM 企業執行方案
BIM for Structural Engineering Curriculum,BIM 結構工程課程
BIM Implementation and Integration Services,BIM 實作與整合服務
BIM Knowledge Package,BIM 知識套件
BIM Standards and Processes services,BIM 標準與流程服務
BIM Strategy services,BIM 策略服務
biomimicry,仿生學
bioplastics,生物塑膠
bioswale,生物調節溝
blend,混成
blobby effect,氣泡效果
blog,部落格
BlueSnap,BlueSnap
boilerplate,重複使用
box shot,產品方塊圖
boxed shipment,盒裝貨品
boxshot,產品方塊圖
BPT,BPT
Brainshark,Brainshark
brandable static and flash banner,品牌化靜態和 Flash 橫幅
brick soldier course,立砌磚層
brightness,亮度
b-roll,花絮
brownfield,棕地
building component,建築元件
building design,建築設計
building engineering,建築工程
building equipment,建築設備
Building Industry Strategy & Relations,建築產業策略與關係
Building Information Modeling,建築資訊模型
building product,建築產品
building products manufacturer,建築產品製造商
Business Development,業務發展
business ethics,商業道德
business plan,商業計畫
Business Planning Tool,業務規劃工具
business process,業務流程
business purpose,商業目的
business record,業務紀錄
business relationship,業務關係
Business Trends,商業趨勢
CAD,CAD
CAE,CAE
calculator,計算器
Call to Action,馬上行動
callout,圖說
call-out,圖說
CAM,CAM
camera animation,相機動畫
caption,標題
carbon emission analysis,碳排放碳分析
Careers,工作機會
cascade,重疊顯示
case ID,案例 ID
Case studies,案例研究
case study,案例研究
CDF,CDF
CEC,CEC
Celebrating Creativity,慶祝創造力
certification exam,認證考試
Certification Team,認證團隊
Certified Associate,認證初階
certified hardware,認證軟體
channel development,通路發展
Channel Development Fund,通路發展基金
Channel Incentive program,通路獎勵計劃
Channel Management,通路管理
channel partner,通路合作夥伴
character designer,角色設計師
Character Generator,Character Generator
cheat sheet,備忘單
cheatsheet,備忘單
Chief Education Officer,教育長
chief executive officer,執行長
chief financial officer,財務長
chief legal officer,法務長
Chief Technical Officer,技術長
cinematic-quality,電影質感
CIP,CIP
Civil Engineering Curriculum,土木工程課程
clean tech,清潔技術
clean technology innovator,清潔技術創新者
Client Relations Team,客戶關係團隊
clip plane,截取平面
clipping boundary,截取邊界
closed end,閉口
cloud credits,雲端點數
cloud services,雲端服務
cloud unit,雲端單位
coarse,粗糙
co-branding,聯合品牌
Co-branding Assets & Templates,聯合品牌資產與樣板
codec,轉碼器
coefficient of performance,效能係數
Collaboration and Data Management Implementation Services,協同合作與資料管理實作服務
Collaboration and Data Management Strategy Services,協同合作與資料管理策略服務
collaborative project management,協同專案管理
commercial license,商用版授權
Commercial New,Commercial New
Communication Center,通訊中心
communication hub,通訊中心
Community Relations,社群關係
companion product,配套產品
compass,羅盤
compatibility chart,相容圖表
compatibility matrix,相容對照表
Competitive Intelligence,競爭智慧
complaint,投訴
compliance,法規遵循
comprehensive exam guide,全面考試指南
computer aided design,電腦輔助設計
computer aided engineering,電腦輔助工程
computer aided manufacturing,電腦輔助製造
computer-aided design,電腦輔助設計
computer-aided engineering,電腦輔助工程
computer-aided manufacturing,電腦輔助製造
concave,凹面
concept sketch,概念草圖
Conceptual Design Curriculum,概念設計課程
conceptual model,概念模型
confidentiality,保密
conflict of interest,利益衝突
construction documentation,施工圖
construction management,營造管理
construction manager,營造經理
construction professional,營造專業人士
consultant,顧問
consulting service order licensing implementation,諮詢服務訂單授權實作
consulting system integrator partner,諮詢系統整合廠商合作夥伴方案
consumable,消耗品
consumer product,消費性產品
consumer product manufacturer,消費性產品製造商
contact ID,聯絡人識別碼
Contact Us,聯絡我們
content source,內容來源
contextual tab,關聯式頁籤
Contract Administration,合約管理
Contract Manager,合約管理員
contractor,承包商
controller cap,控制帽
Co-Op Funds,Co-Op 基金
coordinate space,座標空間
copy block,複本圖塊
copy deck,文稿
Core features include,核心功能
counterfeit,仿冒
Country Marketing Manager,國家/地區行銷經理
Country Sales Manager,國家/地區銷售經理
coverage report,範圍報告
CPM,CPM
Create with Vision,以願景引領創新
CRM,CRM
crossgrade,跨平台升級
cross-grade,跨平台升級
CSAT,CSAT
CSI,CSI
CSO,CSO
CTA,CTA
CTO,CTO
cuboid,立方體
Curricula,課程
Customer Care,客戶關懷
Customer Gallery,客戶庫
Customer Involvement Program,客戶參與方案
customer relationship management,客戶關係管理
Customer Reviews,客戶評論
Customer Showcase,客戶展示
Customer Stories,客戶案例
Customer Success Stories,客戶成功案例
customer with a maintenance plan,擁有維護方案 (maintenance plan) 的客戶
CVC,CVC
DAM,DAM
data acquisition,資料取得
data portability,資料可攜性
data protection,資料保護
data silo,資料孤島
DCS,DCS
Dear Customer,親愛的客戶
decision support tool,決策支援工具
defense,國防
deliverable,交付內容
demand generation,需求產生
Demand More,需要更多
demo,展示
demo video,展示影片
demo vignette,展示小圖案
Demonstration,展示
deploy,部署
deployment,部署
design automation strategy,設計自動化策略
Design Basics Curriculum,設計基礎課程
design charrette,設計專家研討會
design firm,設計公司
design for assembly,針對組合設計
design innovation,設計創新
design intent,設計意圖
Design Process Review,設計流程審閱
design validation,設計驗證
design visualization,設計視覺化
designer,設計師
Designers Accord,Designers Accord
detailer,細部設計員
detention area,蓄水區
development partner,開發合作夥伴
Digital Asset Management,數位資產管理
digital entertainment creation,數位娛樂創作
digital modeling,數位模型製作
digital prototyping,數位原型製作
Digital Prototyping Days,數位原型製作天數
digital visual interface,數位視覺介面
direct partner,直接合作夥伴
Direct Value Added Reseller,直接加值經銷商
director of strategic research,策略研究主管
disciplinary action,紀律處分
discussion forum,論壇
discussion group,討論群組
displacement mapping,位移貼圖
distributed control system,分散式控制系統
distributed license server,分散式授權伺服器
documentation,說明書
DPR,DPR
drafter,製圖師
drafting software,製圖軟體
Dropbox,Dropbox
duct,管道
DVAR,DVAR
DVI,DVI
DWG Extreme,DWG Extreme
DWGX,DWGX
Eagle,Eagle
earlier version,舊版
eBook,電子書
e-book,電子書
eco design,生態設計
EDT,EDT
Education reseller,教育經銷商
Education Version,教育版
educational version,教育版
eLearning,電子學習
e-Learning,電子學習
eLearning Catalog,電子學習目錄
e-Learning Catalog,電子學習目錄
electronic software distribution,電子軟體分發
eligibility matrix,資格對照表
eligible,合格
eligible product,合格產品
embargo,禁運
EMC Tier 5 system,EMC 5 層系統
EMS,EMS
end user,終端使用者
end-user,終端使用者
energy efficiency,能源效率
energy generation,發電
energy load,能量荷載
energy retrofit,能源修整
energy savings performance contract,能源節省效能合約
energy service company,能源服務公司
Energy Star,能源之星
energy use intensity,能源使用密度
eNewsletter,電子報
engineer,工程師
engineering data,工程資料
Engineering Exploration Workshop,工程探索研討會
Engineer-to-Order,依訂單設計
Engineer-to-Order Adoption and Change Management Services,依訂單設計採用與變更管理服務
Engineer-to-Order Implementation and Integration Services,依訂單設計實作與整合服務
Engineer-to-Order Strategy Services,依訂單設計策略服務
Enhanced KB,加強 KB
entitlement,權利
entitlement certificate,權利證書
environment,環境
Environmental Design and Technology Curriculum,環境設計與技術課程
environmental impact statement,環境影響聲明
environmental management system,環保管理系統
ESCO,ESCO
ESD,ESD
ESPC,ESPC
ethical behavior,道德行為
ETO,ETO
EUI,EUI
Event Publisher,活動發佈器
event toolkit,事件工具套件
Executive Vice President of Sales and Services,銷售與服務部執行副總裁
Expand the Base,展開基準
explicit control,明確控制
Explore Features,探索功能
Express Service ID,快速服務 ID
Extended Support Hours,延伸支援時間
Extra Territory Rights,境外使用權
fabrication,建造
Facebook,Facebook
facilities management,設施管理
factory layout,Factory 配置
FBIK,FBIK
FCS,FCS
Feature Comparison,功能比較
feature demonstration,功能展示
Feature Demos,功能展示
feature set,功能集
Features,功能
Features and Benefits,功能及權益
Features and Demonstrations,功能與展示
Features and Functions,特徵與功能
Features and Specifications,功能與規格
FEED,FEED
field management,現場管理
field marketing,現場行銷
file vaulting,檔案異地儲存
filling plant,填料工廠
film & TV,影視
"film, games and television",電影、遊戲與電視業
financial report,財務報告
financing,財務
fire protection,防火
firmware,韌體
first customer shipment,首次出貨
flange,凸緣
Flex token,Flex 令牌
"flexibility, customizable based on need, scalability",彈性、可根據需求進行自訂、可擴充性
flexible license terms,彈性授權期限
flexible licensing rights,彈性授權權利
flexible licensing terms,彈性授權期限
Flickr,Flickr
floating window,浮動視窗
flyout,圖示列
fly-out,圖示列
Follow Autodesk,關注 Autodesk
FoMT,FoMT
free student software,免費學生軟體
Free Trial,免費試用版
free trial version,免費試用版
frequently asked questions,常見問題
front-end engineering design,前端工程設計
full system commercial,完整系統商業版
functionality matrix,功能對照表
fund management,基金管理
fund request,資金申請
Fundamentals of Architectural Science Supplement Curriculum,建築科學補充基本原則課程
gallery,庫
GD&T symbol,GD&T 符號
genuine AutoCAD,正版 AutoCAD
geographical information system,地理資訊系統
geometric dimensioning and tolerancing symbol,幾何標註和公差符號
Georgia,喬治亞共和國
geospatial,地理空間
geotechnical,地理技術
GEP,GEP
Get Current,取得最新版
Get more in a suite,透過套件取得更多
GF,GF
GIS,GIS
GIS integration,GIS 整合
global channel branding program,全球通路品牌計劃
global channel co-branding program,全球通路聯合品牌計劃
global product launch,全球產品發佈
Global Travel Rights,全球差旅使用授權
Golden Funnel,Golden Funnel
Google Play,Google Play
Government Affairs Policy,政府事務政策
government entity,政府機關
government official,政府官員
GPU,GPU
graphics processing unit,圖形處理器
gray-boxing,灰色方塊
Green Literacy and Architectural Design Curriculum,綠色素養與建築設計課程
Growth Funds,成長基金
guardian consent,監護人同意
guidance,指導意見
hard bundle,硬性搭售套件
hardscape,硬景觀
hardware-agnostic shader,不依賴於硬體的描影程式
hashtag,# 標籤
Have a Reseller Contact Me,請經銷商與我聯絡
Have Autodesk Call You,讓 Autodesk 致電您
Have Autodesk contact you,請 Autodesk 與您聯絡
HDMI cable,HDMI 纜線
HDRI,HDRI
head loss,頭損耗
headshot,頭部攝影
Heads-up Design,Heads-up Design
health check,健全狀態檢查
"heating, ventilation and air conditioning",供暖、通風和空調
hero image,主視覺
hero product,主導產品
high dynamic range imaging,高動態範圍影像
high speed machining,高速加工
high-level shader language,高階描影程式語言
HLSL,HLSL
hobbing machine,滾銑機
holidays,假日
home page,首頁
Home Premium,Home Premium
Home Use,居家使用
Home Use Rights,居家使用權
homepage,首頁
honing machine,搪光機
horizontal ribbon,水平功能區
Hot Fix,Hot Fix
Hotfix,Hotfix
HSM,HSM
hyperthreading,超執行緒
IAQ,IAQ
IC,IC
i-drop,i-drop
IFC,IFC
Image courtesy of,影像由…授權使用
imagery,影像
Imagine design create,想像 設計 創造
incident,問題事件
incremental product enhancement,增加的產品增強功能
independent software vendor,獨立軟體廠商
Indie game maker,獨立遊戲製作者
indirect partner,間接合作夥伴
indirect value added reseller,非直接加值經銷商
individual product,非套件產品
indoor air quality,室內空氣品質
industrial design,工業設計
Industrial Design and Visualization Specialization,工業設計與視覺化專業化
industrial designer,工業設計師
industrial machinery,工業機器
Industries,產業
Industry News,產業新聞
Industry Trends,產業趨勢
InfoCenter,資訊中心
infrastructure planning,基礎建設規劃
Infrastructure Solutions Division,基礎架構解決方案部門
in-product subscription access,產品內固定期限的使用授權存取權
inquiry,詢問
insider trading,內線交易
Insights,見解
install guide,安裝指南
Install Now Help,立即安裝說明
Installation and Licensing Help,安裝與授權說明
installation guide,安裝指南
Installation Help,安裝說明
installation wizard,安裝精靈
Instructables,Instructables
instructor guide,教師手冊
intangible asset,無形資產
integrated project delivery,整合式專案遞送
intellectual property,智慧財產權
Interactive Overview,互動式概述
interactive PDF,互動式 PDF
inter-disciplinary check,跨學科檢查
International Organization for Standardization,國際標準化組織
Internet,網際網路
interoperability,互通性
Inventor Education Curriculum,Inventor 教育版課程
Investor Relations,投資方關係
IPD,IPD
iPDF,iPDF
ISV,ISV
item numbering,料件編號
IVAR,IVAR
Job Search,工作搜尋
Keep Me Signed In,讓我保持登入狀態
Key Benefits,主要權益
Key Features,主要功能
Key Message,主要訊息
key performance indicator,關鍵績效指標
key selling point,主要賣點
kicker text,加強文本
Knowledge Base,知識庫
