source,target
1-year subscription,einjähriges Abonnement
30-day trial,30-Tage-Testversion
3D,3D
3D printer,3D-Drucker
3D printing,3D-Druck
3ds Max,3ds Max
3ds Max Design,3ds Max Design
A360,A360
A360 Rendering,A360 Rendering
A360 Team,A360 Team
About Us,Unternehmen
ACC,ACC
acceleration,Beschleunigung
Account Management,Kontoverwaltung
ACE,ACE
ACI,ACI
Activate & Register,Aktivieren und registrieren
activation code,Aktivierungscode
Activation Limit Reached,Aktivierungslimit erreicht
activation scenario,Aktivierungsszenario
active contract,aktiver Vertrag
Active Directory,Active Directory
active rental plan,gültige Mietlizenz
activity feed,Aktivitäts-Feed
Activity Monitor,Activity Monitor
Add new payment method,Neue Zahlungsmethode hinzufügen
add-in,Add-In
additive manufacturing,additive Fertigung
add-on,Add-On
ADI,ADI
AdLM,AdLM
Administrative Tools,Verwaltungstools
ADN,ADN
ADP,ADP
Advance Concrete,Advance Concrete
Advance Steel,Advance Steel
Advanced Illuminance,Advanced Illuminance
advertise,anzeigen
AEC,AEC
AEC Collection,AEC Collection
aerospace,Luft- und Raumfahrt
alert,Warnmeldung
Alias AutoStudio,Alias AutoStudio
Alias Concept,Alias Concept
Alias Design,Alias Design
Alias SpeedForm,Alias SpeedForm
Alias Surface,Alias Surface
Aligned Marketing Program,Aligned Marketing Program
alpha channel,Alpha-Kanal
Alternative Distribution Methods,Alternative Verteilungsmethoden
ambient color,Umgebungsfarbe
ambient occlusion,Umgebungsokklusion
ambient temperature,Umgebungstemperatur
amendment,Änderung
American Institute of Architects,American Institute of Architects
AMP,AMP
anchor,Anker
anchor point,Ankerpunkt
angle,Winkel
angle constraint,Abhängigkeit Winkel
annealing,Glühen
Announcements,Ankündigungen
Ansys Mechanical,Ansys Mechanical
anti-boycott,Anti-Boykott-
anti-corruption,Bestechungsbekämpfung
anxiety question,Evaluierungsfragen
AOTC,AOTC
API,API
App Store,App Store
app store end user license agreement,App-Store-Endbenutzerlizenzvertrag
AppFrame,AppFrame
APPID,APPID
Apple App Store,Apple App Store
Application Engineer,Anwendungsingenieur
application ID,Anwendungs-ID
Application Programming Interface,Programmierschnittstelle
aPriori,aPriori
ArcGIS,ArcGIS
Architect's Supplemental Instruction,Ergänzende Anweisungen des Architekten
Architectural Supplemental Instructions,Ergänzende Anweisungen des Architekten
"Architecture, Engineering & Construction Collection","Architecture, Engineering & Construction Collection"
"architecture, engineering and construction","Architektur, Ingenieur- und Bauwesen"
array,Reihe
ASIs,Ergänzende Anweisungen des Architekten (ASI)
Ask Autodesk,Fragen Sie Autodesk
ASM,ASM
aspect ratio,Seitenverhältnis
assembly,Baugruppe
asset,Objekt
ATC,ATC
ATC Agreement,ATC-Vereinbarung
ATC Global Program Guide,globaler ATC-Programmleitfaden
ATC Locator,ATC-Suche
ATC Online Evaluation System,Online-Bewertungssystem für ATC
ATC Site Enrolment and Business Plan Form,Formular für Austragungsortregistrierung und Geschäftsplan (ATC)
attach rate,Abschlüsse
AU,AU
AU Virtual,AU Virtual
AUGI,AUGI
authentication,Authentifizierung
authorized academic partner,autorisierte akademische Partner
authorized partner,Fachhändler
authorized reseller,Fachhändler
AutoCAD,AutoCAD
AutoCAD 2019 Add-In,AutoCAD 2019 Add-In
AutoCAD 360,AutoCAD 360
AutoCAD Architecture 2019 Add-In,AutoCAD Architecture 2019 Add-In
