source,target
1-year subscription,1 éves előfizetés
30-day trial,30 napos próbaverzió
3D,3D
3D printing,3D nyomtatás
Accelerate Better Design,Jobb tervek gyorsabban
ACE,ACE
ACI,ACI
activation code,Aktiválási kód
active rental plan,aktív bérleti konstrukció
add-in,bővítmény
additive manufacturing,additív gyártás
ADI,ADI
AdLM,AdLM
ADN,ADN
ADP,ADP
Advance Concrete,Advance Concrete
Advance Steel,Advance Steel
advertise,hirdet
Aligned Marketing Program,felülvizsgált marketingprogram
alpha channel,alfa csatorna
ambient color,szórt szín
ambient temperature,környezeti hőmérséklet
American Institute of Architects,American Institute of Architects (Amerikai Építészek Intézete)
anchor,horgony
anchor point,horgonypont
angle,szög
angle constraint,szögkényszer
Announcements,Hirdetmények
anti-aliasing,élsimítás
anxiety question,problémafeltáró kérdés
API,API
App Store,App Store
AppFrame,AppFrame
APPID,APPID
Application Engineer,Alkalmazásmérnök
application ID,alkalmazásazonosító
Application Programming Interface,alkalmazásprogramozási felület
Architect's Supplemental Instruction,építészeti kiegészítő utasítás
Architectural Supplemental Instructions,építészeti kiegészítő utasítások
"Architecture, Engineering & Construction Collection","Architecture, Engineering & Construction Collection"
"architecture, engineering and construction","építészet, tervezés és kivitelezés"
Ask Autodesk,Kérdezze az Autodesket
ASM,ASM
aspect ratio,szélesség/magasság arány
assembly,összeállítás
asset,eszköz
ATC,ATC
ATC Agreement,ATC-megállapodás
ATC Global Program Guide,ATC globális programútmutató
ATC Locator,ATC-kereső
ATC Online Evaluation System,ATC online értékelési rendszer
ATC Site Enrolment and Business Plan Form,ATC-helyszín regisztrációjára és üzleti terv benyújtására szolgáló űrlap
attach rate,előfizetési arány
AU Virtual,Virtuális Autodesk Egyetem
AUGI,AUGI
authorized partner,hivatalos partner
AutoCorrect,AutoCorrect
Autodesk Advanced Support,Autodesk Advanced Support
Autodesk Animation Academy,Autodesk Animációs Akadémia
Autodesk assessment test,Autodesk felkészülési teszt
Autodesk Asset Locator,Autodesk Asset Locator
Autodesk authorized reseller,Hivatalos Autodesk-forgalmazó
Autodesk Authorized Training Center,Hivatalos Autodesk Oktatóközpont
Autodesk Backburner,Autodesk Backburner
Autodesk Basic Support,Autodesk Basic Support
Autodesk BIM and Beam Blog,Autodesk BIM and Beam blog
"Autodesk BIM for Architecture, Engineering and Construction Management Curriculum","Autodesk BIM-tananyag az építészeti, mérnöki és kivitelezési menedzsmenthez"
Autodesk BIM Transformation Services,Autodesk BIM-áttérési szolgáltatások
Autodesk Bronze reseller,Bronz fokozatú Autodesk-forgalmazó
Autodesk Building Engineering Playbook,Autodesk-útmutató az építőipar területén dolgozó mérnököknek
Autodesk Building YouTube Channel,Autodesk építőipari YouTube-csatornája
Autodesk Business Center,Autodesk-üzletközpont
Autodesk Business Value Methodology,Autodesk üzleti értéket meghatározó módszertana
Autodesk carbon footprint,Autodesk szén-dioxid-lábnyoma
Autodesk Certification,Autodesk-minősítés
Autodesk Certification Training,Autodesk-minősítési képzések
Autodesk Certified Professional,Képesített Autodesk-szakértők
Autodesk Certified User program,Minősített Autodesk-felhasználók programja
Autodesk Channel Branding Guidelines,Autodesk értékesítési márkahasználati irányelvei
Autodesk Channel Sales Manager,Autodesk értékesítési vezetője
Autodesk Channel Team,Autodesk értékesítési csapata
Autodesk Classroom Training,Osztálytermi Autodesk-képzések
Autodesk Clean Tech Partner Program,Autodesk Clean Tech partnerprogram
