source,target
1-year subscription,langganan 1 tahun
30-day trial,uji coba 30 hari
3D,3D
3D printer,Pencetak 3D
3D printing,Pencetakan 3D
3ds Max,3ds Max
3ds Max Design,Desain 3ds Max
A360,A360
A360 Rendering,Rendering A360
A360 Team,A360 Team
ACC,ACC
acceleration,akselerasi
Account Management,Manajemen Akun
ACE,ACE
ACI,ACI
activation code,kode aktivasi
activation scenario,skenario aktivasi
active contract,kontrak aktif
Active Directory,Direktori Aktif
active rental plan,paket sewa aktif
activity feed,umpan aktivitas
Activity Monitor,Monitor Aktivitas
add-in,add-in
additive manufacturing,manufaktur aditif
add-on,tambahan
ADI,ADI
AdLM,AdLM
Administrative Tools,Alat Administratif
ADN,ADN
ADP,ADP
Advance Concrete,Advance Concrete
Advance Steel,Advance Steel
Advanced Illuminance,Iluminasi Tingkat Lanjut
AEC,MEA
AEC Collection,Koleksi MEA
aerospace,dirgantara
Alias AutoStudio,Alias AutoStudio
Alias Concept,Alias Concept
Alias Design,Alias Design
Alias SpeedForm,Alias SpeedForm
Alias Surface,Alias Surface
Aligned Marketing Program,Program Pemasaran Selaras
alpha channel,saluran alfa
Alternative Distribution Methods,Metode Distribusi Alternatif
ambient color,warna sekitar
ambient occlusion,oklusi sekitar
ambient temperature,suhu sekitar
amendment,amandemen
American Institute of Architects,American Institute of Architects
AMP,AMP
anchor point,titik jangkar
angle,sudut
angle constraint,batasan sudut
annealing,anil
Ansys Mechanical,Ansys Mechanical
anti-boycott,antiboikot
anti-corruption,antikorupsi
anxiety question,pertanyaan kecemasan
AOTC,AOTC
API,API
App Store,App Store
app store end user license agreement,perjanjian lisensi pengguna akhir app store
AppFrame,AppFrame
APPID,APPID
Apple App Store,Apple App Store
Application Engineer,Perekayasa Aplikasi
application ID,ID aplikasi
Application Programming Interface,Antarmuka Pemrograman Aplikasi
aPriori,aPriori
ArcGIS,ArcGIS
Architect's Supplemental Instruction,Petunjuk Tambahan Arsitek
Architectural Supplemental Instructions,Petunjuk Tambahan Arsitektur
"Architecture, Engineering & Construction Collection","Koleksi Arsitektur, Teknik & Konstruksi"
"architecture, engineering and construction","arsitektur, teknik dan konstruksi"
array,array
ASIs,ASI
ASM,ASM
aspect ratio,rasio aspek
assembly,perakitan
asset,aset
ATC,ATC
ATC Agreement,Perjanjian ATC
ATC Global Program Guide,Panduan Program Global ATC
ATC Locator,Pencari Lokasi ATC
ATC Online Evaluation System,Sistem Evaluasi Online ATC
ATC Site Enrolment and Business Plan Form,Formulir Pendaftaran Lokasi dan Rencana Bisnis ATC
attach rate,lampirkan tarif
AU,AU
AU Virtual,AU Virtual
AUGI,AUGI
authentication,autentikasi
authorized academic partner,mitra akademik resmi
authorized partner,mitra resmi
authorized reseller,pengecer resmi
AutoCAD,AutoCAD
AutoCAD 2019 Add-In,Add-In AutoCAD 2019
AutoCAD 360,AutoCAD 360
AutoCAD Architecture 2019 Add-In,Add-In AutoCAD Architecture 2019
AutoCAD Civil 3 D 2019 Add-In,Add-In AutoCAD Civil 3 D 2019
AutoCAD Civil 3D,AutoCAD Civil 3D
AutoCAD DXF,AutoCAD DXF
AutoCAD Electrical,AutoCAD Electrical
AutoCAD Electrical 2019 Add-In,Add-In AutoCAD Electrical 2019
AutoCAD Electrical Turing Beta,AutoCAD Electrical Turing Beta
AutoCAD for Mac,AutoCAD for Mac
AutoCAD including specialized toolsets,AutoCAD termasuk set alat khusus
AutoCAD Inventor LT Suite,AutoCAD Inventor LT Suite
AutoCAD LT,AutoCAD LT
AutoCAD LT 2019 Add-In,Add-In AutoCAD LT 2019
AutoCAD LT for Mac,AutoCAD LT for Mac
AutoCAD Map 2019 Add-In,Add-In AutoCAD Map 2019
