source,target
1-year subscription,assinatura de um ano
30-day trial,versão de 30 dias de avaliação
3D,3D
3D printer,impressora 3D
3D printing,impressão 3D
Accelerate Better Design,Projetos melhores e mais rápidos
acceleration,aceleração
Account Management,Gerenciamento de conta
ACE,ACE
ACI,ACI
Activate & Register,Ativar e registrar
activation code,código de ativação
Activation Limit Reached,Limite de ativações atingido
activation scenario,cenário de ativação
active contract,contrato ativo
Active Directory,Active Directory
active rental plan,plano de locação ativo
activity feed,feed de atividades
Activity Monitor,Monitor de atividade
Add new payment method,Adicionar novo método de pagamento
add-in,complemento
additive manufacturing,fabricação aditiva
add-on,complemento
ADI,ADI
AdLM,AdLM
Administrative Tools,Ferramentas administrativas
ADN,ADN
ADP,ADP
Advance Concrete,Advance Concrete
Advance Steel,Advance Steel
Advanced Illuminance,Iluminância avançada
advertise,anunciar
AEC,AEC
AEC Collection,AEC Collection
aerospace,aeroespacial
ALC,ALC
Aligned Marketing Program,Programa de Marketing Alinhado
alpha channel,canal alfa
Alternative Distribution Methods,Métodos de distribuição alternativos
ambient color,cor ambiente
ambient occlusion,oclusão de ambiente
ambient temperature,temperatura ambiente
amendment,alteração
American Institute of Architects,American Institute of Architects
anchor,âncora
anchor point,ponto de âncora
angle,ângulo
angle constraint,restrição de ângulo
annealing,recozimento
Announcements,Anúncios
anti-aliasing,suavização de serrilhado
anti-boycott,antiboicote
anti-corruption,anticorrupção
anxiety question,perguntas de sondagem
AOTC,AOTC
API,API
App Store,App Store
app store end user license agreement,Contrato de Licença de Usuário Final da App Store
AppFrame,AppFrame
APPID,APPID
Apple App Store,Apple App Store
Application Engineer,engenheiro de aplicativo
application ID,ID do aplicativo
Application Programming Interface,Interface de programação de aplicativos
Architectural Supplemental Instructions,Instruções arquitetônicas complementais
"Architecture, Engineering & Construction Collection","Architecture, Engineering & Construction Collection"
"architecture, engineering and construction","Arquitetura, engenharia e construção"
array,matriz
ASIs,ASIs
Ask Autodesk,Pergunte à Autodesk
ASM,ASM
aspect ratio,proporção
assembly,montagem
asset,recurso
ATC,ATC
ATC Agreement,Contrato com ATCs
ATC Global Program Guide,ATC Global Program Guide
ATC Locator,Localizador de ATC
ATC Online Evaluation System,Sistema de avaliação on-line ATC
ATC Site Enrolment and Business Plan Form,Formulário de inscrição no site do ATC e do plano de negócios
attach rate,índices de novas assinaturas
AU,AU
AU Virtual,AU Virtual
AUGI,AUGI
authentication,autenticação
