source,target
3D Packing,التغليف ثلاثي الأبعاد
3D Print,طباعة ثلاثية الأبعاد
abrasive flow rate,معدل تدفق المادة الكاشطة
adaptive clearing,التصفية التكيفية
adaptive refinement,التنقيح التكيفي
additive manufacturing simulation,محاكاة التصنيع الإضافي
additive technology,تقنية التصنيع الإضافي
admin,مسؤول
administrator,المسؤول
advanced simulation study,دراسة المحاكاة المتقدمة
air convection,الحمل الحراري الهوائي
air trap,شرك الفقاعات الهوائية
Alias,Alias
aligned section view,عرض مقطع محاذي
alignment,محاذاة
all-around symbol,رمز شامل
allowance,هامش التصميم
alternate unit,الوحدة البديلة
AM,التصنيع الإضافي
analysis time,وقت التحليل
analytical surface,السطح التحليلي
angular global load,الحمل الزاوي العام
angular speed,السرعة الزاويّة
angular velocity,سرعة الدوران المحورية
angularity,الانحراف الزاوي
animation footage,المواد الخام للرسوم المتحركة
annotation,تعليق
application,التطبيق
arc,قوس
assembly constraint,قيود التجميع
assembly pattern,نمط التجميع
asset library,مكتبة الأصول
associative PCB,لوحة الدوائر المطبوعة الترابطية
auto-draw tool,أداة الرسم التلقائي
Autodesk Human Interface Guidelines,إرشادات واجهة المستخدم من Autodesk
Autodesk Partner,شريك Autodesk
Autodesk Projects,مشروعات Autodesk
Autodesk Vault Professional edition,الإصدار الاحترافي من Autodesk Vault
automatic face chain,السلسلة التلقائية للوجوه
automatic feature recognition,التعرف التلقائي على الميزات
automatic ordering,الترتيب التلقائي
automatic routing,التوجيه التلقائي
automatic tool changer capacity,سعة أداة التغيير التلقائي
automatic verification,التحقق التلقائي
auxiliary view,العرض المساعد
axis,المحور
axle,عمود الدوران
B axis,محور B
background processing,المعالجة في الخلفية
ball mill,طاحونة الكرات
ball nosed tool,أداة ذات رأس كروي
ball screw,محول الحركة الدقيق
barrel tool,أداة التشطيب الذكية
base body,الهيكل الرئيسي
base face,السطح الرئيسي
base flange,الحافة الرئيسية
base point,نقطة الأساس
baud rate,سرعة نقل الإشارات في الاتصال
bead width,عرض الترسيب
beam detail,تفاصيل العوارض
Belleville spring,زنبرك Belleville
bend relief override,تجاوز تخفيف الانحناء
bent tubing route,مسار الأنابيب المنحنية
bill of materials,قائمة المواد
biocompatible material,المواد الحيوية المتوافقة
blend surface,سطح الدمج
blisk,القرص المدمج مع الشفرات
board outline,مخطط اللوحة
body load,حمل الهيكل
body thickness,سماكة الهيكل
body type,نوع الهيكل
BOM grid,شبكة قائمة المواد (BOM)
BOM Object,كائن قائمة المواد (BOM)
boring bar,أداة توسيع وتجويف الفتحات
boss feature,ميزة رفع أو تثبيت المحاور
boundary,الحد
boundary patch,رقعة الحدود
bouquet,باقة
bowtie,مقبض لتعديل انحناءات الخطوط
box display,عرض الإطار
braking torque,عزم الفرامل
branch connection,توصيل فرع
brush,فرشاة
buckling,الانبعاج
build preparation software,برنامج إعداد النماذج للطباعة
bulk load,تحميل مُجمع للبيانات
bulk modulus,معامل الحجم
bump,بروز
bump map,تخطيط البروز
bump mapping,مخطط البروز
burn mark,علامة حرق
burn region,منطقة الحرق
C axis,محور C
cable tray,مجرى الكابلات
calibration,معايرة
callout style,نمط التنبيه
canned cycle,الدورة المعلبة
canvas,اللوحة القماشية
cap filleting,تنعيم الحواف بالتغطية
carrier,الناقل
cascade water junction,وصلة مياه الشلال
cel shading,التظليل الخلوي
center line,خط المنتصف
center pin,دبوس المنتصف
centre point,نقطة المنتصف
centric axis,المحور المركزي
chain dimension,بُعد السلسلة
chain selection,اختيار السلسلة
chaining,التسلسل
chamfer tool,أداة الشطف
chamfering tools,أدوات الشطف
change order,أمر التغيير
chip formation,تكوين الرقائق
chuck jaws,فكوك المخرطة
circlip,حلقة قفل
circular pitch,خطوة دائرية
circular tapered gate,البوابة المخروطية الدائرية
circumferential speed,السرعة المحيطية
CLDATA,CLDATA
clearance value,قيمة الخلوص
clip planes,مستويات القص
closed edge,حافة مغلقة
closed return bend,منحنى رجوع مغلق
cloud credit balance,رصيد أرصدة السحابة
cloud credit task,مهمة أرصدة السحابة
cloud data,بيانات السحابة
CNC controller,وحدة تحكم التحكم الرقمي بالحاسوب
co-injection molding,قولبة الحقن المشترك
coarsening generations,أجيال التخشين
coating,الطلاء
code snippet,مقتطف الكود
codebase,قاعدة الكود
coincident constraint,القيد المتطابق
cold slug,البقايا الباردة
collet,ملزمة التثبيت
collision,الاصطدام
collision avoidance,تجنب الاصطدام
collision avoidance parameters,معلمات تجنب الاصطدام
collision free link path,مسار الربط الخالي من الاصطدام
colored confetti,الوريقات الملونة
colorization options,خيارات التلوين
colour palette,لوحة الألوان
command window,نافذة الأوامر
Common Core,المعايير الأساسية المشتركة
common material,المادة المشتركة
component,مكون
component placement,موضع المكوّن
component visibility,رؤية المكوّن
composite curve,المنحنى المركب
compound hole,الثقب المركب
computenode,عقدة الحساب
concentricity,التركيز
conduit,أنبوب
cone,المخروط
Configuration Administrator,مسؤول التكوين
connected workgroup,مجموعة العمل المتصلة
connector,الموصل
connector pin,سن التوصيل
constant-radius fillet,وصلة مستديرة ثابتة القطر
constrained object,كائن مقيّد
constraint,قيد
