source,target
1-year subscription,年度固定期限的使用许可
3D Packing,三维打包
3D Print,3D 打印
A360,A360
A360 Rendering,A360 Rendering
A360 Team,A360 Team
ABF,ABF
abrasive flow rate,磨粒流动速率
acceleration structure,加速结构
Accept,接受
action modifier button,“操作修改器”按钮
adaptive clearing,自适应清洁
adaptive refinement,自适应优化
additive manufacturing simulation,增材制造仿真
additive technology,增材制造技术
admin,管理员
administrator,管理员
adult Tinkercad account,成人 Tinkercad 帐户
AFR,自动特征识别
air trap,气穴
Alias,Alias
Alias AutoStudio,Alias AutoStudio
Alias Concept,Alias Concept
Alias Design,Alias Design
Alias SpeedForm,Alias SpeedForm
Alias Surface,Alias Surface
alignment,对齐定位
all-around symbol,全周边符号
allowance,余量
alternate unit,换算单位
AM,增材制造
ambient occlusion,环境光遮挡
angle increment,角度增量
Angular Intensity,角强度
Angular range,角度范围
angular speed,角速度
angularity,倾斜度
animation footage,连续动画
anisotropic,各向异性
anisotropy,各向异性
annotation,注释
annular ring,环宽
Ansys Discovery,Ansys Discovery
Ansys Mechanical,Ansys Mechanical
antialiasing,抗锯齿
application,应用程序
Apply,应用
arc,圆弧
Arcam EBM,Arcam EBM
assembly constraint,装配约束
assembly pattern,部件阵列
asset library,资源库
Asset Manager,资源管理器
associative PCB,关联 PCB
ATU,ATU
auto-accept,自动接受
AutoCAD 2019 Add-In,AutoCAD 2019 Add-In
AutoCAD 360,AutoCAD 360
AutoCAD Architecture 2019 Add-In,AutoCAD Architecture 2019 Add-In
AutoCAD Civil 3 D 2019 Add-In,AutoCAD Civil 3 D 2019 Add-In
AutoCAD DXF,AutoCAD DXF
AutoCAD Electrical 2019 Add-In,AutoCAD Electrical 2019 Add-In
AutoCAD Inventor LT Suite,AutoCAD Inventor LT Suite
AutoCAD LT 2019 Add-In,AutoCAD LT 2019 Add-In
AutoCAD Map 2019 Add-In,AutoCAD Map 2019 Add-In
AutoCAD Mechanical 2019 Add-In,AutoCAD Mechanical 2019 Add-In
AutoCAD MEP 2019 Add-In,AutoCAD MEP 2019 Add-In
AutoCAD Plant 3 D 2019 Add-In,AutoCAD Plant 3 D 2019 Add-In
AutoCAD Structural Detailing 2019 Add-In,AutoCAD Structural Detailing 2019 Add-In
AutoCAD Utility Design 2019 Add-In,AutoCAD Utility Design 2019 Add-In
Autodesk Desktop Connector,Autodesk Desktop Connector
Autodesk Flex,Autodesk Flex
Autodesk Forge,Autodesk Forge
Autodesk Inventor 2019 Add-In,Autodesk Inventor 2019 Add-In
Autodesk Inventor LT 2019 Add-In,Autodesk Inventor LT 2019 Add-In
Autodesk Inventor Mentor,Autodesk Inventor Mentor
Autodesk Job Processor,Autodesk Job Processor
Autodesk Manufacturing Community Portal,Autodesk 制造业社区门户
Autodesk Partner,Autodesk 合作伙伴
Autodesk Prodsmart,Autodesk Prodsmart
Autodesk Projects,Autodesk 项目
Autodesk Revit 2019 Add-In,Autodesk Revit 2019 Add-In
Autodesk Vault Office Client,Autodesk Vault Office Client
Autodesk Vault Professional edition,Autodesk Vault Professional 版本
auto-draw tool,自动绘制刀具
automatic face chain,自动链选面
automatic feature recognition,自动特征识别
automatic ordering,自动排序
automatic routing,自动布线
automatic verification,自动检查
auxiliary view,辅助视图
axis,轴
axle,轴
B axis,B 轴
background processing,后台处理
bake settings,烘焙设置
ball nosed tool,球头刀
ball screw,滚珠螺杆
barrel tool,桶形刀具
base class,基类
base flange,基础凸缘
base point,基点
Baseplate,底板
baud rate,波特率
beam detail,梁详细信息
Being Inventive,Being Inventive
Belleville spring,碟形弹簧
bend,折弯
bend radius,折弯半径
bend relief override,折弯释压替代
bent tubing route,弯管管线
bevel butt,单边 V 型坡口对接焊
BIM 360,BIM 360
BINVOX,BINVOX
biocompatible material,生物相容性材料
Blue Response Curve,蓝色响应曲线
Bluetooth Network Encapsulation Protocol,蓝牙网络封装协议
body load,体载荷
body type,实体类型
boring bar,镗孔刀杆
boss feature,凸柱特征
boundary,边界
boundary patch,边界嵌片
bounding box,边界方框
bounding shape,边界形状
bouquet,花束
bowtie,控制点
box display,方体显示
brace,支架
braking torque,制动转矩
branch connection,支管连接
BRDF,BRDF
Breakpoint,断点
brickify,拼砌
brush,画笔
brush mapping radial XY,笔刷贴图径向 XY
buckling,屈曲
build preparation software,构建准备软件
building process,成形过程
buildroom,成形室
bulk load,批量加载
bulk modulus,体积模量
bump,凹凸
bump map,凹凸贴图
bump mapping,凹凸贴图
burn mark,烧痕
C axis,C 轴
CA certificates,CA 证书
cable tray,电缆桥架
CAD surface,CAD 表面
callout style,指引线文本样式
CAM capabilities,CAM 功能
CAM programming,CAM 编程
camera collision detection,摄影机碰撞检测
camera counterclockwise,摄影机逆时针
camera turntable,摄影机转盘
cap filleting,封口圆角
cascade water junction,喷淋管
caustics,焦散
cavity,型腔
cel shading,Cel 着色
center line,中心线
center mark glyph,中心标记图示符
center pin,中心销
centreline,中心线
centric axis,中心轴
CFD,CFD
CFD Advanced,CFD Advanced
CFD Motion,CFD Motion
chain selection,链选
chamfering tools,倒角加工刀具
change Order,变更单
checkerboard texture,棋盘纹理
chip formation,切屑成型
chromaticity,色度
chrome reflection color,铬合金反射颜色
chuck,夹头
chuck jaws,夹头卡盘
circle,圆
circular pitch,周节
circular tapered gate,圆锥浇口
circumferential speed,圆周速度
clearance,间隙
clip planes,剪裁平面
clone,克隆
close flat,闭合平面
closed edge,闭合边
closed return bend,闭合 U 型弯头
cloud credit balance,云积分余额
cloud credit task,云积分任务
cloud credit usage,云积分使用量
Cloud Credits,云积分
Cloud Credits panel,“云积分”面板
CNC controller,CNC 控制器
CO,变更单
coarsening generations,粗化生成
code snippet,代码段
coincident constraint,重合约束
co-injection molding,共注塑成型
cold slug,冷料
collaboration session,协作会话
collision avoidance,碰撞避让
colour scheme,颜色配置
common material,常用材料
component,组件
component drawing,部件绘图
component library thumbnail,部件库缩略图
component placement,零部件放置
component visibility,零部件可见性
Computenode,计算节点
concentricity,同心
cone,圆锥
Configuration Administrator,配置管理员
Configurator 360,Configurator 360
connector,接头
connector pin,连接器接点
constrained object,受约束对象
constraint,约束
constraint status,约束状态
constringence,倒色散系数
construction plane,构造平面
Content Center Editor,资源中心编辑器
context break link,上下文断开链接
contour flange,异形板
control vertex hull,控制点外壳线
convergence plot,收敛图
convex,外凸
coolant,冷却液
cooling fan,冷却风扇
cooling fan part,冷却风扇零件
coplanar,共面
COPPA,COPPA
copy Design,Copy Design
core,型芯
core back,型芯背面
core pin,镶针
Corner Filleting,拐角圆倒角
