source,target
3D Print,3D tisk
Accept,Přijmout
additive technology,aditivní technologie
administrator,správce
adult Tinkercad account,účet Tinkercad pro dospělé
AFR,AFR
air trap,vzduchová kapsa
Alias,Alias
all-around symbol,značka obvodového svaru
allowance,přídavek
alternate unit,alternativní jednotky
analytical surface,analytický povrch
Angular range,úhlový rozsah
angular speed,úhlová rychlost
animation footage,stopáž animace
Apply,Použít
assembly constraint,vazby sestavy
assembly pattern,pole sestavy
asset library,knihovna položek
Autodesk Desktop Connector,Autodesk Desktop Connector
Autodesk Inventor Mentor,program Autodesk Inventor Mentor
Autodesk Manufacturing Community Portal,portál Autodesk Manufacturing Community
Autodesk Masters award,Ocenění Autodesk Masters
Autodesk Masters Program,Program Autodesk Masters
Autodesk Partner,partneři společnosti Autodesk
Autodesk Projects,Projekty Autodesk
Autodesk Vault Professional edition,edice Autodesk Vault Professional
automatic face chain,automatické řetězení ploch
automatic feature recognition,automatické rozpoznání prvku
automatic ordering,automatické řazení
automatic routing,automatické trasování
automatic verification,automatická kontrola
axis,osa
axis offset,odsazení osy
axle,osa
background processing,zpracování na pozadí
ball mill,kulová fréza
ball nosed tool,kulová fréza
ball screw,kuličkový šroub
barrel tool,soudečková fréza
base point,referenční bod
baud rate,přenosová rychlost
beam detail,detail nosníku
Belleville spring,talířová pružina
bent tubing route,trasa ohýbaných trubek
blend surface,přechodová plocha
blisk,lopatkové kolo
body load,zatížení tělesa
bore,vnitřní soustružení
boring bar,vyvrtávací tyč
boss,nálitek
boundary patch,hraniční záplata
Bounding Box,box ohraničení
braking torque,brzdný moment
branch connection,připojení větve
Break Link,Přerušit připojení
brickify,převést na cihlový model
bulk load,hromadné načtení
bump,nerovnost
bump map,mapa nerovností
bump mapping,mapování nerovností
cable tray,kabelová lávka
callout style,styl odkazu
CAM capabilities,možnosti CAM
canned cycle,pevný cyklus
canvas,kreslicí plocha
cap filleting,zaoblení zakončení
cascade water junction,kaskádový vodní spoj
caterpillar,housenka
cavity,dutina
center line,osa
center pin,středový kolík
centre point,středový bod
centric axis,středová osa
chain dimension,řetězová kóta
chain selection,výběr řetězce
chaining,spojování
chamfer,zkosení
chamfer tool,nástroj sražení
chamfering tools,nástroje zkosení
chip formation,tvorba třísek
chuck,čelist
circular pitch,obvodová rozteč
circular tapered gate,kuželový vtok
circumferential speed,obvodová rychlost
clearance,vůle
closed edge,uzavřená hrana
closed return bend,zavřený dvojitý oblouk
CNC,CNC
CO,ZP
code snippet,fragment kódu
coincident constraint,vazba totožnosti
co-injection molding,tváření společným vstřikováním
cold slug,studený bod
collision,kolize
Common Core,iniciativa Common Core
common material,společný materiál
component visibility,viditelnost komponenty
composite curve,kompozitní křivka
compound hole,složená díra
concentricity,soustřednost
conduit,vedení
Configurator 360,Configurator 360
