source,target
analytical surface,analytisk overflade
Autodesk Masters award,Autodesk Masters Award
Autodesk Masters Program,Autodesk Masters-program
Autodesk Partner,Autodesk-partner
Being Inventive,Being Inventive
blend surface,blandingsoverflade
cel shading,Celle skyggelagt
Configurator 360,Configurator 360
depth of field,feltdybde
DPI,DPI
DSS,DSS
EDM,EDM
flat shading,mat farvelægning
focal plane,fokalpunkt
free orbit,frit kredsløb
Helius Composite,Helius Composite
Helius PFA,Helius PFA
iCopy,iCopy
iFeatures,iFeatures
infer constraints,udledt begrænsning
iProperties,iProperties
language pack,sprogpakke
model translation,modeloversættelse
New Features Workshop,Workshop for nye funktioner
organic modeling,organisk modellering
planar face,planflade
Pro,Pro
sketch edge,skitse af kant
Thick Client,Thick Client
Thin Client,Thin Client
underlay,underlægning
