source,target
3D Packing,3D-Anordnung
3D Print,3D-Druck
abrasive flow rate,Schleifmittel-Durchflussrate
adaptive clearing,Adaptive Clearing
adaptive refinement,adaptive Verfeinerung
additive manufacturing simulation,additive Fertigungssimulation
additive technology,additive Technologie
admin,Admin
administrator,Administrator
advanced simulation study,erweiterte Simulationsstudie
AFR,AFE
air convection,Luftkonvektion
air trap,Lufteinschluss
Alias,Alias
aligned section view,Ausgerichtete Schnittansicht
alignment,Ausrichtung
all-around symbol,Kreissymbol
allowance,Zugabe
alternate unit,Alternativeinheit
AM,AF
analysis time,Analysezeit
analytical surface,berechnete Oberfläche
angular global load,winklige globale Last
angular speed,Winkelgeschwindigkeit
angular velocity,Winkelgeschwindigkeit
angularity,Winkligkeit
animation footage,Länge der Animation
annotation,Anmerkung
application,Anwendung
Apply,Anwenden
arc,Bogen
assembly constraint,Baugruppenabhängigkeit
assembly pattern,Baugruppenanordnung
asset library,Objektbibliothek
associative PCB,assoziative Leiterplatte
auto-accept,automatisch akzeptieren
auto-draw tool,Werkzeugdarstellung
Autodesk Human Interface Guidelines,Autodesk-Richtlinien für die Mensch-Maschine-Schnittstelle
Autodesk Partner,Autodesk-Partner
Autodesk Projects,Autodesk-Projekte
Autodesk Vault Professional edition,Autodesk Vault Professional Edition
automatic face chain,angrenzende Flächen
automatic feature recognition,automatische Feature-Erkennung
automatic ordering,automatische Anordnung
automatic routing,automatisches Routing
automatic tool changer capacity,automatische Werkzeugwechsler-Kapazität
automatic verification,automatische Überprüfung
auxetic,auxetisch
auxiliary view,Hilfsansicht
axis,Achse
axle,Achse
B axis,B-Achse
background processing,Hintergrundverarbeitung
ball mill,Kugelmühle
ball nosed tool,Kugelwerkzeug
ball screw,Kugelgewindespindel
barrel tool,Tonnenfräser
base body,Basiskörper
base face,Basisfläche
base flange,Basisflansch
base point,Basispunkt
baud rate,Baudrate
bead width,Nahtbreite
beam detail,Trägerdetail
Being Inventive,Being Inventive
Belleville spring,Tellerfeder
bend,biegen
bend relief override,Überschreiben der Biegungsfreistellung
bent tubing route,gekrümmte Rohrroute
bill of material,Stückliste
biocompatible material,biokompatibles Material
blend surface,Mischfläche
blisk,Blisk
board outline,Leiterplattenkontur
body load,Belastung des Körpers
body thickness,Körperdicke
body type,Körpertyp
BOM,Stückliste
BOM grid,Stücklistentabelle
BOM Object,Stücklistenobjekt
bore,Ausdrehen
boring bar,Bohrstange
boss feature,Insel-Element
boundary,Grenzlinie
boundary patch,Umgrenzungsfläche
bouquet,Bouquet
bowtie,Bogenführung
box display,Quaderanzeige
braking torque,Bremsmoment
branch connection,Abzweigungsverbindung
Break Link,Verknüpfung lösen
brickify,in ein Ziegelmodell verwandeln
brush,Pinsel
buckling,Knickung
build preparation software,Fertigungsvorbereitungssoftware
bulk load,Laden von großen Datenmengen
bulk modulus,Kompressionsmodul
bump,Relief
bump map,Relief-Map
bump mapping,Oberflächen-Beleuchtungseffekt
burn mark,Brandstelle
burn region,Brennbereich
C axis,C-Achse
cable tray,Kabeltrasse
calibration,Kalibrierung
callout style,Beschriftungsstil
CAM capabilities,CAM-Funktionen
CAM programming,CAM-Programmierung
canned cycle,Festzyklus
canvas,Ansichtsbereich
cap filleting,Verbindungsrunden
Carrier,Träger
cascade water junction,Kaskadenwasserverteiler
cel shading,Cel Schattierung
center line,Mittellinie
center pin,Zentrierstift
centre point,Mittelpunkt
centric axis,zentrische Achse
chain dimension,Kettenbemaßung
chain selection,Kettenauswahl
chaining,Verketten
chamfer,Fase
chamfer tool,Fasenwerkzeug
chamfering tools,Fasenwerkzeuge
change Order,Änderungsauftrag
chip formation,Spanbildung
chuck jaws,Spannbacken
circlip,Sicherungsring
circular pitch,Zahnkreisteilung
circular tapered gate,runder Anschnitt mit Entformungsschräge
circumferential speed,Umfangsgeschwindigkeit
CLDATA,CLDATA
clearance value,Abstandswert
clip planes,Schnittebenen
close flat,flach schließen
closed edge,geschlossene Kante
closed return bend,Bogen 180°
cloud credit balance,Cloud-Punkte-Guthaben
cloud credit task,Cloud-Punkte-Aufgabe
cloud data,Cloud-Daten
CMM,KMM
CNC,CNC
CNC controller,CNC-Steuerung
co-injection molding,Sandwich-Spritzgussverfahren
coarsening generations,Vergröberungsschritte
coating,Beschichtung
code snippet,Code-Ausschnitt
codebase,codebase
coincident constraint,Abhängigkeit Koinzident
cold slug,Überlauf
collet,Spannzange
Collision,Kollision
collision avoidance,Kollisionsvermeidung
collision avoidance parameters,Parameter zur Vermeidung von Kollisionen
collision free link path,kollisionsfreier Verbindungspfad
colored confetti,farbiges Konfetti
colorization options,Farbdarstellungsoptionen
colour palette,Farbpalette
command window,Befehlsfenster
Common Core,Common Core
common material,häufig verwendetes Material
component,Komponente
component placement,Komponentenplatzierung
component visibility,Komponentensichtbarkeit
composite curve,zusammengesetzte Kurve
compound hole,Verbundbohrung
Computenode,Serverknoten
concentricity,Konzentrizität
conduit,Leerrohr
cone,Kegel
Configuration Administrator,Konfigurationsadministrator
connected workgroup,verbundene Arbeitsgruppe
connector,Verbindung
connector pin,Steckeranschluss
constant,konstant
constant-radius fillet,Rundung mit konstantem Radius
constrained object,abhängiges Objekt
constraint,Abhängigkeit
constraint status,Abhängigkeitsstatus
construction plane,Konstruktionsebene
contact point,Kontaktpunkt
contact point boundary,Kontaktpunkt-Grenzlinie
Content Center Editor,Inhaltscenter-Editor
content library,Inhaltsbibliothek
contour flange,Konturlasche
control vertex,Kontrollscheitelpunkt
control vertex hull,Kontrollscheitelpunkthülle
control vertices hull,Kontrollscheitelpunkthülle
convergence plot,Konvergenz-Plot
convex,konvex
coolant,Kühlmittel
coolant options,Kühlmittel-Optionen
cooling fan part,Kühlventilator-Bauteil
cooling wizard,Kühlungsassistent
coordinate,Koordinate
coplanar,koplanar
COPPA,COPPA
copy Design,Konstruktion kopieren
Copy Design,Copy Design
core,Kern
core pin,Kernstift
Corner Filleting,Eckenverrundung
corner filleting style,Eckenverrundungsstil
corner radius,Eckradius
