source,target
3D Print,impresión en 3D
ABF,ABF
abrasive flow rate,velocidad de flujo de abrasión
Accept,Aceptar
adaptive clearing,limpieza adaptativa
adaptive refinement,refinamiento adaptativo
additive,aditiva
additive manufacturing simulation,simulación de fabricación aditiva
additive technology,tecnología aditiva
additive workflow,flujo de trabajo aditivo
administrator,administrador
AFR,RAF
air trap,atrapamiento de aire
aligned section view,vista de sección abatida
alignment,alineación
all-around symbol,símbolo sobre todo el contorno
allowance,sobreespesor
alternate unit,unidad alternativa
AM,FA
analytical surface,superficie analítica
angle increment,incremento de ángulo
angular global load,carga global angular
angular speed,velocidad angular
angularity,angularidad
animation footage,metraje de animación
annotation,anotación
annular ring,anilla anular
application,aplicación
Apply,Aplicar
arc,arco
Arcam EBM,Arcam EBM
assembly constraint,restricción de ensamblaje
assembly pattern,patrón de ensamblaje
asset library,biblioteca de objetos
associative PCB,PCB asociativa
ATU,ATU
auto-accept,auto aceptar
Autodesk Human Interface Guidelines,Directrices de la interfaz humana de Autodesk
Autodesk Inventor Mentor,Orientador de Autodesk Inventor
Autodesk Manufacturing Community Portal,Portal de Autodesk Manufacturing Community
Autodesk Masters award,premio Autodesk Masters
Autodesk Masters Program,Programa Autodesk Masters
Autodesk Partner,Distribuidor de Autodesk
Autodesk Projects,Proyectos de Autodesk
Autodesk Vault Professional edition,Autodesk Vault Professional Edition
auto-draw tool,auto dibujar herramienta
automatic face chain,cadena de caras automática
automatic feature recognition,reconocimiento automático de figuras
automatic ordering,orden automático
automatic routing,enrutamiento automático
automatic verification,verificación automática
auxiliary view,vista auxiliar
axis,eje
axis offset,desfase de ejes
axle,eje
B axis,eje B
background processing,procesamiento en segundo plano
ball mill,molino de bolas
ball nosed tool,herramienta esférica
ball screw,husillo de bolas
barrel tool,herramienta de barril
base body,cuerpo base
base class,clase base
base flange,pestaña base
base point,punto base
Baseplate,placa base
beam detail,detalle de viga
Belleville spring,arandela Beleville
bend radius,radio de plegado
bend relief override,anulación del desahogo de plegado
bent tubing route,enrutamiento de tubería curva
bill of material,lista de materiales
BINVOX,BINVOX
biocompatible material,material biocompatible
blend surface,superficie de fusión
blind hole,agujero ciego
Bluetooth Network Encapsulation Protocol,Protocolo de encapsulamiento de red Bluetooth
body load,carga de la pieza
BOM grid,cuadrícula de la lista de materiales
bool,booleano
bore,mandrinado
boundary,límite
boundary patch,superficie de contorno
bounding box,recuadro de selección
bounding shape,forma del contorno
bouquet,ramo
bowtie,controlador recto de spline
brace,riostra
braking torque,par de torsión de frenado
branch connection,conexión de ramificación
Break Link,Romper vínculo
Breakpoint,punto de interrupción
brickify,convertir en ladrillos
brush,pincel
build plate,placa de construcción
build preparation software,software de preparación para la construcción
building process,proceso de construcción
buildroom,espacio de construcción
build-time estimation,Tiempo de impresión estimado
bulk load,carga en masa
bump,relieve
bump map,mapa de relieve
bump mapping,mapa de relieve
burn mark,marca de quemadura
