source,target
analytical surface,analyyttinen pinta
Autodesk Masters award,Autodesk Masters Awards
Autodesk Masters Program,Autodesk Masters Program
Autodesk Partner,Autodesk-kumppani
blend surface,yhdistävä pinta
DPI,DPI
DSS,DSS
EDM,EDM
fillet,pyöristys
Fusion,Fusion
iCopy,iCopy
iFeatures,iFeatures
infer constraints,rajoitteen johtaminen
iProperties,iProperties
language pack,kielipaketti
new features workshop,uusien ominaisuuksien workshop
organic modeling,orgaaninen mallinnus
planar face,tasopinta
Pro,Pro
sketch edge,reunan luonnostelu
surface normal,pinnan normaalit
Thick Client,Thick Client
Thin Client,Thin Client
underlay,pohjakuva
Vault,Vault
