source,target
3D Packing,3D पैकिंग
3D Print,3D प्रिंट
abrasive flow rate,अपघर्षक प्रवाह दर
adaptive clearing,अनुकूली समाशोधन
adaptive refinement,अनुकूली परिशोधन
additive manufacturing simulation,योगात्मक विनिर्माण सिमुलेशन
additive technology,योगात्मक प्रौद्योगिकी
admin,ऐडमिन
administrator,व्यवस्थापक
advanced simulation study,उन्नत सिमुलेशन अध्ययन
AFR,AFR
air convection,वायु संवहन
air trap,हवाई जाल
Alias,Alias
aligned section view,संरेखित सेक्शन व्यू
alignment,संरेखण
all-around symbol,ऑल-अराउंड प्रतीक
allowance,भत्ता
alternate unit,वैकल्पिक युनिट
AM,AM
analysis time,विश्लेषण का समय
analytical surface,विश्लेषणात्मक सतह
angular global load,कोणीय वैश्विक भार
angular speed,कोणीय गति
angular velocity,कोणीय वेग
angularity,कोण की स्थिति
animation footage,एनीमेशन फ़ुटेज
annotation,टिप्पणी
application,ऐप्लिकेशन
arc,आर्क
assembly constraint,असेंबली बाधा
assembly pattern,असेंबली पैटर्न
asset library,असेट लाइब्रेरी
associative PCB,एसोसिएटिव PCB
auto-draw tool,ऑटो-ड्रा टूल
Autodesk Human Interface Guidelines,Autodesk मानव इंटरफ़ेस दिशानिर्देश (HIG)
Autodesk Partner,Autodesk पार्टनर
Autodesk Projects,Autodesk प्रोजेक्ट्स
Autodesk Vault Professional edition,Autodesk वॉल्ट प्रोफ़ेशनल एडिशन
automatic face chain,स्वचालित फ़ेस चेन
automatic feature recognition,स्वचालित फ़ीचर पहचान
automatic ordering,स्वचालित ऑर्डरिंग
automatic routing,स्वचालित रूटिंग
automatic tool changer capacity,स्वचालित उपकरण परिवर्तक क्षमता
automatic verification,स्वचालित सत्यापन
auxiliary view,सहायक व्यू
axis,ऐक्सिस
axle,एक्सेल
B axis,B ऐक्सिस
background processing,पृष्ठभूमि प्रसंस्करण
ball mill,बॉल मिल
ball nosed tool,बॉल नोज्ड टूल
ball screw,बॉल स्क्रू
barrel tool,बैरल टूल
base body,आधार निकाय
base face,आधार चेहरा
base flange,आधार निकला हुआ किनारा
base point,आधार बिंदु
baud rate,बॉड दर
bead width,मनके की चौड़ाई
beam detail,बीम का विवरण
Belleville spring,बेलेविल स्प्रिंग
bend relief override,बेंड रिलीफ़ ओवरराइड
bent tubing route,मुड़ा हुआ टयूबिंग रूट
bill of materials,सामग्री का बिल
biocompatible material,जैवसंगत सामग्री
blend surface,ब्लेंड सतह
blisk,ब्लिस्क
board outline,बोर्ड आउटलाइन
body load,बॉडी लोड
body thickness,बॉडी की मोटाई
body type,बॉडी का प्रकार
BOM,BOM
BOM grid,BOM ग्रिड
BOM Object,BOM Oऑब्जेक्ट
boring bar,बोरिंग बार
boss feature,बॉस फ़ीचर
boundary,सीमा
boundary patch,सीमा पैच
bouquet,पुष्प गुच्छ
bowtie,बोटी
box display,बॉक्स प्रदर्शन
braking torque,ब्रेकिंग टॉर्क
branch connection,ब्रांच कनेक्शन
brush,ब्रश
buckling,बकलिंग
build preparation software,निर्माण तैयारी सॉफ़्टवेयर
bulk load,बल्क लोड
bulk modulus,बल्क मॉड्यूल
