source,target
3D Packing,Pengemasan 3D
3D Print,Cetak 3D
abrasive flow rate,laju aliran abrasif
adaptive clearing,pembersihan adaptif
adaptive refinement,penyempurnaan adaptif
additive manufacturing simulation,simulasi manufaktur aditif
additive technology,teknologi aditif
admin,admin
administrator,administrator
advanced simulation study,studi simulasi lanjutan
AFR,AFR
air convection,konveksi udara
air trap,perangkap udara
Alias,Alias
aligned section view,tampilan bagian sejajar
alignment,penyejajaran
all-around symbol,simbol serbaguna
allowance,tunjangan
alternate unit,unit alternatif
AM,AM
analysis time,waktu analisis
analytical surface,permukaan analitik
angular global load,beban global sudut
angular speed,kecepatan sudut
angular velocity,kelajuan sudut
angularity,angularitas
animation footage,cuplikan animasi
annotation,anotasi
application,aplikasi
arc,busur
assembly constraint,batasan perakitan
assembly pattern,pola perakitan
asset library,pustaka aset
associative PCB,PCB asosiatif
auto-draw tool,alat gambar otomatis
Autodesk Human Interface Guidelines,Panduan Antarmuka Autodesk Human
Autodesk Partner,Mitra Autodesk
Autodesk Projects,Autodesk Projects
Autodesk Vault Professional edition,Autodesk Vault Professional edition
automatic face chain,rantai wajah otomatis
automatic feature recognition,pengenalan fitur otomatis
automatic ordering,pemesanan otomatis
automatic routing,perutean otomatis
automatic tool changer capacity,kapasitas pengubah alat otomatis
automatic verification,verifikasi otomatis
auxiliary view,tampilan tambahan
axis,sumbu
axle,gandar
B axis,Sumbu B
background processing,pemrosesan latar belakang
ball mill,penggiling bola
ball nosed tool,ball nosed tool
ball screw,sekrup bola
barrel tool,alat barel
base body,tubuh dasar
base face,muka dasar
base flange,flensa dasar
base point,titik dasar
baud rate,laju baud
bead width,lebar titik las
beam detail,detail balok
Belleville spring,Pegas Belleville
bend relief override,timpa relief tekuk
bent tubing route,rute pipa bengkok
bill of materials,daftar bahan
biocompatible material,bahan yang biokompatibel
blend surface,permukaan campuran
blisk,blisk
board outline,garis besar papan
body load,beban tubuh
body thickness,ketebalan tubuh
body type,tipe tubuh
BOM,BOM
BOM grid,Kisi BOM
BOM Object,Objek BOM
boring bar,batang bor
boss feature,fitur bos
boundary,batas
boundary patch,tambalan batas
bouquet,buket
bowtie,dasi kupu-kupu
box display,tampilan kotak
braking torque,torsi pengereman
branch connection,koneksi cabang
brush,kuas
buckling,tekuk
build preparation software,perangkat lunak persiapan pembuatan
bulk load,muatan curah
bulk modulus,modulus curah
bump,benjolan
bump map,peta benjolan
bump mapping,pemetaan benjolan
burn mark,tanda terbakar
burn region,wilayah terbakar
C axis,Sumbu C
cable tray,baki kabel
calibration,kalibrasi
callout style,gaya callout
CAM capabilities,Kemampuan CAM
CAM programming,Pemrograman CAM
canned cycle,siklus canned
canvas,kanvas
cap filleting,pemotongan tutup
carrier,pembawa
cascade water junction,sambungan air kaskade
cel shading,cel shading
center line,garis tengah
center pin,pin tengah
centre point,titik tengah
centric axis,sumbu sentris
chain dimension,dimensi rantai
chain selection,pemilihan rantai
chaining,chaining
chamfer tool,alat chamfer
chamfering tools,alat chamfering
change order,ubah pesanan
chip formation,pembentukan cip
chuck jaws,chuck jaws
circlip,sirklip
circular pitch,jarak bagi lingkaran
circular tapered gate,gerbang runcing melingkar
circumferential speed,kecepatan keliling
CLDATA,CLDATA
clearance value,nilai jarak bebas
clip planes,bidang klip
closed edge,tepi tertutup
closed return bend,lengkung balik tertutup
cloud credit balance,saldo kredit cloud
cloud credit task,tugas kredit cloud
cloud data,data cloud
CMM,CMM
CNC,CNC
CNC controller,Pengontrol CNC
co-injection molding,co-injection molding
coarsening generations,pembuatan pengasaran
coating,pelapisan
code snippet,cuplikan kode
codebase,basis kode
coincident constraint,batasan bertepatan
cold slug,cold slug
collet,collet
collision,tabrakan
collision avoidance,menghindari tabrakan
collision avoidance parameters,parameter penghindaran tabrakan
collision free link path,jalur tautan bebas tabrakan
colored confetti,confetti berwarna
colorization options,opsi pewarnaan
colour palette,palet warna
command window,jendela perintah
Common Core,Inti Umum
common material,bahan umum
component,komponen
component placement,penempatan komponen
component visibility,visibilitas komponen
composite curve,kurva komposit
compound hole,lubang kompon
computenode,computenode
concentricity,konsentrisitas
conduit,saluran
cone,kerucut
Configuration Administrator,Administrator Konfigurasi
connected workgroup,kelompok kerja yang terhubung
connector,konektor
connector pin,pin konektor
constant-radius fillet,fillet radius konstan
constrained object,objek terbatas
constraint,batasan
constraint status,status batasan
construction plane,pesawat konstruksi
contact point,titik kontak
contact point boundary,batas titik kontak
Content Center Editor,Editor Pusat Konten
content library,pustaka konten
contour flange,flensa kontur
control vertex,titik sudut kontrol
control vertex hull,hull titik sudut kontrol
control vertices hull,hull sekumpulan titik kontrol
convergence plot,plot konvergensi
coolant,pendingin
coolant options,opsi pendingin
cooling fan part,bagian kipas pendingin
cooling wizard,panduan pendingin
coordinate,mengoordinasikan
coplanar,coplanar
COPPA,COPPA
core,inti
core pin,pin inti
corner filleting,fillet sudut
corner filleting style,gaya fillet sudut
corner radius,radius sudut
cosmetic weld bead,titik las kosmetik
counterbore hole,lubang counterbore
counterdrill hole,lubang counterdrill
countersink hole,lubang countersink
critical temperature attribute,atribut suhu kritis
cross section analysis,analisis penampang melintang
cross-highlighting,penyorotan silang
current directory,direktori saat ini
curvature comb,sisir kelengkungan
curvature continuous fillet,fillet kontinu kelengkungan
curve definition,definisi kurva
curve editor,editor kurva
curve information,informasi kurva
cutter compensation,kompensasi pemotong
cutting line,garis potong
CV,CV
CV hull,hull CV
cylinder,silinder
data buffer,buffer data
data card,kartu data
database exports,ekspor basis data
datum note,catatan datum
datum reference frame,kerangka referensi datum
datum target,target datum
decal,stiker
decision support system,sistem pendukung keputusan
defeaturing,defeaturing
Dental Wings printers,Printer Dental Wings
deposition layer,lapisan deposisi
depth of cut,kedalaman potongan
depth of field,kedalaman bidang
design conflict,konflik desain
design file,file desain
design reservation,reservasi desain
Desktop Connector,Konektor Desktop
diagnostic log file,file log diagnostik
dial-up network connection,koneksi jaringan dial-up
diameter,diameter
die formed lofted flange,flensa ditinggikan die formed
dimension,dimensi
direction,arah
DirectX Runtime,DirectX Runtime
distance and angle chamfer,jarak dan sudut chamfer
DOF,DOF
dots per inch,titik per inci
DPI,DPI
draft angle,sudut draf
draft surface,permukaan draf
Draw panel,Panel gambar
drawing group,grup gambar
drill diameter,diameter bor
drilling cycles,siklus pengeboran
drilling toolpaths,jalur alat pengeboran
drive curve,kurva penggerak
DSS,DSS
duct connector,konektor saluran
dump,buang
dxf,dxf
dynamic point,titik dinamis
dynamic preview,pratinjau dinamis
EBM,EBM
edge,tepi
edge index,indeks tepi
edge lambda,lambda edge
edit in place,edit di tempat
edit model workspace,edit ruang kerja model
EDM,EDM
ejection direction button,tombol arah ejeksi
ejection temperature,suhu ejeksi
ejector,ejektor
ejector pin,pin ejektor
ejector plate,pelat ejektor
elbow,siku
electric arc wire,kawat busur listrik
electric discharge machining,pemesinan pelepasan listrik
electro discharge machining,pemesinan pelepasan elektro
electrode,elektroda
electronic distance meter,pengukur jarak elektronik
electronics component,komponen elektronik
electronics cooling,pendingin elektronik
electronics workspace,ruang kerja elektronik
element,elemen
element deletion criteria,kriteria penghapusan elemen
elevation,elevasi
end angle,sudut akhir
end of fill pressure,tekanan akhir pengisian
end point,titik akhir
end treatment,perawatan akhir
environment image,citra lingkungan
error map,peta kesalahan
event simulation,simulasi acara
Experimental Generative Solvers and Features,Pemecah dan Fitur Generatif Eksperimental
Explorer Window,Jendela Penjelajah
Express mode,Mode ekspres
Expression Builder,Pembangun Ekspresi
exterior corner,sudut eksterior
external frame,bingkai eksternal
extruder,ekstruder
F3Z,F3Z
face,muka
face direction,arah muka
face draft,konsep muka
face group,grup muka
facegroup,grup muka
fan geometry,geometri kipas
Fasteners library,Pustaka pengencang
FEA mesh,Jaring FEA
feature collision,tabrakan fitur
feature construction,konstruksi fitur
feature control frame,bingkai kontrol fitur
feature group,grup fitur
feature number,nomor fitur
feed mode,mode umpan
feed rate,laju umpan
Feedback Hub,Hub Umpan Balik
feedrate,laju umpan
FFF,FFF
FFF additive manufacturing,Manufaktur aditif FFF
FFF machine,Mesin FFF
FFF print,Cetak FFF
field fit,kecocokan lapangan
file doctor,dokter file
filestore,penyimpanan file
fill pattern,pola pengisian
fillet feature,fitur fillet
fillet style,gaya fillet
finite element mesh,jaring elemen finite
fixed edge draft,draf tepi tetap
fixture ID,ID fixture
fixture offset,offset fixture
fixturing,fixturing
flange height,tinggi flensa
flange profile,profil flensa
flare v,suar v
flat list,daftar datar
flat pattern,pola datar
flat shading,bayangan datar
Flex,Fleks
flood solution,solusi banjir
flowline machining strategy,strategi pemesinan flowline
