source,target
3D Packing,compattazione 3D
3D Print,stampa 3D
ABF,ABF
Accept,Accettare
action modifier button,pulsante di modifica dell'azione
adaptive refinement,affinamento adattivo
additive technology,tecnologia additiva
additive toolpath,percorso utensile additivo
admin,amministratore
administrator,amministratore
AFR,AFR
air trap,intrappolamento d'aria
aligned section view,vista in sezione allineata
alignment,allineamento
all-around symbol,simbolo su tutto il profilo
allowance,sovrametallo
alternate unit,unità alternativa
analytical surface,superficie analitica
angular global load,carico angolare globale
Angular range,ampiezza angolare
angular speed,velocità angolare
angularity,angolarità
animation footage,metraggio dell'animazione
annotation,annotazione
application,applicazione
Apply,Applicare
arc,arco
assembly constraint,vincolo di assieme
assembly pattern,serie di assiemi
associative PCB,PCB associativo
auto-accept,accettazione automatica
Autodesk Manufacturing Community Portal,portale Autodesk Manufacturing Community
Autodesk Partner,Partner Autodesk
Autodesk Projects,Autodesk-Progetti
auto-draw tool,Disegno automatico utensile
automatic face chain,catena di facce automatica
automatic feature recognition,Riconoscimento automatico delle lavorazioni
automatic ordering,ordinamento automatico
automatic routing,percorso automatico
automatic verification,verifica automatica
auxetic,auxetico
auxiliary view,vista ausiliaria
axis,asse
axis offset,scostamento dell'asse
axle,asse
background processing,elaborazione in background
ball mill,tornio a sfera
ball nosed tool,utensile sferico
ball screw,vite a ricircolo di sfere
barrel tool,utensile a botte
base body,corpo base
base flange,flangia di base
base point,punto base
baud rate,velocità di trasmissione
beam detail,dettagli della trave
Belleville spring,molla Belleville
bend relief override,sostituzione scarico piega
bent tubing route,percorso tubatura con piega
bevel butt,a metà V
bill of material,distinta componenti
blend surface,superficie di raccordo
blisk,girante
board outline,contorno scheda
body load,carico del corpo
BOM grid,griglia della distinta componenti
bore,barenatura
boring bar,barra di alesatura
boundary patch,superficie di contorno
bouquet,mazzetto
bowtie,modifica spline
box display,visualizzazione parallelepipedo
braking torque,momento frenante
branch connection,connessione diramazione
Break Link,Interrompi collegamento
brickify,trasformare in mattoni
brush,pennello
build preparation software,software di preparazione della costruzione
build-time estimation,stima del tempo di creazione
bulk load,caricamento globale
bulk modulus,modulo di aggregato
bump,composizione in rilievo
bump map,mappa in rilievo
bump mapping,mappa di composizione in rilievo
burn mark,segno di bruciatura
burn region,regione di erosione
cable tray,passerella
calibration,calibrazione
callout style,stile richiamo
CAM capabilities,funzionalità CAM
CAM programming,programmazione CAM
canned cycle,ciclo fisso
canvas,area di disegno
cap filleting,raccordo delle estremità
Carrier,Carrier
cascade water junction,collettore idraulico per cascata
caterpillar,millepiedi
center line,linea d'asse
center pin,spina centrale
centre point,punto centrale
centric axis,asse centrale
chain dimension,quota in serie
chain selection,selezione catena
chaining,concatenamento
chamfer,smusso
chamfer tool,utensile per smusso
chamfering tools,utensili di smussatura
chip formation,formazione di trucioli
chuck,mandrino
chuck jaws,morse del mandrino
circle,cerchio
circlip,graffa circolare
circular pitch,passo circonferenziale
circular tapered gate,punto di iniezione rastremato circolare
circumferential speed,velocità circonferenziale
CLDATA,CLDATA
close flat,applicare una chiusura piatta
closed edge,spigolo chiuso
closed return bend,piega doppia chiusa
cloud data,dati del cloud
CMM,CMM
CNC,CNC
coating,copertura
code snippet,frammento di codice
coincident constraint,vincolo coincidente
co-injection molding,stampaggio a coiniezione
cold slug,punta fredda
collet,portapinze
Collision,collisione
collision avoidance parameters,Parametri per evitare collisioni
collision free link path,percorso di collegamento libero da collisioni
colour palette,tavolozza colori
command window,Finestra di Comando
Common Core,Common Core
common material,materiale comune
component,componente
component visibility,visibilità del componente
composite curve,curva composta
compound hole,foro composto
Computenode,nodo di calcolo
concentricity,concentricità
conduit,tubo protettivo
cone,cono
Configuration Administrator,Amministratore della configurazione
Configurator 360,Configurator 360
connected workgroup,gruppo di lavoro connesso
connector,connettore
connector pin,pin del connettore
constant,costante
constant-radius fillet,raccordo con raggio costante
constrained object,oggetto vincolato
constraint,vincolo
contact point,punto di contatto
Content Center Editor,Editor del Centro contenuti
content library,libreria di contenuti
contour,contorno
contour flange,flangia contorno
control vertex,vertice di controllo
control vertex hull,reticolo vertici di controllo
control vertices hull,reticolo vertici di controllo
convergence plot,grafico convergenza
convex,convesso
coolant,refrigerante
cooling wizard,Procedura guidata raffreddamenti
coordinate,coordinata
coplanar,complanare
COPPA,COPPA
core,nucleo
core file,file centrale
core pin,spina punzone
Corner Filleting,Raccordatura spigoli
corner filleting style,stile raccordo spigolo
corner radius,raggio spigolo
cosmetic weld bead,cordone di saldatura simulata
counterbore hole,foro lamato
countersink hole,foro di svasatura
crimp,aggraffatura
cross section analysis,analisi sezione trasversale
cross-highlighting,evidenziazione incrociata
current directory,directory corrente
curvature comb,radiale della curvatura
curvature continuous fillet,raccordo con curvatura continua
curve,curva
curve definition,definizione curva
curve editor,Editor curve
curve information,informazioni curva
cutter compensation,compensazione raggio utensile
cutting line,linea di taglio
CV,CV
CV hull,reticolo VC
cycle,ciclo
cylinder,cilindro
database exports,esportazioni di database
datum note,nota di riferimento
datum reference frame,riquadro di riferimento
datum target,riferimenti parziali
decal,decalcomania
defeaturing,semplificazione geometria
demote,abbassare il livello
depth of cut,profondità di taglio
design conflict,conflitto di progettazione
design file,file di progettazione
design reservation,prenotazione progetto
design view,vista progettazione
Desktop Connector,Desktop Connector
diagnostic log file,file di registro di diagnostica
dial-up network connection,connessione di rete remota
diameter,diametro
die formed lofted flange,tramoggia per imbutitura
direct model,modello diretto
direction,direzione
direction tolerance,tolleranza direzione
DirectX Runtime,DirectX Runtime
distance and angle chamfer,smusso angolo e distanza
dots per inch,punti per pollice
downskin analysis,analisi downskin
DPI,DPI
draft angle,angolo di sformo
draft surface,superficie di sformo
Draw panel,Riquadro di disegno
drawing group,gruppo di disegni
drill,foratura
drilling cycles,cicli di foratura
drilling toolpaths,percorsi di foratura
drive curve,curva guida
DSS,DSS
duct connector,connettore per condotto
dump,dump
dynamic point,punto dinamico
dynamic preview,anteprima dinamica
edit in place,modifica locale
EDM,EDM
educator account,account per docente
ejection temperature,temperatura di estrazione
ejector,estrattore
ejector pin,estrattore
ejector plate,piastra estrattori
elbow,gomito
electric arc wire,filo ad arco elettrico
electric discharge machining,lavorazione a scarica elettrica
Electro Discharge Machining,Electro Discharge Machining
electrode,elettrodo
electronic distance meter,Electronic Distance Meter
element,elemento
element deletion criteria,criteri di eliminazione elementi
elevation,elevazione
emboss,sbalzo
end angle,angolo finale
end fill,riempimento estremità
end of fill pressure,pressione alla fine del riempimento
end point,punto finale
end treatment,trattamento di estremità
error map,mappa errori
event simulation,simulazione evento
Experimental Generative Solvers and Features,Risolutori e funzionalità generative sperimentali
Express mode,Modalità rapida
Expression Builder,Elaborazione espressione
exterior corner,angolo esterno
external frame,telaio esterno
extract,estrarre
extruder,estrusore
face,faccia
face direction,direzione della faccia
face draft,sformo della faccia
facegroup,gruppo di facce
Fasteners library,libreria di fissaggi
feature,feature
feature collision,collisione feature
feature control frame,riquadro di controllo della geometria
feature group,gruppo di lavorazioni
feed mode,modalità di avanzamento
feed rate,avanzamento
feedrate,velocità di avanzamento
FFF,FFF
FFF additive manufacturing,produzione additiva FFF
FFF print,stampa FFF
field fit,accoppiamento sul campo
file doctor,File Doctor
filestore,archivio file
fill pattern,modello di riempimento
fillet,raccordo
fillet feature,lavorazione del raccordo
fillet radius,raggio di raccordo
fillet style,stile raccordo
