source,target
3D Packing,3D パッキング
ABF,ABF
abrasive flow rate,砥粒流動率
Accept,了解
action modifier button,[アクション モディファイヤ]ボタン
adaptive clearing,負荷制御
adaptive refinement,アダプティブ リファインメント
additive manufacturing simulation,積層造形シミュレーション
additive technology,積層造形テクノロジ
admin,管理者
administrator,管理者
adult Tinkercad account,大人用 Tinkercad アカウント
advanced simulation study,高度なシミュレーション スタディ
AFR,フィーチャー自動認識
air convection,空気対流
alignment,アライメント
all-around symbol,全周記号
allowance,仕上げ代
alternate unit,変換単位
AM,AM
analysis time,解析時間
analytical surface,解析サーフェス
angle increment,角度の増分
angular global load,グローバル角慣性荷重
Angular Intensity,角度強度
Angular range,角度範囲
angular speed,角速度
angular velocity,角速度
angularity,傾斜度
animation footage,アニメーションの場面
anisotropic,異方性
anisotropy,異方性
annotation,注記
annular ring,アニュラ リング
Ansys Mechanical,Ansys Mechanical
application,アプリケーション
Apply,適用
aPriori,aPriori
arc,円弧
Arcam EBM,Arcam EBM
assembly constraint,アセンブリ拘束
assembly pattern,アセンブリ パターン
asset library,アセット ライブラリ
Asset Manager,アセット マネージャ
associative PCB,関連付けのある PCB
ATU,ATU
auto-accept,自動了解
AutoCAD DXF,AutoCAD DXF
Autodesk Masters award,Autodesk Masters アワード
Autodesk Masters Program,Autodesk Masters プログラム
Autodesk Partner,Autodesk パートナー
Autodesk Projects,Autodesk プロジェクト
auto-draw tool,工具自動表示
automatic face chain,面の自動チェーン
automatic feature recognition,フィーチャー自動認識
automatic ordering,加工順序自動設定
automatic routing,自動ルーティング
automatic tool changer capacity,自動工具交換機の性能
automatic verification,自動検証
auxetic,オーセチック
auxiliary view,補助投影ビュー
axis,軸
axis offset,軸オフセット
axle,軸
B axis,B 軸
background processing,バックグラウンド処理
ball mill,ボール ミル
ball nosed tool,ボール エンド ミル
ball screw,ボールねじ
barrel tool,バレル
base body,基本ボディ
base class,基本クラス
base face,基準面
base flange,ベース フランジ
base point,基点
Baseplate,ベースプレート
Basic Imaging Profile,基本的なイメージング プロファイル
bead width,ビード幅
beam detail,梁の詳細
Belleville spring,皿ばね
bend radius,曲げ半径
bend relief override,曲げレリーフのオーバーライド
bent tubing route,ベンド チューブ ルート
bill of material,マテリアルの詳細
BINVOX,BINVOX
biocompatible material,生体適合性のあるマテリアル
blend surface,ブレンド サーフェス
blind hole,非貫通穴
Bluetooth Network Encapsulation Protocol,BNEP プロトコル
board outline,ボードのアウトライン
body load,慣性荷重
body thickness,ボディの厚さ
body type,ボディ タイプ
bool,ブール値
bore,ボーリング
boring bar,ボア バー
boss,ボス
boss feature,ボス フィーチャ
boundary,バウンダリー
boundary patch,境界パッチ
bounding box,境界ボックス
bounding shape,境界形状
bouquet,ブーケ
bowtie,ボウタイ
brace,ブレース
braking torque,ブレーキ トルク
branch connection,分岐接続
BRDF,BRDF
Break Link,リンクを解除
brickify,レンガ化
brush,ブラシ
brush mapping radial XY,ブラシのマッピング - 放射状の XY
buckling,座屈
build plate,ビルド プレート
build preparation software,製造準備ソフトウェア
building process,ビルド プロセス
buildroom,ビルドルーム
build-time estimation,ビルド時間の推定
bulk load,一括ロード
bulk modulus,体積弾性係数
bump,バンプ
bump map,バンプ マップ
bump mapping,バンプ マッピング
burn mark,焼け
burn region,放電領域
C axis,C 軸
CA certificates,CA 証明書
cable tray,ケーブル ラック
CAD manager,CAD マネージャ
CAD surface,CAD サーフェス
calibration,較正
callout style,コールアウトのスタイル
CAM capabilities,CAM 機能
CAM programming,CAM プログラミング
camera counterclockwise,カメラを反時計回り
camera turntable,カメラ ターンテーブル
canned cycle,固定サイクル
canvas,キャンバス
cap filleting,キャップ フィレット
Carrier,キャリア
cascade water junction,カスケード冷却水口
caterpillar,溶接ビードの軌跡
caustics,コースティクス
cavity,キャビティ
cel shading,セル シェーディング
center line,中心線
center mark glyph,中心マーク
center pin,中心ピン
centre point,中心点
centric axis,中心軸
chain dimension,直列寸法
chain selection,チェーン選択
chaining,連接
chamfer,面取り
chamfer tool,面取り工具
chamfering tools,面取り工具
Characteristic User Description,特性のユーザ説明
checkerboard texture,チェッカーボード テクスチャ
chip formation,チップの形成
chrome reflection color,クロームの反射の色
chuck,チャック
chuck jaws,チャックの爪
circle,円
circlip,止め輪
circular pitch,円ピッチ
circular tapered gate,円形テーパ ゲート
circumferential speed,周速
CLDATA,CLDATA
clearance,クリアランス
clearance value,クリアランス値
clip planes,クリップ平面
clone,クローン
close flat,平面を閉じる
closed return bend,クローズド返しベンド
cloud credit balance,クラウド クレジットの残高
cloud credit task,クラウド クレジット タスク
Cloud Credits panel,[クラウド クレジット]パネル
cloud data,点群データ
CMM,CMM
CNC,CNC
