source,target
3D Print,3D 프린트
A360,A360
A360 Rendering,A360 Rendering
A360 Team,A360 Team
ABF,ABF
acceleration structure,가속화 구조
action modifier button,작업 수정자 버튼
adaptive refinement,가변 미세 조정
additive,적층
additive technology,적층 기술
additive toolpath,적층 도구 경로
admin,관리자
adult Tinkercad account,성인 Tinkercad 계정
air trap,에어 트랩
Alias,Alias
Alias AutoStudio,Alias AutoStudio
Alias Concept,Alias Concept
Alias Design,Alias Design
Alias SpeedForm,Alias SpeedForm
Alias Surface,Alias Surface
aligned section view,정렬 단면도
all-around symbol,온둘레 기호
alternate unit,대체 단위
ambient occlusion,앰비언트 어클루젼
analytical surface,해석 표면
angle increment,각도 증분
angular global load,각도 전역 하중
Angular Intensity,각 강도
Angular range,각도 범위
angular speed,각속도
animation footage,애니메이션 길이
anisotropic,비등방성
anisotropy,비등방성
annular ring,고리형 링
Arcam EBM,Arcam EBM
assembly constraint,조립품 구속조건
assembly pattern,조립품 패턴
asset library,자산 라이브러리
Asset Manager,자산 관리자
associative PCB,연관 PCB
ATF Version,AFT 버전
ATU,ATU
AutoCAD 360,AutoCAD 360
AutoCAD Inventor LT Suite,AutoCAD Inventor LT Suite
Autodesk Desktop Connector,Autodesk Desktop Connector
Autodesk Flex,Autodesk Flex
Autodesk Inventor Mentor,Autodesk Inventor 멘토
Autodesk Job Processor,Autodesk Job Processor
Autodesk Partner,Autodesk 파트너
Autodesk Prodsmart,Autodesk Prodsmart
Autodesk Projects,Autodesk 프로젝트
Autodesk Vault Professional edition,Autodesk Vault Professional 버전
automatic face chain,자동 면 체인
automatic routing,자동 라우팅
auxiliary view,보조 뷰
axle,축
background processing,백그라운드 처리
bake settings,베이크 설정
ball mill,볼 밀
ball screw,볼 나사
barrel tool,배럴 공구
base body,기본 본체
base class,기본 클래스
base flange,기준 플랜지
base point,기준점
Baseplate,베이스 플레이트
Basic Imaging Profile,기본 이미지 프로파일
baud rate,전송 속도
beam detail,빔 상세
Being Inventive,Being Inventive
Belleville spring,접시형 스프링
bend,절곡부
bend radius,절곡부 반지름
bend relief override,절곡부 릴리프 재지정
bent tubing route,절곡부 튜브 루트
BINVOX,BINVOX
biocompatible material,바이오 호환 재질
blend surface,혼합 표면
blisk,블리스크
Bluetooth Network Encapsulation Protocol,Bluetooth 네트워크 인캡슐레이션 프로토콜
body load,본체 하중
BOM,BOM
boss,보스
boundary patch,경계 패치
Bounding Box,경계 상자
bounding shape,경계 쉐이프
bouquet,부케
bowtie,보타이
braking torque,제동 토크
branch connection,분기 연결
Breakpoint,중단점
brickify,블록으로 전환
brush,브러시
brush mapping radial XY,브러시 매핑 방사형 XY
build plate,빌드 플레이트
build preparation software,빌드 준비 소프트웨어
building process,건축 프로세스
buildroom,빌드 공간
build-time estimation,예상 빌드 시간
bulk load,대량 로드
bump,범프
bump map,범프 맵
bump mapping,범프 매핑
burn mark,번 마크
CA certificates,CA 인증서
cable tray,케이블 트레이
callout style,콜아웃 스타일
camera collision detection,카메라 충돌 감지
camera counterclockwise,카메라 반시계 방향
camera turntable,카메라 턴테이블
canvas,캔버스
cap filleting,캡을 씌운 모깎기
cap surface,캡 서피스
cascade water junction,계단식 용수 합류점
caustics,산란
cavity,캐비티
cel shading,CEL 음영처리
center line,중심선
center pin,중심 핀
centric axis,중심 축
CFD,CFD
CFD Advanced,CFD Advanced
CFD Motion,CFD Motion
chain dimension,체인 치수
chain selection,체인 선택
chamfering tools,모따기 도구
checkerboard texture,체커보드 텍스처
chip formation,칩 구성
chromaticity,색도
chrome reflection color,크롬 반사 색상
chuck jaws,척 죠
circlip,써클립
circular pitch,원형 피치
circular tapered gate,테이퍼된 원형 게이트
circumferential speed,원주 속도
clearance,이격거리
clip planes,클립 평면
clone,복제
close flat,평면 닫기
closed edge,닫힌 모서리
closed return bend,닫힌 복귀 절곡부
cloud data,클라우드 데이터
CO,CO
code snippet,코드 조각
codebase,codebase
coincident constraint,일치 구속조건
co-injection molding,이중 사출 성형
cold slug,콜드 슬러그
collaboration session,공동 작업 세션
collet,콜릿
Common Core,Common Core
common material,일반 재질
component visibility,구성요소 가시성
Computenode,계산 노드
concentricity,동심
conduit,배선
Configurator 360,Configurator 360
connector,커넥터
connector pin,커넥터 핀
constant-radius fillet,동일반지름 모깎기
constrained object,구속된 객체
constraint,구속조건
constringence,역분산
Content Center Editor,Content Center Editor
content library,컨텐츠 라이브러리
contour flange,컨투어 플랜지
convergence plot,수렴 플롯
convex,볼록
coolant,냉각수
COPPA,COPPA
copy Design,Copy Design
core pin,코어 핀
Corner Blend surface,코너 블렌드 서피스
corner filleting style,구석 모깎기 스타일
CORS,CORS
cosmetic weld bead,표면 용접 비드
counterbore hole,카운터보어 구멍
countersink hole,카운터싱크 구멍
crimp,크림프
crinkle washer,크링클 워셔
cross recessed,십자 오목
cross section analysis,횡단면 해석
cross-highlighting,십자 강조 표시
current directory,현재 디렉토리
curvature continuous fillet,곡률 연속 모깎기
curve definition,커브 정의
curve editor,커브 편집기
custom part library,사용자 부품 라이브러리
cutting line,절단선
CV,CV
CV hull,CV 선체
database exports,데이터베이스 내보내기
datum identifier,데이텀 식별자
datum note,데이텀 주
datum reference frame,데이텀 참조 프레임
datum target,데이텀 대상
deburr,디버링
decal,전사
decision support system,결정 지원 시스템
default environment switch,기본 환경 스위치
defeaturing,피쳐 제거
degenerate,퇴화
demote,강등
deposition layer,적층 도면층
design conflict,설계 충돌
design file,디자인 파일
design reservation,설계 예약
