source,target
3D Print,drukowanie 3D
action modifier button,przycisk modyfikacji działania
AFR,ARC
air trap,zamknięcie powietrza
aligned section view,przekrój dopasowany
alignment,układ
all-around symbol,symbol pełnej spoiny na obwodzie
allowance,naddatek
alternate unit,Jednostka dodatkowa
analytical surface,powierzchnia modelu analitycznego
Angular range,zakres kątowy
angular speed,prędkość kątowa
angularity,nachylenie
animation footage,film animacji
annotation,adnotacja
annular ring,pierścień cylindryczny
application,aplikacja
arc,łuk
"ARCHITECTURE, ENGINEERING & CONSTRUCTION COLLECTION","ARCHITECTURE, ENGINEERING & CONSTRUCTION COLLECTION"
assembly constraint,wiązania złożenia
assembly pattern,szyk złożenia
asset library,biblioteka zasobów
Autodesk Desktop Connector,Autodesk Desktop Connector
Autodesk Flex,Autodesk Flex
Autodesk Inventor Mentor,program Autodesk Inventor Mentor
Autodesk Manufacturing Community Portal,portal Autodesk Manufacturing Community
Autodesk Masters award,Nagrody Autodesk Masters
Autodesk Masters Program,Program Autodesk Masters
Autodesk Partner,Partner firmy Autodesk
Autodesk Projects,Projekty Autodesk
Autodesk Vault Professional edition,wersja Autodesk Vault Professional
automatic face chain,automatyczne łączenie powierzchni
automatic feature recognition,automatyczne rozpoznawanie cech
automatic ordering,układ automatyczny
automatic routing,trasowanie automatyczne
automatic verification,automatyczna weryfikacja
axis,oś
axis offset,odsunięcie osi
axle,oś
background processing,przetwarzanie w tle
ball mill,młyn kulowy
ball nosed tool,frez kulisty
ball screw,śruba z nakrętką kulkową
barrel tool,frez baryłkowy
base body,Wstaw jako bryłę bazową
base point,punkt bazowy
baud rate,szybkość transmisji
beam detail,szczegół belki
Belleville spring,sprężyna talerzowa
bend radius,promień gięcia
bent tubing route,trasa gięcia rury
bill of material,lista materiałów
blend surface,powierzchnia połączenia
blisk,turbina
body load,obciążenie bezwładnościowe
bore,wytaczanie
boundary,granica
boundary patch,zamknięcie obwiedni
bounding box,bryła brzegowa
bounding shape,kształt obwiedni
bowtie,węzeł splajnu
braking torque,moment hamowania
branch connection,połączenie odgałęzienia
brickify,utworzyć klocki
