source,target
ambient occlusion,oclusão do ambiente
ambient shadows,sombras ambiente
AO,AO
Autodesk Masters award,prémio Autodesk Masters
Autodesk Masters Program,Programa Autodesk Masters
Autodesk Partner,Parceiro Autodek
CV,CV
DPI,DPI
DSS,DSS
EDM,EDM
FOV,FOV
Fusion,Fusion
headnode,nó principal
iCopy,iCopy
iFeatures,iFeatures
iProperties,iProperties
lbf,lbf
new features workshop,workshop sobre as novas funcionalidades
primary,primário
Pro,Pro
rebar coupler,Engates de armação
secondary,secundário
simulation model,modelo de simulação
Thick Client,Thick Client
Thin Client,Thin Client
Vault,Vault
