source,target
3D Print,Impressão 3D
Accept,Aceitar
ACIS,ACIS Files
admin,admin
administrator,administrador
Advanced Toolpath Utility,Utilitário avançado de percurso da ferramenta
AFR,RAF
air trap,aprisionamento de ar
aligned section view,vista de corte alinhada
alignment,alinhamento
all-around symbol,símbolo de todo o contorno
allowance,tolerância
alternate unit,unidade alternativa
AMF,Additive Manufacturing File
analytical surface,superfície analítica
Angular range,intervalo angular
angular speed,velocidade angular
angularity,angularidade
animation footage,linha de tempo da animação
annotation,anotação
annular ring,anel anular
Antialiasing Level,Nível de suavização de serrilhado
application,aplicativo
Apply,Aplicar
arc,arco
Arcam,Arcam
Arcam EBM,Arcam EBM
Arcam EBM Spectra H,Arcam EBM Spectra H
ASCII STL,ASCII STL
assembly constraint,restrição de montagem
assembly pattern,padrão de montagem
asset library,biblioteca de recursos
auto-accept,autoaceitar
Autodesk Masters award,prêmio Autodesk Masters
Autodesk Masters Program,programa Autodesk Masters
Autodesk Partner,Parceiro da Autodesk
Autodesk Projects,Projetos Autodesk
Autodesk Vault Professional edition,Autodesk Vault Professional Edition
auto-draw tool,autoexibir ferramenta
automatic face chain,cadeia automática de faces
automatic feature recognition,reconhecimento automático de figura
automatic ordering,ordem automática
automatic routing,roteamento automático
automatic verification,verificação automática
axis,eixo
axis offset,deslocamento do eixo
axle,eixo
background processing,processamento em segundo plano
ball mill,moinho de esferas
ball nosed tool,ferramenta esférica
ball screw,fuso de esferas
bar contour,contorno da barra
barrel tool,ferramenta de tambor
base class,classe de base
base plate,placa base
base point,Ponto Base
baud rate,taxa de transmissão
beam,viga
beam detail,detalhe da viga
Belleville spring,mola prato
bend radius,raio da dobra
bent tubing route,rota de tubulação curva
bill of material,lista de materiais
biocompatible material,material biocompatível
blend surface,superfície de mescla
blisk,turbina
Bluetooth Network Encapsulation Protocol,Protocolo Bluetooth Network Encapsulation
body load,carga do corpo
BOM grid,grade da lista de materiais
Boolean Intersection,Interseção booleana
bore,broquear
bottom part connection,conexão inferior da peça
boundary,fronteira
boundary patch,fechamento de contorno
bounding shape,forma delimitadora
bouquet,buquê
bowtie,nó
brace,contraventamento
braking torque,torque de frenagem
branch connection,conexão de ramificações
brickify,concretizar
brush,pincel
building process,processo de construção
Buildplate,Placa de construção
buildroom,ambiente de construção
buildstyle,estilo de construção
build-time estimation,estimativa do tempo de produção
bulk load,carregamento em massa
bump,saliência
bump map,mapa de textura
bump mapping,mapeamento de textura
burn mark,queima superficial
burn region,região de queima
CA certificates,Certificados CA
cable tray,bandeja de cabos
calibration,calibração
calibration file,arquivo de calibração
callout style,estilo de texto explicativo
canned cycle,ciclo combinado
canvas,tela
cap filleting,concordância de capeamento
cascade water junction,refrigeração em cascata
caterpillar,caterpillar
cavity,cavidade
cel shading,Célula sombreada
center line,linha de centro
center pin,pino central
centre point,ponto central
centric axis,eixo central
