source,target
3D Print,3D-печать
Accept,Принять
additive technology,технология аддитивного производства
admin,администратор
administrator,администратор
adult Tinkercad account,учетная запись взрослого в Tinkercad
AFR,АРЭ
air trap,воздушный карман
aligned section view,сечение с выравниванием
alignment,выравнивание
all-around symbol,по замкнутому контуру
allowance,припуск
alternate unit,альтернативная единица
AM,АП
analytical surface,аналитическая поверхность
Angular range,пределы угла поворота
angular speed,угловая скорость
angularity,наклон
animation footage,отснятый материал для анимации
annotation,аннотация
application,приложение
Apply,Применить
arc,дуга
"ARCHITECTURE, ENGINEERING & CONSTRUCTION COLLECTION","ARCHITECTURE, ENGINEERING & CONSTRUCTION COLLECTION"
assembly constraint,сборочная зависимость
assembly pattern,массив сборки
asset library,библиотека компонентов
attachment,вставленный файл
Autodesk Inventor Mentor,обучение работе с Autodesk Inventor
Autodesk Manufacturing Community Portal,портал сообщества пользователей Autodesk в сфере производства
Autodesk Masters award,Награда Autodesk Masters
Autodesk Masters Program,Программа Autodesk Masters
Autodesk Partner,партнер Autodesk
Autodesk Projects,Проекты Autodesk
Autodesk Vault Professional edition,выпуск Autodesk Vault Professional
auto-draw tool,инструмент автоотрисовки
automatic face chain,автоматическое формирование цепочек граней
automatic feature recognition,автоматическое распознавание элементов
automatic ordering,автоматическое упорядочение
automatic routing,автоматическая трассировка
automatic tool changer capacity,возможность автоматической смены инструмента
automatic verification,автоматическая проверка
axis,ось
axis offset,смещение оси
axle,ось
ball mill,шаровая мельница
ball nosed tool,сферическая фреза
ball screw,шариковый винт
base body,базовое тело
base point,базовая точка
beam detail,Эпюры балки
Belleville spring,тарельчатая пружина
bent tubing route,трасса изогнутых трубопроводов
bill of material,спецификация
blend surface,переходная поверхность
blisk,моноколесо
body load,нагрузка на тело
boring bar,расточной патрон
boss feature,бобышка
boundary,граница
boundary patch,участок поверхности
bounding box,ограничивающая рамка
bowtie,петля
braking torque,тормозной момент
branch connection,соединение ответвления
Break Link,Разорвать связь
brickify,преобразовать в модель из кирпичей
brush,кисть
build preparation software,программное обеспечение для подготовки сборок
bulk load,групповая загрузка
bump,выдавливание
bump map,карта выдавливания
bump mapping,текстура выдавливания
burn mark,прижог
burn region,зона прожига
cable tray,кабельный лоток
calibration,калибровка
