source,target
analytical surface,analytisk yta
Autodesk Masters award,Autodesk Masters Award
Autodesk Masters Program,Autodesk Masters Program
Autodesk Partner,Autodesk Partner
Configurator 360,Configurator 360
depth of field,skärpedjup
DPI,DPI
DSS,DSS
EDM,EDM
flat shading,entonig skuggning
focal plane,fokalplan
free orbit,cirkulera fritt
Helius Composite,Helius Composite
Helius PFA,Helius PFA
iCopy,iCopy
iFeatures,iFeatures
infer constraints,tillämpa begränsningar
iProperties,iProperties
language pack,språkpaket
markup,markering
model translation,modellöversättningen
organic modeling,organisk modellering
planar face,plan yta
Pro,Pro
sketch edge,skissa kant
Thick Client,Thick Client
Thin Client,Thin Client
Vault Workgroup,Vault Workgroup
