source,target
Autodesk Partner,Autodesk İş Ortağı
axle,Aks
brickify,tuğlalaştırmak
cel shading,Cel gölgeleme
Common Core,Ortak Temel
Configurator 360,Configurator 360
COPPA,COPPA
CV,CV
depth of field,alan derinliği
design conflict,tasarım çakışması
design reservation,tasarım koruma
DPI,DPI
DSS,DSS
EDM,EDM
educator account,eğitmen hesabı
flat shading,düz gölgelendirme
flood solution,sel çözümü
focal plane,odak Düzlemi
free orbit,serbest yörünge
Fusion Team administrator,Fusion Team Yöneticisi
Helius Composite,Helius Composite
Helius PFA,Helius PFA
HSV,HSV
iCopy,iCopy
iFeatures,iFeatures
iProperties,iProperties
ISTE,ISTE
markup,İşaretleme
model translation,model çevirisi
moderator,yönetici
New Features Workshop,Yeni Özellikler Atölyesi
NGSS,NGSS
parent account,ebeveyn hesabı
Pro,Pro
reservation,koruma
shape,şekil
student design,öğrenci tasarımı
Thick Client,Thick Client
Thin Client,Thin Client
tonemap method,tonemap yöntemi
Vault Workgroup,Vault Workgroup
