source,target
3D Packing,3D-упаковка
3D Print,3D-друк
abrasive flow rate,витрата абразиву
adaptive clearing,адаптивне навчання
adaptive refinement,адаптивне уточнення
additive manufacturing simulation,моделювання адитивного виробництва
additive technology,адитивна технологія
admin,адміністратор
administrator,адміністратор
advanced simulation study,розширене імітаційне дослідження
AFR,AFR
air convection,конвекція повітря
air trap,повітряна пастка
Alias,Псевдонім
aligned section view,вирівняний вид перетину
alignment,вирівнювання
all-around symbol,універсальний символ
allowance,посібник
alternate unit,альтернативний блок
AM,AM
analysis time,час аналізу
analytical surface,аналітична поверхня
angular global load,кутове глобальне навантаження
angular speed,кутова швидкість
angular velocity,кутова швидкість
angularity,незграбність
animation footage,анімаційні кадри
annotation,анотація
application,докладання
arc,дуга
assembly constraint,обмеження збірки
assembly pattern,схема збірки
asset library,бібліотека активів
associative PCB,асоціативна друкована плата
auto-draw tool,інструмент автоматичного малювання
Autodesk Human Interface Guidelines,Рекомендації по роботі з людським інтерфейсом Autodesk
Autodesk Partner,Партнер Autodesk
Autodesk Projects,Проекти Autodesk
Autodesk Vault Professional edition,Професійне видання Autodesk Vault
automatic face chain,автоматична торцева ланцюжок
automatic feature recognition,автоматичне розпізнавання об'єктів
automatic ordering,автоматичне замовлення
automatic routing,автоматична маршрутизація
automatic tool changer capacity,продуктивність автоматичної зміни інструменту
automatic verification,автоматична перевірка
auxiliary view,допоміжний вид
axis,вісь
axle,вісь
B axis,Вісь B
background processing,фонова обробка
ball mill,кульовий млин
ball nosed tool,інструмент з кульовим наконечником
ball screw,кульковий гвинт
barrel tool,бочкоподібний інструмент
base body,базовий корпус
base face,Базова поверхня
base flange,базовий фланець
base point,базова точка
baud rate,швидкість передачі даних в бодах
bead width,ширина бортика
beam detail,деталь променя
Belleville spring,Бельвільська пружина
bend relief override,перевизначення рельєфу вигину
bent tubing route,траса для гнутих труб
bill of materials,специфікація матеріалів
biocompatible material,біосумісний матеріал
blend surface,розтушована поверхня
blisk,блиск
board outline,схема дошки
body load,навантаження на тіло
body thickness,товщина корпусу
body type,тип статури
BOM,BOM
BOM grid,Таблиця специфікацій
BOM Object,Об'єкт специфікації
boring bar,розточувальна планка
boss feature,особливість боса
boundary,межа
boundary patch,прикордонна ділянка
bouquet,букет
bowtie,краватка-метелик
box display,дисплей коробки
braking torque,гальмівний момент
branch connection,підключення до філії
brush,щітка
buckling,прогинатися
build preparation software,програмне забезпечення для підготовки збірки
bulk load,насипний вантаж
bulk modulus,об'ємний модуль пружності
bump,удар
bump map,рельєфна карта
bump mapping,відображення рельєфу
burn mark,слід від опіку
burn region,область горiння
C axis,Вісь C
cable tray,кабельний лоток
calibration,калібрування
callout style,стиль виноски
CAM capabilities,Можливості CAM
CAM programming,Програмування CAM
canned cycle,законсервований цикл
canvas,полотно
cap filleting,филетирование капелюшки
carrier,перевізник
cascade water junction,каскадний Водний перехід
cel shading,затінення cel
center line,центральна лінія
center pin,Центральний штифт
centre point,центральна точка
centric axis,центральна вісь
chain dimension,розмір ланцюга
chain selection,вибір ланцюжка
chaining,приковування ланцюгом
chamfer tool,інструмент для зняття фаски
chamfering tools,інструменти для зняття фасок
change order,змінити порядок
chip formation,освіта стружки
chuck jaws,затискні губки
circlip,Стопорне кільце
circular pitch,круговий крок
circular tapered gate,круглі конічні ворота
circumferential speed,колова швидкість
CLDATA,CLDATA
clearance value,величина зазору
clip planes,затискні площини
closed edge,закритий край
closed return bend,закритий зворотний вигин
cloud credit balance,Хмарний кредитний баланс
cloud credit task,хмарна кредитна задача
cloud data,хмарні дані
CMM,CMM
CNC,CNC
CNC controller,Контролер з CNC
co-injection molding,спільне лиття під тиском
coarsening generations,огрубляючі покоління
coating,покриття
code snippet,фрагмент коду
codebase,кодова база
coincident constraint,збіг обмеження
cold slug,холодна куля
collet,втулка
collision,зіткнення
collision avoidance,запобігання зіткнень
collision avoidance parameters,параметри запобігання зіткнень
collision free link path,шлях з'єднання без зіткнень
colored confetti,різнобарвне конфетті
colorization options,варіанти розфарбовування
colour palette,колірна палітра
command window,командне вікно
Common Core,Загальне ядро
common material,звичайний матеріал
component,компонент
component placement,розміщення компонентів
component visibility,видимість компонентів
composite curve,складова крива
compound hole,складений отвір
computenode,обчислювальний вузол
concentricity,концентричність
conduit,трубопровід
cone,конус
Configuration Administrator,Адміністратор конфігурації
connected workgroup,підключена робоча група
connector,з'єднувач
connector pin,контактний роз'єм
constant-radius fillet,округлення з постійним радіусом
constrained object,обмежений об'єкт
constraint,обмеження
constraint status,статус обмеження
construction plane,будівельна площина
contact point,контактний пункт
contact point boundary,межа точки контакту
Content Center Editor,Редактор центру вмісту
content library,бібліотека контенту
