source,target
alpha-blend,alfa přechod
angular speed,úhlová rychlost
Autodesk Masters award,Ocenění Autodesk Masters
Autodesk Masters Program,Program Autodesk Masters
axis offset,odsazení osy
binary large object,binární velký objekt
bind pose,vázaná póza
blend mode,režim přechodu
blend surface,přechodová plocha
border,hranice
bulge,vyboulení
bump,nerovnost
bump map,mapa nerovností
bump mapping,mapování nerovností
camera,kamera
casement,okenní křídlo
character large object,velké objekty znaků
CLOB,CLOB
closed edge,uzavřená hrana
constrained object,objekt s vazbou
constraint solver,řešič vazeb
control vertex,řídicí vrchol
control vertex hull,kostra z řídicích vrcholů
control vertices hull,kostra z řídicích vrcholů
convex,konvexní
coordinate reference system,souřadnicový referenční systém
depth of field,hloubka pole
digital elevation model,digitální výškový model
displacement scale,měřítko posunutí
dithering,půltóny
DOF,DOF
elevation axis,osa výšek
fillet,zaoblení
Filmbox,Filmbox
flyout,dílčí panely
fly-out,dílčí panely
full-body inverse kinematics,inverzní kinematika celého tělesa
hardware shader,hardwarový stínovač
i-drop target,cíl i-drop
isoparm,izoparma
knuckle,rozšíření v oblouku
layer,hladina
level,úroveň
linear array,lineární pole
MatchMover,MatchMover
mesh,síť
mesher,generátor sítě
Meshmixer,Meshmixer
MUD,MUD
Mudbox,Mudbox
NTSC,NTSC
OBJ,OBJ
opacity,neprůhlednost
OpenEXR,OpenEXR
ray tracing,sledování paprsků
reflection map,mapa odrazů
sample point,bod vzorku
secondary joint,pomocný spoj
slope-offset-power,funkce SOP
SMPTE,SMPTE
SOP,SOP
superimposed profile,překrytý profil
surface trimming,oříznutí povrchu
universal manipulator,univerzální manipulátor
