source,target
Admin Settings,Configuración de administración
alpha-blend,combinación alfa
angular speed,velocidad angular
Autodesk Masters award,premio Autodesk Masters
Autodesk Masters Program,Programa Autodesk Masters
axis offset,desfase de ejes
bake,tostar
binary large object,objeto grande binario
bind pose,asignación de posturas
blend mode,modo de fusión
blend surface,superficie de fusión
bounding box,cuadro delimitador
brush,pincel
bulge,curvatura
bump,relieve
bump map,mapa de relieve
camera,cámara
character large object,objeto de carácter grande
CLOB,CLOB
closed edge,aristas cerradas
constrained object,objeto con restricciones
control vertex,vértice de control
control vertex hull,rejilla de vértices de control
control vertices hull,rejilla de vértices de control
convex,convexo
coordinate reference system,sistema de referencia de coordenadas
CV hull,rejilla de vértices de control
depth of field,profundidad de campo
digital elevation model,modelo digital de elevación
displacement scale,escala de desplazamiento
DOF,DOF
elevation axis,eje de elevación
eyedropper,cuentagotas
fillet,empalme
frame,fotograma
frame rate,velocidad de fotogramas
full-body inverse kinematics,cinemática inversa de cuerpo completo
hardware shader,sombreador de hardware
i-drop target,destino de i-drop
isoparm,línea isoparamétrica
knuckle,sobreancho
layer,capa
level,nivel
linear array,matriz lineal
mesh,malla
mesher,generador de mallas
NTSC,NTSC
opacity,opacidad
ray tracing,trazado de rayos
reflection map,mapa de reflexión
sample point,punto de muestreo
slope-offset-power,pendiente-compensación-potencia
SMPTE,SMPTE
SOP,SOP
stencil,troquel
superimposed profile,perfil superpuesto
surface trimming,recorte de superficie
universal manipulator,Manipulador universal
