source,target
alpha-blend,sangramento alfa
angular speed,velocidade angular
Autodesk Masters award,prêmio Autodesk Masters
Autodesk Masters Program,programa Autodesk Masters
Autodesk Retopology Tools for 3ds Max,Autodesk Retopology Tools for 3ds Max
axis offset,deslocamento do eixo
bake,incorporar
Big New Better,Big New Better
Big New Max,Big New Max
Big New Maya,Big New Maya
binary large object,objeto binário grande
bind pose,pose de associação
blend mode,modo de mesclagem
blend surface,superfície de mescla
bounding box,caixa delimitadora
brush,pincel
bulge,convexidade
bump,saliência
bump map,mapa de textura
bump mapping,mapeamento de textura
camera,câmera
character large object,conjunto de dados de caracteres
CLOB,CLOB
closed edge,aresta fechada
constrained object,objeto restrito
control vertex,vértice de controle
control vertices hull,cobertura do vértice de controle
convex,convexo
coordinate reference system,sistema de referência de coordenadas
depth of field,profundidade do campo
displacement scale,escala de deslocamento
dithering,pontilhamento
DOF,DOF
Driven,Direcionado
elevation axis,eixo de elevação
eyedropper,conta-gotas
fillet,arredondamento
Filmbox,Filmbox
flyout,submenu
fly-out,submenu
fragment,fragmento
frame,quadro
frame rate,taxa de quadros
full-body inverse kinematics,cinemática inversa de corpo inteiro
hardware shader,sombreador de hardware
isoparm,isoparm
layer,camada
linear array,matriz linear
MatchMover,MatchMover
mesh,malha
mesher,criador de malha
Meshmixer,Meshmixer
modifier,modificador
MUD,MUD
Mudbox,Mudbox
NTSC,NTSC
OBJ,OBJ
opacity,opacidade
OpenEXR,OpenEXR
Particle View,Vista de partículas
Pivot,Giro
ray tracing,tracejamento de raio
reflection map,mapa de reflexão
retopology,retopologia
retopology mesh,malha de retopologia
retopology modifier,modificador de retopologia
retopology process,processo de retopologia
retopology tools,ferramentas de retopologia
Safe Frame,Quadro seguro
seat,licença
slope-offset-power,slope-offset-power
SMPTE,SMPTE
SOP,SOP
spline knot,nó curvado
stencil,estêncil
surface trimming,corte de superfície
threshold,limite
Triangulate Cap,Limite de triangulação
universal manipulator,manipulador universal
