source,target
“开始”选项卡,Start tab
“快速”选项,quick option
“跟踪” 选项板,trace palette
ACA,ACA
ACS,ACS
ACTM,ACTM
AEC 对象,AEC object
ALKIS,ALKIS
Alpha 混合,alpha-blend
ARG,ARG
Associative QDIM extension,Associative QDIM extension
ATIL,ATIL
AutoCAD - 我的见解,My Insights for AutoCAD
AutoCAD Electrical Turing BetaAutoCAD Electrical Turing Beta,AutoCAD Electrical Turing Beta
AutoCAD 块,AutoCAD block
AutoCAD 移动版,AutoCAD Mobile
AutoCAD 颜色索引,AutoCAD color index
Autodesk - 我的见解,My Insights from Autodesk
Autodesk Assistant,Autodesk Assistant
Autodesk DWG TrueView Sequoia,DWG TrueView
Autodesk 制造业社区门户,Autodesk Manufacturing Community Portal
AutoLISP Project Files,AutoLISP
AutoLISP 开发,AutoLISP development
AutoLISP 环境,AutoLISP environment
BDA,BDA
BLOB,BLOB
BLOCKMRULIST,BLOCKMRULIST
BLOCKNAVIGATE,BLOCKNAVIGATE
BLOCKSPALETTE,BLOCKSPALETTE
BLOCKSPALETTECLOSE,BLOCKSPALETTECLOSE
BREAKATPOINT,BREAKATPOINT
BYBLOCK,BYBLOCK
BYLAYER,BYLAYER
Catmull-Clark 细分曲面,Catmull-Clark subdivision surface
CHAR,CHAR
CLASSICINSERT,CLASSICINSERT
CLOB,CLOB
COMPARECLOSE,COMPARECLOSE
COMPAREEXPORT,COMPAREEXPORT
COMPAREIMPORT,COMPAREIMPORT
COUNT,COUNT
COUNTCLOSE,COUNTCLOSE
COUNTFIELD,COUNTFIELD
COUNTLIST,COUNTLIST
COUNTNAVNEXT,COUNTNAVNEXT
COUNTNAVPREV,COUNTNAVPREV
COUNTTABLE,COUNTTABLE
CRS,CRS
CSS,CSS
CUI 编辑器,CUI editor
CV,CV
CWFU,CWFU
DCM 引擎,DCM Engine
DEFPOINTS,DEFPOINTS
Design Review,Design Review
Design Web Format,Design Web Format
Digital Signature Extension,Digital Signature Extension
DMS,DMS
DOF,DOF
DPI,DPI
Drawing Interchange Format,Drawing Interchange Format
DTED,DTED
Dump,dump
DWF,DWF
DWG Convert,DWG Convert
DWG TrueConvert,DWG TrueConvert
DWGCONVERT,DWGCONVERT
DWGHISTORY,DWGHISTORY
DWGHISTORYCLOSE,DWGHISTORYCLOSE
DXF,DXF
EPSG 代码,EPSG code
ESW,ESW
EXPORTLAYOUT,EXPORTLAYOUT
Extensible Markup Language,Extensible Markup Language
Extensible Stylesheet Language,Extensible Stylesheet Language
FDO,FDO
FG,FG
Google Earth,Google Earth
ICE,ICE
INSERTCONTENT,INSERTCONTENT
INSERTDRAWINGASBLOCK,INSERTDRAWINGASBLOCK
ISA,ISA
ISO,iso
Keyhole Markup Language,Keyhole Markup Language
KML,KML
KMZ,KMZ
LISP 文件,lisp file
Live Enabler,Live Enabler
MAKELISPAPP,MAKELISPAPP
MAKEPREVIEW,MAKEPREVIEW
MDE,MDE
mental ray,mental ray
mental ray 渲染引擎,mental ray rendering engine
MEP,MEP
MLD,MLD
NANT,NANT
NBA,NBA
NCLOB,NCLOB
NPR,NPR
NURBS 曲面,NURBS surface
ObjectARX,ObjectARX
OEM 制作向导,OEM Make Wizard
Ohm,Ohm
OPENFROMWEBMOBILE,OPENFROMWEBMOBILE
OrthoCube,orthocube
P&ID,P&ID
PIP,PIP
PLY,PLY
PolarSnap,PolarSnap
Project Simulus,Project Simulus
PUSHTODOCSCLOSE,PUSHTODOCSCLOSE
PUSHTODOCSOPEN,PUSHTODOCSOPEN
REVCLOUDPROPERTIES,REVCLOUDPROPERTIES
ShapeManager,ShapeManager
SHARE,SHARE
SketchUp,SketchUp
SSM,SSM
TEXTALIGN,TEXTALIGN
TRACEBACK,TRACEBACK
TRACEFRONT,TRACEFRONT
TRACEPALETTECLOSE,TRACEPALETTECLOSE
TRACEPALETTEOPEN,TRACEPALETTEOPEN
UV 空间,UV space
VERSIONCOMPARE,VERSIONCOMPARE
VLIDE 命令,VLIDE command
Volo View Express,Volo View Express
VPEDIT,VPEDIT
WCS,WCS
Web 地图服务,web mapping service
XAML 对话框,XAML dialog
XCOMPARE,XCOMPARE
XCOMPARECLOSE,XCOMPARECLOSE
XCOMPARERCNEXT,XCOMPARERCNEXT
XCOMPARERCPREV,XCOMPARERCPREV
XSL,XSL
三维旋转小控件,3D Rotate gizmo
三维缩放小控件,3D Scale gizmo
三角化,triangulate
上划线,overline
上游,upstream
不可缩放,zoom invariant
不等于,Not Equal
不透明度,opacity
世界坐标系,World Coordinate System
世界空间,world space
东距,easting
两色图像,bitonal image
中值,median
中和器,neutralizer
中心标记,center mark
中心点,center point
中心线,center line
中断循环,break loop
中点,midpoint
主要,Primary
主题,topic
了解 AutoCAD 2010,Learning AutoCAD 2010
事务,transaction
二进制大对象,binary large object
交互式创建与编辑,Interactive Create & Edit
交叠填充,winding fill
从动约束,driven constraint
仪表,meter
仪表区,meter area
仪表模型,meter model
优化,refinement
传递包,transmittal package
传递设置,transmittal setup
位置,location
位置查找器,position finder
位置点,position point
低压配电盘,LV board
供应区,supply zone
依赖亮显,dependency highlighting
保护装置,protective
信号代号,SIGCODE
信号箭头,signal arrow
信息频道,information channel
修剪,trim
修补,patch
修补曲面,patch surface
修补程序列表,patch list
俯视图,top view
倾斜,taper
倾斜角度,oblique angle
假定管嘴,assumed nozzle
停止条件,stop condition
元件类别,component class
光域网文件,web file
光域网灯光,web light
光子贴图,photon map
全周边符号,all-around symbol
全景,panorama
全面搜索,flat search
八分圆,octant
公差,tolerance
公用事业,utility
共线约束,colinear constraint
关注的文件夹,watched folder
关联注释,linked annotation
关联阵列,associative array
内容包,content pack
内部接线,internal destination
冷夹点,cold grip
冷水卫浴装置当量,cold water fixture unit
几何约束,geometric constraint
凸度因子,bulge factor
凸起,bulge
凹凸,bump
出水口,outfall
刀具路径,toolpath
分布式渲染,distributed rendering
分组 BOM 表行,grouped BOM row
制造商,manufacturer
前向剪裁平面,front clipping plane
剖切线,cutting line
剖面图中的地形点,Terrain Point Pro
剖面定义设计器,profile designer
剪裁平面,clipping plane
剪裁范围,clip volume
功能区命令定位器,Ribbon Command Locator
功能区面板,ribbon panel
功能性,functionality
加工等轴测图形,production isometric drawing
加载的标准,loaded standard
动态示意图,dynamic schematic drawing
