source,target
3D 移動控點,3D Move gizmo
3D 旋轉控點,3D Rotate gizmo
3D 縮放控點,3D Scale gizmo
ACS,ACS
ACTM,ACTM
對齊標註,Aligned Dimension
對齊剖面視圖,aligned section view
ALKIS,ALKIS
全周符號,all-around symbol
alpha 混成,alpha-blend
對照單位,alternate unit
測高法,altimetry
AMSHIDE,AMSHIDE
解析表面,analytical surface
偏折角度,angle of deflection
註解,annotation
註解約束,annotational constraint
可註解物件,annotative object
陽極,anode
陽極測站,anode station
外觀型式,appearance style
弧,arc
弧分段,arc segmentation
弧弦距離,arc-chord distance
ARG,ARG
組合萃取樣板,assembly extraction template
Associative QDIM extension,Associative QDIM extension
ATIL,ATIL
AutoCAD 顏色索引,AutoCAD color index
AutoCAD 行動版,AutoCAD Mobile
AutoCAD Mobile 應用程式,Autocad Mobile app
自動完成,AutoComplete
Autodesk Assistant,Autodesk Assistant
Autodesk 製造業社群入口網站,Autodesk Manufacturing Community Portal
AutoLISP 開發,AutoLISP development
AutoLISP 環境,AutoLISP environment
輔助座標系統,auxiliary coordinate system
軸偏移,axis offset
方位角,azimuth
逆止閥,backwater gate
球磨機,ball mill
基準點,base point
基準線,baseline
批次標準檢查器,Batch Standards Checker
鮑率,baud rate
BDA,BDA
低於地平面,below grade
斜切,bevel
材料表,bill of materials
二進位大型物件,binary large object
黑白影像,bitonal image
混合模式,blend mode
混成曲面,blend surface
BLOB,BLOB
圖塊建立物件,block authoring object
圖塊資源庫,block library
圖塊性質表,block properties table
圖塊取代,block replacement
BLOCKMRULIST,BLOCKMRULIST
BLOCKNAVIGATE,BLOCKNAVIGATE
BLOCKSPALETTE,BLOCKSPALETTE
BLOCKSPALETTECLOSE,BLOCKSPALETTECLOSE
進氣洩壓閥,blow off valve
BOM,BOM
布林,boolean
有邊界的區域,bounded area
邊界區域,bounding area
邊界方塊,bounding box
分支電路,branch circuit
切斷,break
截斷迴路,break loop
BREAKATPOINT,BREAKATPOINT
拆解線,break-out line
凸度,bulge
凸度係數,bulge factor
批量複製,bulk copy
凸紋,bump
匯流排,bus bar
電纜架,cable tray
電纜架配件,cable tray fitting
相機校準,camera calibration
相機圖像,camera glyph
畫布,canvas
末端收頭,cap
收頭圓角處理,cap filleting
大寫字高,cap height
電容器,capacitor
階層型式表,Cascading Style Sheets
套管,casing
套管型號,casing model
Catmull-Clark 細分曲面,Catmull-Clark subdivision surface
中心線,center line
中心標記,center mark
中心點,center point
倒角,chamfer
CHAR,CHAR
角色大型物件,character large object
卡方,chi square
子圖徵類別,child feature class
電影式快照,cinematic shot
扣環,circlip
電路圖,circuitry
CLASSICINSERT,CLASSICINSERT
截取體積,clip volume
CLOB,CLOB
封閉邊,closed edge
代碼組合,code combination
COGO,COGO
冷掣點,cold grip
冷水裝置單元,cold water fixture unit
共線約束,colinear constraint
核對,collate
集合,collection
混合使用電力和熱力的發電站,combined electric and heat generating station
燃燒室,combustion chamber
粉碎機,comminuting machine
COMPARECLOSE,COMPARECLOSE
COMPAREEXPORT,COMPAREEXPORT
COMPAREIMPORT,COMPAREIMPORT
元件清單,component list
複合實體,composite solid
複合符號,compound symbol
壓縮,compression
計算長度,computed length
同圓心,concentric
導體,conductor
導管,conduit
導管配件,conduit fitting
連接線,connector line
連接器接腳,connector pin
受約束的物件,constrained object
約束列,constraint bar
約束參數,constraint parameter
約束點,constraint point
約束變數,constraint variable
建構線,construction line
圖庫,content library
內容套件,content pack
控制箱,control cabinet
控制電纜,control cable
控制關聯線,control hull
控制點,control point
控制頂點,control vertex
控制頂點關聯線,control vertices hull
座標參考系統,coordinate reference system
座標系統追蹤器,coordinate system tracker
角點,corner point
COUNTCLOSE,COUNTCLOSE
COUNTFIELD,COUNTFIELD
COUNTLIST,COUNTLIST
COUNTLISTCLOSE,COUNTLISTCLOSE
COUNTNAVNEXT,COUNTNAVNEXT
COUNTNAVPREV,COUNTNAVPREV
COUNTTABLE,COUNTTABLE
覆蓋區域,covering area
CRC,CRC
縐摺,crease
斷面,cross section
斷面管道,cross section duct
CRS,CRS
CS 資源庫,CS library
CSS,CSS
CUI 編輯器,CUI editor
目前目錄,current directory
曲率分析,curvature analysis
客戶錯誤報告,Customer Error Reporting
客戶支援,customer support
割面線,cutting line
CV,CV
CV 關聯線,CV hull
CWFU,CWFU
DCM 引擎,DCM Engine
固定接合符號,dead joint symbol
裝飾元素,decorative element
度/分/秒,degrees minutes seconds
相依性亮顯,dependency highlighting
景深,depth of field
深度多邊形,depth polygon
Design Review,Design Review
Design Web Format,Design Web Format
直徑,diameter
漫射貼圖,diffuse map
數位高程模型,digital elevation model
Digital Signature Extension,Digital Signature Extension
數位高程地形資料,digital terrain elevation data
數位板指標,digitizer puck
數位板,digitizing tablet
標註線,dimension line
廢水槽,disposal tank
距離偏移,distance offset
分散式彩現,distributed rendering
調色,dithering
DMS,DMS
停靠,dock
DOF,DOF
每英吋點數,dots per inch
DPI,DPI
拔模分析,draft analysis
排水區域,drain area
圖面資料夾,drawing folder
Drawing Interchange Format,Drawing Interchange Format
圖面清單報告,drawing list report
圖面管理員,Drawing Manager
從動約束,driven constraint
主動標註,driving dimension
DTED,DTED
風管配件,duct fitting
轉儲,dump
DWF,DWF
DWG Convert,DWG Convert
DWG TrueConvert,DWG TrueConvert
DWGCONVERT,DWGCONVERT
DWGHISTORY,DWGHISTORY
DWGHISTORYCLOSE,DWGHISTORYCLOSE
DXF,DXF
動態約束,dynamic constraint
東距,easting
現地編輯,edit in place
頂出裝置,ejector
彎頭,elbow
電力總管,Electric Explorer
高程,elevation
高程偏移,elevation offset
省略,elide
嵌入,embed
發射器,emitter
終點,end point
增強型次視窗,enhanced secondary window
增強的檢視器,enhanced viewer
環境貼圖,environment map
EPSG 代碼,EPSG code
ESW,ESW
評估版,evaluation version
表示式建置器,Expression Builder
延伸說明檔,extended help file
Extensible Markup Language,Extensible Markup Language
Extensible Stylesheet Language,Extensible Stylesheet Language
延伸線,extension line
外部參考,external reference
外部參考管理員,External Reference Manager
刻面,facet
設施,facility
FDO,FDO
圖徵類別,feature class
圖徵容器,feature container
特徵控制框,feature control frame
圖徵資料物件,Feature Data Object
圖徵總管,Feature Explorer
饋線,feeder
FG,FG
FID,FID
現場匯流排,field bus
現場配合,field fit
填滿樣式,fill pattern
圓角,fillet
過濾床,Filtration Bed
最終聚集,final gathering
擬合點,fit point
配件,fitting
平面搜尋,flat search
流動方向,flow direction
齊平約束,flush constraint
收闔面板,fold panel
污水,foul water
畫面,frame
畫面速率,frame rate
自由形式設計,freeform design
保險絲,fuse
連綴,fuzz
大地路網點,geodetic network point
大地轉換,geodetic transformation
幾何約束,geometric constraint
地理空間資訊,geospatial information
控點,gizmo
谷氏描影,Gooch shading
漸層,gradient ramp
整地計畫,grading plan
隔油槽,grease trap
掣點,grip
掣點鏡射,grip mirror
掣點旋轉,grip rotate
掣點比例,grip scale
沉沙池,grit chamber
接地,ground
地下水,ground water
群組原則物件,Group Policy Object
探孔,handhole
硬體描影程式,hardware shader
填充線樣式,hatch pattern
水平連字線,horizontal landing
主,host
熱掣點,hot grip
熱水裝置單元,hot water fixture unit
房屋接頭,house connector
i-drop 指標,i-drop Indicator
i-drop 目標,i-drop target
照度距離,illuminance distance
內附窗框,implied windowing
圖元區工具,in-canvas tool
包含角度,included angle
索引顏色,index color
產業模型,industry model
推論約束,infer constraints
資訊頻道,information channel
輸入類型,input type
插入,insert
INSERTCONTENT,INSERTCONTENT
INSERTDRAWINGASBLOCK,INSERTDRAWINGASBLOCK
檢驗標註,inspection dimension
安裝代碼,installation code
實例,instance
互動式建立與編輯,Interactive Create & Edit
干涉檢查,interference check
內部目標,internal destination
線性反比,inverse linear
平方反比,inverse square
ISA,ISA
絕緣體,isolator
等角,isometric
結構線,isoparm
接頭,junction
Keyhole Markup Language,Keyhole Markup Language
扭折,kink
KML,KML
KMZ,KMZ
節點參數,knot parameterization
節點向量,knot vector
標示圖塊,label block
污水塘,lagoon
土地管理,land management
語言套件,language pack
緯度,latitude
啟動台,Launchpad
圖層,layer
圖層狀態,layer state
研習 AutoCAD 2010,Learning AutoCAD 2010
平滑度等級,level of smoothness
授權警示,license alert
避雷器,lightning arrester
線條合併,line merge
線串,line string
線性陣列,linear array
線性標註,linear dimension
線型,linetype
接頭盒,link box
lisp 檔案,lisp file
Live Enabler,Live Enabler
即時剖面,live section
荷載,load
有載分接頭轉換器,load tap changer
位置,location
經度,longitude
基地,lot
低電壓板,LV board
MAKELISPAPP,MAKELISPAPP
MAKEPREVIEW,MAKEPREVIEW
人孔,manhole
歧管,manifold
製造商,manufacturer
標記,markup
標記集,markup set
標記集管理員,Markup Set Manager
貼合約束,mate constraint
MDE,MDE
測量長度,measured length
測量,measurement
測量錯誤,measurement error
平均值,median
mental ray,mental ray
mental ray 彩現引擎,mental ray rendering engine
MEP,MEP
合併,merge
網面,mesh
計量器,meter
計量器區域,meter area
計量器型號,meter model
中點,midpoint
移轉記錄檔,migration log file
小型傾印,minidump
最小擴展樹,minimum spanning tree
鏡射線,mirror line
MLD,MLD
多重引線物件,mleader object
模型參數,model parameter
模型空間,model space
馬達,motor
多語言字典,Multi Language Dictionary
多功能掣點,multi-functional grip
多語言使用者介面,multilanguage user interface
多重地圖,multi-map
多重電路,multiple circuits
多重設計環境,Multiple Design Environment
多重關係,multi-relation
多圖紙,multi-sheet
多重視圖零件,MvPart
AutoCAD - 我的見解,My Insights for AutoCAD
Autodesk - 我的見解,My Insights from Autodesk
名稱號碼,Name Number
