source,target
manipulátor 3D přesunu,3D Move gizmo
manipulátor 3D rotace,3D Rotate gizmo
manipulátor 3D měřítka,3D Scale gizmo
3DSROVNEJ,3DALIGN
3DPOLE,3DARRAY
3DOŘEŽ,3DCLIP
3DPORBIT,3DCORBIT
3DVZD,3DDISTANCE
3DDWF,3DDWF
PUBLIK3DDWF,3DDWFPUBLISH
3DEDITBAR,3DEDITBAR
3DPLOCHA,3DFACE
3DPRŮLET,3DFLY
3DVORBIT,3DFORBIT
3DSÍŤ,3DMESH
3DPOSUN,3DMOVE
3DORBIT,3DORBIT
3DORBITCTR,3DORBITCTR
3DORBITTRANSPARENT,3DORBITTRANSPARENT
3DUCHOP,3DOSNAP
-3DUCHOP,-3DOSNAP
3DPP,3DPAN
3DPANTRANSPARENT,3DPANTRANSPARENT
3DKŘIVKA,3DPOLY
3DTISK,3DPRINT
SLUŽBA3DTISKU,3DPRINTSERVICE
3DOTOČ,3DROTATE
3DMĚŘÍTKO,3DSCALE
ČTI3DS,3DSIN
3DCÍL,3DSWIVEL
3DNÁKLONTRANSPARENT,3DSWIVELTRANSPARENT
3DPROCH,3DWALK
3DZOOM,3DZOOM
3DZOOMTRANSPARENT,3DZOOMTRANSPARENT
ACADBLOCKDIALOG,ACADBLOCKDIALOG
ACADINFO,ACADINFO
ACADWBLOCKDIALOG,ACADWBLOCKDIALOG
ČTIACIS,ACISIN
PIŠACIS,ACISOUT
PSS,ACS
REFBODAKCE,ACTBASEPOINT
ZAVŘIPŘEHLEDAKTIVIT,ACTIVITYINSIGHTSCLOSE
OTEVŘIPŘEHLEDAKTIVIT,ACTIVITYINSIGHTSOPEN
ACTM,ACTM
SPRÁVCEAKCÍ,ACTMANAGER
ZÁZNAMAKCE,ACTRECORD
STOPAKCE,ACTSTOP
UŽIVZADÁNÍ,ACTUSERINPUT
UŽIVZPRÁVA,ACTUSERMESSAGE
ADC,ADC
ADCZAVŘI,ADCCLOSE
ADCUŽIVNAVIGACE,ADCCUSTOMNAVIGATE
ADCENTER,ADCENTER
ADCNAVIGACE,ADCNAVIGATE
ADDSELECTED,ADDSELECTED
AI_CIRCTAN,AI_CIRCTAN
AI_PSPACE,AI_PSPACE
AIDIMPREC,AIDIMPREC
AIDIMSTYLE,AIDIMSTYLE
AIDIMTEXTMOVE,AIDIMTEXTMOVE
ALIASEDIT,ALIASEDIT
zarovnaný řez,aligned section view
ALIGNSPACE,ALIGNSPACE
ALKIS,ALKIS
značka obvodového svaru,all-around symbol
PŘEHRÁTVŠE,ALLPLAY
alfa přechod,alpha-blend
alternativní jednotky,alternate unit
měření výšek,altimetry
AMEPŘEVOD,AMECONVERT
ANALÝZAZAKŘIVENÍ,ANALYSISCURVATURE
ANALÝZAÚKOSU,ANALYSISDRAFT
MOŽNOSTIANALÝZY,ANALYSISOPTIONS
ANALÝZAHLADKOSTI,ANALYSISZEBRA
analytický povrch,analytical surface
úhel odklonění,angle of deflection
ANIMDRÁHU,ANIPATH
POZNOBNOV,ANNORESET
poznámka,annotation
vazba s poznámkou,annotational constraint
POZNAKT,ANNOUPDATE
anoda,anode
anodová stanice,anode station
APLAUTONAČTENÍ,APPAUTOLOADER
styl vzhledu,appearance style
APLČTI,APPLOAD
OBLOUK,ARC
segmentace oblouku,arc segmentation
vzdálenost oblouk-tětiva,arc-chord distance
ARCTEXT,ARCTEXT
PLOCHA,AREA
ARG,ARG
POLE,ARRAY
POLESTARŠÍ,ARRAYCLASSIC
ZAVŘIPOLE,ARRAYCLOSE
EDITPOLE,ARRAYEDIT
KŘIVPOLE,ARRAYPATH
POLÁRPOLE,ARRAYPOLAR
OBDPOLE,ARRAYRECT
ARX,ARX
výkres sestavy,assembly drawing
šablona extrakce sestavy,assembly extraction template
ASISTENTZAVŘI,ASSISTANTCLOSE
ASISTENTOTEVŘI,ASSISTANTOPEN
ATEXT,ATEXT
ATIL,ATIL
PŘIPOJURL,ATTACHURL
ATRDEF,ATTDEF
ATRDISP,ATTDISP
ATREDIT,ATTEDIT
ATREXT,ATTEXT
ATTIN,ATTIN
ATRPEDIT,ATTIPEDIT
ATTOUT,ATTOUT
ATTREDEF,ATTREDEF
ATRSYNCHR,ATTSYNC
Index barev aplikace AutoCAD,AutoCAD color index
AutoCAD Migration Assistance,AutoCAD Migration Assistance
Mobilní AutoCAD,AutoCAD Mobile
automatické dokončování,AutoComplete
AUTOVAZBY,AUTOCONSTRAIN
Autodesk Assistant,Autodesk Assistant
Autodesk Content Explorer,Autodesk Content Explorer
portál Autodesk Manufacturing Community,Autodesk Manufacturing Community Portal
AUTODESKCONNECTIONPOINT,AUTODESKCONNECTIONPOINT
vývojové prostředí AutoLISP,AutoLISP development
prostředí AutoLISP,AutoLISP environment
AUTOPUBLIKUJ,AUTOPUBLISH
pomocný souřadnicový systém,auxiliary coordinate system
odsazení osy,axis offset
azimut,azimuth
POZADÍ,BACKGROUND
AKCEBLOKU,BACTION
BPANELAKCÍ,BACTIONBAR
MNOŽAKCEBLOKU,BACTIONSET
NÁSTROJAKCEBLOKU,BACTIONTOOL
kulová fréza,ball mill
SDRUŽBLOK,BASSOCIATE
Dávková kontrola standardů,Batch Standards Checker
SPRBLOKU,BATTMAN
POŘATRBLOKU,BATTORDER
přenosová rychlost,baud rate
PALBLOKU,BAUTHORPALETTE
ZAVŘIPALBLOK,BAUTHORPALETTECLOSE
ZAVŘIEDBLOK,BCLOSE
BKONSTRUKCE,BCONSTRUCTION
BCOUNT,BCOUNT
PARAMETRBV,BCPARAMETER
POŘCYKLPROCHBLOK,BCYCLEORDER
BDA,BDA
