source,target
3D-Verschieben-Gizmo,3D Move gizmo
3D-Drehen-Gizmo,3D Rotate gizmo
3D-Skalieren-Gizmo,3D Scale gizmo
3DAUSRICHTEN,3DALIGN
3DREIHE,3DARRAY
3DSCHNITT,3DCLIP
3DORBITFORTL,3DCORBIT
3DENTFERNUNG,3DDISTANCE
3DDWF,3DDWF
3DDWFPUBL,3DDWFPUBLISH
3DBEARBLEISTE,3DEDITBAR
3DFLÄCHE,3DFACE
3DFLUG,3DFLY
3DFORBIT,3DFORBIT
3DNETZ,3DMESH
3DSCHIEBEN,3DMOVE
3DORBIT,3DORBIT
3DORBITCTR,3DORBITCTR
3DORBITTRANSP,3DORBITTRANSPARENT
3DOFANG,3DOSNAP
3DPAN,3DPAN
3DPANTRANSPARENT,3DPANTRANSPARENT
3DPOLY,3DPOLY
3DDRUCK,3DPRINT
3DDRUCKSERVICE,3DPRINTSERVICE
DREHEN3D,3DROTATE
3DSKAL,3DSCALE
3DSIN,3DSIN
3DSCHWENKEN,3DSWIVEL
3DSCHWENKTRANSP,3DSWIVELTRANSPARENT
3DNAV,3DWALK
3DZOOM,3DZOOM
3DZOOMTRANSPARENT,3DZOOMTRANSPARENT
ACADBLOCKDIALOG,ACADBLOCKDIALOG
ACADINFO,ACADINFO
ACADWBLOCKDIALOG,ACADWBLOCKDIALOG
ACISIN,ACISIN
ACISOUT,ACISOUT
HKS,ACS
AKTAUSGPUNKT,ACTBASEPOINT
Aktionseditor,action editor
AKTIVEINBLICKESCHL,ACTIVITYINSIGHTSCLOSE
AKTIVEINBLICKEÖFFN,ACTIVITYINSIGHTSOPEN
AKTMANAGER,ACTMANAGER
AKTREKORD,ACTRECORD
AKTSTOP,ACTSTOP
AKTBENEING,ACTUSERINPUT
AKTMELD,ACTUSERMESSAGE
ADC,ADC
ADCSCHLIESSEN,ADCCLOSE
ADCBENUTZNAVIG,ADCCUSTOMNAVIGATE
ADCENTER,ADCENTER
ADCNAVIGIEREN,ADCNAVIGATE
ADDSELECTED,ADDSELECTED
AEC-Inhalte,AEC content
AEC-Element,AEC entity
AEC-Objekt,AEC object
AI_CIRCTAN,AI_CIRCTAN
AI_PSPACE,AI_PSPACE
AIDIMPREC,AIDIMPREC
AIDIMSTYLE,AIDIMSTYLE
AIDIMTEXTMOVE,AIDIMTEXTMOVE
ALIASEDIT,ALIASEDIT
Ausgerichtete Bemaßungen,Aligned Dimension
Ausgerichtete Schnittansicht,aligned section view
ALIGNSPACE,ALIGNSPACE
ALKIS,ALKIS
Kreissymbol,all-around symbol
ALLEABSP,ALLPLAY
Alpha-Blending,alpha-blend
Alternativeinheit,alternate unit
AMEKONVERT,AMECONVERT
ANALYSEKRÜMMUNG,ANALYSISCURVATURE
ANALYSEFORMSCHRÄGE,ANALYSISDRAFT
ANALYSEOPTIONEN,ANALYSISOPTIONS
ANALYSEZEBRA,ANALYSISZEBRA
berechnete Oberfläche,analytical surface
Winkeltoleranz,angle of deflection
ANIPFAD,ANIPATH
BESCHRZURÜCK,ANNORESET
Anmerkung,annotation
Beschriftungsabhängigkeit,annotational constraint
Beschriftungsobjekt,annotative object
BESCHRAKT,ANNOUPDATE
cinematic shot,anode
circular pitch,anode station
ÖFFNUNG,APERTURE
ANWAUTOLADER,APPAUTOLOADER
Darstellungsstil,appearance style
APPLOAD,APPLOAD
Bogenlänge,Arc Length
Bogenradius,Arc radius
Bogensegmentierung,arc segmentation
Bogen-Sehnen-Abstand,arc-chord distance
ARCHIV,ARCHIVE
ARCTEXT,ARCTEXT
Flächenwert,area value
ARG,ARG
REIHEKLASS,ARRAYCLASSIC
REIHESCHL,ARRAYCLOSE
REIHEBEARB,ARRAYEDIT
REIHEPFAD,ARRAYPATH
REIHEKREIS,ARRAYPOLAR
REIHERECHTECK,ARRAYRECT
ARX,ARX
Extraktionsvorlage für Baugruppe,assembly extraction template
ASSISTENTSCHL,ASSISTANTCLOSE
ASSISTENTÖFFN,ASSISTANTOPEN
assoziative Anordnung,associative array
Associative QDIM extension,Associative QDIM extension
angenommener Stutzen,assumed nozzle
ATIL,ATIL
URLANHÄNG,ATTACHURL
ATTDEF,ATTDEF
ATTZEIG,ATTDISP
ATTEDIT,ATTEDIT
ATTEXT,ATTEXT
ATTIN,ATTIN
ATTDIRBEARB,ATTIPEDIT
ATTOUT,ATTOUT
ATTREDEF,ATTREDEF
ATTSYNC,ATTSYNC
AutoCAD-Farbindex,AutoCAD color index
AutoCAD mobil,AutoCAD Mobile
AutoCAD-Mobile-App,Autocad Mobile app
automatische Vervollständigung,AutoComplete
AUTOABHÄNG,AUTOCONSTRAIN
Autodesk Assistant,Autodesk Assistant
Autodesk Manufacturing Community Portal,Autodesk Manufacturing Community Portal
AUTODESKCONNECTIONPOINT,AUTODESKCONNECTIONPOINT
AutoLISP-Entwicklung,AutoLISP development
AutoLISP-Umgebung,AutoLISP environment
AUTOPUBL,AUTOPUBLISH
Hilfskoordinatensystem,auxiliary coordinate system
axiale Spannung,axial stress
Axialität,axiality
Azimut,azimuth
HINTERGRUND,BACKGROUND
BAKTION,BACTION
BAKTIONSLEISTE,BACTIONBAR
BAKTIONSATZ,BACTIONSET
BAKTIONTOOL,BACTIONTOOL
Kugelmühle,ball mill
Basispunkt,base point
BVERKNÜPF,BASSOCIATE
Stapelweise Standardsprüfung,Batch Standards Checker
battman,BATTMAN
BATTREIHENF,BATTORDER
Baudrate,baud rate
BERSTPALETTE,BAUTHORPALETTE
BERSTPALETTESCHL,BAUTHORPALETTECLOSE
BSCHL,BCLOSE
BKONSTRUKTION,BCONSTRUCTION
BCOUNT,BCOUNT
BAPARAMETER,BCPARAMETER
BWCHSLREIHENF,BCYCLEORDER
BDA,BDA
BBEARB,BEDIT
unter Bodenhöhe,below grade
BEEINST,BESETTINGS
HV-Naht,bevel groove weld
BEXTEND,BEXTEND
BGRIFFSATZ,BGRIPSET
GSCHRAFF,BHATCH
Binary Large Object,binary large object
bitonales Bild,bitonal image
Verschmelzungsmodus,blend mode
Mischfläche,blend surface
BLOB,BLOB
Blockerstellungsobjekt,block authoring object
Blockdefinition,block definition
Blockbibliothek,block library
Blockeigenschaftentabelle,block properties table
Blockersetzung,block replacement
BLOCKSYMBOL,BLOCKICON
BLOCKNAVIGATE,BLOCKNAVIGATE
BLOCKREPLACE,BLOCKREPLACE
BLOCKDATENOPTION,BLOCKSDATAOPTION
BLOCKPALETTESCHL,BLOCKSPALETTECLOSE
BLOCKTOXREF,BLOCKTOXREF
BABRUFTAB,BLOOKUPTABLE
BMAKE,BMAKE
BMOD,BMOD
BMPSICH,BMPOUT
Stücklistentabelle,BOM grid
UMGRENZUNG,BOUNDARY
umgrenzter Bereich,bounded area
Begrenzungsbereich,bounding area
BPARAMETER,BPARAMETER
GPOLY,BPOLY
Zweigstromkreis,branch circuit
Unterbrechungsschleife,break loop
ANPUNKTBRECH,BREAKATPOINT
BREAKLINE,BREAKLINE
BREP,BREP
BLERSETZEN,BREPLACE
BROWSERSCHL,BROWSERCLOSE
BROWSERÖFFN,BROWSEROPEN
BSPEICH,BSAVE
BSPEICHALS,BSAVEAS
BSCALE,BSCALE
BTABELLE,BTABLE
BTESTBLOCK,BTESTBLOCK
BTRIM,BTRIM
Wölbung,bulge
Wölbungsfaktor,bulge factor
Massenkopie,bulk copy
Relief,bump
Relief-Map,bump map
Oberflächen-Beleuchtungseffekt,bump mapping
Kaufen,Buy
BSICHTBAUSBL,BVHIDE
BSICHTBEINBL,BVSHOW
BSICHTBSTATUS,BVSTATE
VONBLOCK,BYBLOCK
VONLAYER,BYLAYER
Kabeltrasse,cable tray
Kabeltrasse-Formstück,cable tray fitting
KAL,CAL
KAMERA,CAMERA
Kamerakalibrierung,camera calibration
Kamerazeichen,camera glyph
Verbindungsrunden,cap filleting
Versalhöhe,cap height
Einfügepunkt,caret
Cascading Style Sheets,Cascading Style Sheets
Katalog-Browser,catalog browser
Katalognummer,catalog number
Catmull-Clark-Unterteilungsfläche,Catmull-Clark subdivision surface
CDORDER,CDORDER
Mittellinie,center line
Zentrumsmarke,center mark
ZENTRUMLÖS,CENTERDISASSOCIATE
ZENTRUMSLINIE,CENTERLINE
ZENTRUMSMARKIERUNG,CENTERMARK
ZENTRUMNEUVERKNÜPF,CENTERREASSOCIATE
ZENTRUMWIEDERHERSTELL,CENTERRESET
Fase,chamfer
GEFASTEKANTE,CHAMFEREDGE
CHAR,CHAR
Character Large Object,character large object
PRÜFSTANDARDS,CHECKSTANDARDS
EIGÄNDR,CHPROP
BERWECHS,CHSPACE
CHURLS,CHURLS
filmische Ansicht,cinematic shot
Sicherungsring,circlip
KLASSISCHGRUPPE,CLASSICGROUP
KLASSBILD,CLASSICIMAGE
KLASSISCHEINFÜG,CLASSICINSERT
KLASSLAYER,CLASSICLAYER
KLASSXREF,CLASSICXREF
BILDSCHBERAUS,CLEANSCREENOFF
BILDSCHBEREIN,CLEANSCREENON
Schnittvolumen,clip volume
CLIPIT,CLIPIT
Zuschneideebene,clipping plane
CLOB,CLOB
SCHLIESSEN,CLOSE
ALLESCHLIESSEN,CLOSEALL
ALLEANDSCHL,CLOSEALLOTHER
geschlossene Kante,closed edge
Normkombination,code combination
inaktiver Griff,cold grip
Kaltwasser-Sanitärobjekt,cold water fixture unit
Abhängigkeit Kollinear,colinear constraint
sortieren,collate
gruppierte Positionsnummern,collected balloons
Sammlung,collection
FARBE,COLOR
Brennkammer,combustion chamber
BEFEHLSZEILE,COMMANDLINE
BEFEHLSZEILEAUSBL,COMMANDLINEHIDE
BEFEHLSMAKROS,COMMANDMACROS
BEFEHLSMAKROSSCHL,COMMANDMACROSCLOSE
Zerkleinerungsmaschine,comminuting machine
VERGLEICHSCHL,COMPARECLOSE
VERGLEICHEXPORT,COMPAREEXPORT
VERGLEICHIMPORT,COMPAREIMPORT
VERGLEICHINFO,COMPAREINFO
Komponentenliste,component list
zusammengesetzte Volumenkörper,composite solid
