source,target
primitiva de malla 3D,3D mesh primitive
ALINEAR3D,3DALIGN
3DARRAY,3DARRAY
3DDELIM,3DCLIP
DWF3D,3DDWF
PUBLICARDWF3D,3DDWFPUBLISH
3DBARRAEDICION,3DEDITBAR
3DCARA,3DFACE
VUELO3D,3DFLY
3DFORBIT,3DFORBIT
3DMALLA,3DMESH
DESPLAZA3D,3DMOVE
3DORBITA,3DORBIT
3DCTRORBIT,3DORBITCTR
3DORBITATRANS,3DORBITTRANSPARENT
3DREFENT,3DOSNAP
-3DREFENT,-3DOSNAP
3DENCUADRE,3DPAN
3DENCUADRETRANSP,3DPANTRANSPARENT
3DPOL,3DPOLY
IMPRIMIR3D,3DPRINT
SERVICIOIMPR3D,3DPRINTSERVICE
ROTACION3D,3DROTATE
ESCALA3D,3DSCALE
CARGAR3DS,3DSIN
3DPIVOTAR,3DSWIVEL
3DPIVOTARTRANSP,3DSWIVELTRANSPARENT
3DPASEO,3DWALK
3DZOOM,3DZOOM
3DZOOMTRANSP,3DZOOMTRANSPARENT
ACADBLOCKDIALOG,ACADBLOCKDIALOG
ACADINFO,ACADINFO
ACADWBLOCKDIALOG,ACADWBLOCKDIALOG
ACISIN,ACISIN
ACISOUT,ACISOUT
SCA,ACS
ACCIONPUNTOBASE,ACTBASEPOINT
CERRARINFOACTIVIDAD,ACTIVITYINSIGHTSCLOSE
ABRIRINFOACTIVIDAD,ACTIVITYINSIGHTSOPEN
ADMINACCIONES,ACTMANAGER
ACTRECORD,ACTRECORD
ACCIONDETENER,ACTSTOP
ACCIONENTUSU,ACTUSERINPUT
ADC,ADC
CERRARADC,ADCCLOSE
TRASLADPERSADC,ADCCUSTOMNAVIGATE
ADCENTER,ADCENTER
TRASLADADC,ADCNAVIGATE
ADDSELECTED,ADDSELECTED
AJUSTAR,ADJUST
AEC Collection,AEC Collection
entidad AEC,AEC entity
objeto AEC,AEC object
AI_CIRCTAN,AI_CIRCTAN
AI_PSPACE,AI_PSPACE
AIDIMPREC,AIDIMPREC
AIDIMSTYLE,AIDIMSTYLE
AIDIMTEXTMOVE,AIDIMTEXTMOVE
ALIASEDIT,ALIASEDIT
ALINEAR,ALIGN
Cota alineada,Aligned Dimension
vista de sección abatida,aligned section view
ALIGNSPACE,ALIGNSPACE
ALKIS,ALKIS
símbolo sobre todo el contorno,all-around symbol
REPROTODO,ALLPLAY
combinación alfa,alpha-blend
unidad alternativa,alternate unit
CONVERTAME,AMECONVERT
ANALISISCURVATURA,ANALYSISCURVATURE
ANALISISANGULOINCLINACION,ANALYSISDRAFT
OPCIONESANALISIS,ANALYSISOPTIONS
ANALISISCEBRA,ANALYSISZEBRA
superficie analítica,analytical surface
ángulo de desviación,angle of deflection
ANITRAYEC,ANIPATH
RESTABANOT,ANNORESET
anotación,annotation
restricción por anotación,annotational constraint
objeto anotativo,annotative object
ACTUALANOT,ANNOUPDATE
APERTURA,APERTURE
CARGAAUTOAPL,APPAUTOLOADER
estilo de aspecto,appearance style
