source,target
primitif de maillage 3D,3D mesh primitive
gizmo Déplacement 3D,3D Move gizmo
gizmo Rotation 3D,3D Rotate gizmo
gizmo Echelle 3D,3D Scale gizmo
ALIGNER3D,3DALIGN
3DARRAY,3DARRAY
3DDELIM,3DCLIP
3DORBITEC,3DCORBIT
3DDIST,3DDISTANCE
DWF3D,3DDWF
PUBLIERDWF3D,3DDWFPUBLISH
BARREEDITION3D,3DEDITBAR
FACE3D,3DFACE
MOUVEMENT3D,3DFLY
ORBITELIBRE3D,3DFORBIT
3DMAILLE,3DMESH
DEPLACER3D,3DMOVE
ORBITE3D,3DORBIT
CTRORBITE3D,3DORBITCTR
ORBITETRANSPARENTE3D,3DORBITTRANSPARENT
3DACCROBJ,3DOSNAP
-3DACCROBJ,-3DOSNAP
3DPAN,3DPAN
3DPANTRANSPARENT,3DPANTRANSPARENT
POLY3D,3DPOLY
IMPRESS3D,3DPRINT
SERVICEIMPRESSION3D,3DPRINTSERVICE
ROTATION3D,3DROTATE
ECHELLE3D,3DSCALE
CHARG3DS,3DSIN
PIVOT3D,3DSWIVEL
PIVOTTRANSPARENT3D,3DSWIVELTRANSPARENT
NAVIGATION3D,3DWALK
3DZOOM,3DZOOM
3DZOOMTRANSPARENT,3DZOOMTRANSPARENT
ACA,ACA
ACADBLOCKDIALOG,ACADBLOCKDIALOG
ACADINFO,ACADINFO
ACADWBLOCKDIALOG,ACADWBLOCKDIALOG
CHARGACIS,ACISIN
SAUVEACIS,ACISOUT
SCA,ACS
POINTBASEACT,ACTBASEPOINT
FERMERINFOSACTIVITE,ACTIVITYINSIGHTSCLOSE
OUVRIRINFOSACTIVITE,ACTIVITYINSIGHTSOPEN
GESTACTIONS,ACTMANAGER
ENREGACT,ACTRECORD
ARRETACT,ACTSTOP
ENTRUTILACT,ACTUSERINPUT
MESSAGUTILACT,ACTUSERMESSAGE
ADC,ADC
FERMERADC,ADCCLOSE
NAVIGATIONPERSONNALISADC,ADCCUSTOMNAVIGATE
ADCENTER,ADCENTER
NAVIGUERADC,ADCNAVIGATE
ADDSELECTED,ADDSELECTED
REGLAGE,ADJUST
contenu AEC,AEC content
entité AEC,AEC entity
objet AEC,AEC object
AI_CIRCTAN,AI_CIRCTAN
AI_PSPACE,AI_PSPACE
AIDIMPREC,AIDIMPREC
AIDIMSTYLE,AIDIMSTYLE
AIDIMTEXTMOVE,AIDIMTEXTMOVE
ALIASEDIT,ALIASEDIT
ALIGNER,ALIGN
Cote alignée,Aligned Dimension
vue en coupe alignée,aligned section view
ALIGNSPACE,ALIGNSPACE
ALKIS,ALKIS
symbole de périphérie,all-around symbol
LIRETOUT,ALLPLAY
fondu alpha,alpha-blend
unité alternative,alternate unit
AMECONV,AMECONVERT
ANALYSECOURBE,ANALYSISCURVATURE
ANALYSEDEPOUILLE,ANALYSISDRAFT
OPTIONSANALYSE,ANALYSISOPTIONS
ANALYSEZEBRURES,ANALYSISZEBRA
surface analytique,analytical surface
tolérance angulaire,angle of deflection
ANIMTRAJECT,ANIPATH
REDEFANNOT,ANNORESET
contrainte d'annotation,annotational constraint
objet annotatif,annotative object
MAJANNOT,ANNOUPDATE
CHARGEAUTOAPP,APPAUTOLOADER
style d'apparence,appearance style
APPLOAD,APPLOAD
APPSTORE,APPSTORE
ARC,ARC
discrétisation d'arc,arc segmentation
distance arc-corde,arc-chord distance
ARCHIVER,ARCHIVE
ARCTEXT,ARCTEXT
valeur d'aire,area value
ARG,ARG
RESEAUCLASSIQUE,ARRAYCLASSIC
FERMERRESEAU,ARRAYCLOSE
MODIFIERRESEAU,ARRAYEDIT
TRAJECTOIRERESEAU,ARRAYPATH
RESEAUPOLAIRE,ARRAYPOLAR
RESEAURECT,ARRAYRECT
ARX,ARX
gabarit d'extraction d'assemblage,assembly extraction template
FERMERASSISTANT,ASSISTANTCLOSE
OUVRIRASSISTANT,ASSISTANTOPEN
Associative QDIM extension,Associative QDIM extension
piquage associé au montage,assumed nozzle
TXTA,ATEXT
ATIL,ATIL
ATTACHER,ATTACH
ATTACHURL,ATTACHURL
ATTDEF,ATTDEF
ATTECRAN,ATTDISP
ATTEDIT,ATTEDIT
ATTEXTR,ATTEXT
ATTIN,ATTIN
MODIFATTRINSITU,ATTIPEDIT
ATTOUT,ATTOUT
ATTREDEF,ATTREDEF
ATTSYNC,ATTSYNC
CONTROLE,AUDIT
Index des couleurs AutoCAD,AutoCAD color index
saisie automatique,AutoComplete
CONTRAINTEAUTO,AUTOCONSTRAIN
AUTODESKCONNECTIONPOINT,AUTODESKCONNECTIONPOINT
développement AutoLISP,AutoLISP development
environnement AutoLISP,AutoLISP environment
système de coordonnées auxiliaires,auxiliary coordinate system
contrainte axiale,axial stress
azimut,azimuth
ACTIONBLOC,BACTION
BARREACTIONSBLOC,BACTIONBAR
JEUACTIONBLOC,BACTIONSET
OUTILACTIONBLOC,BACTIONTOOL
broyeur à boule,ball mill
point de base,base point
