source,target
3DDISTANZA,3DDISTANCE
3DEDITBAR,3DEDITBAR
3DFACCIA,3DFACE
3DMESH,3DMESH
3DORBITA,3DORBIT
3DORBITACON,3DCORBIT
3DORBITCTR,3DORBITCTR
3DOSNAP,3DOSNAP
-3DOSNAP,-3DOSNAP
3DPAN,3DPAN
3DPANTRASPARENTE,3DPANTRANSPARENT
3DPOLI,3DPOLY
3DRITAGLIO,3DCLIP
3DSIN,3DSIN
3DZOOM,3DZOOM
3DZOOMTRASPARENTE,3DZOOMTRANSPARENT
a più fogli,multi-sheet
ACADBLOCKDIALOG,ACADBLOCKDIALOG
ACADINFO,ACADINFO
ACADWBLOCKDIALOG,ACADWBLOCKDIALOG
accoppiamento sul campo,field fit
ACISIN,ACISIN
ACISOUT,ACISOUT
acquisizione della realtà,reality capture
ACS,ACS
ADC,ADC
ADCCUSTOMNAVIGATE,ADCCUSTOMNAVIGATE
ADCENTER,ADCENTER
ADDSELECTED,ADDSELECTED
AEC Collection,AEC Collection
AFFINAMESH,MESHREFINE
AGGCAMPODATI,UPDATEFIELD
AGGIORNAIMMCARTAGEO,GEOMAPIMAGEUPDATE
AGGIORNANNOT,ANNOUPDATE
AGGIORNAVISTA,VIEWUPDATE
AGGIORNCOLLDATI,DATALINKUPDATE
AGGVC,CVADD
AGGVISANTEPRIMA,UPDATETHUMBSNOW
AI_CIRCTAN,AI_CIRCTAN
AI_PSPACE,AI_PSPACE
AIDIMPREC,AIDIMPREC
AIDIMSTYLE,AIDIMSTYLE
AIDIMTEXTMOVE,AIDIMTEXTMOVE
alfa blending,alpha-blend
ALIASEDIT,ALIASEDIT
ALIGNSPACE,ALIGNSPACE
alimentatore,feeder
ALKIS,ALKIS
ALLEGADGN,DGNATTACH
ALLEGADWF,DWFATTACH
ALLEGAMATER,MATERIALATTACH
ALLEGAPDF,PDFATTACH
ALLINEA3D,3DALIGN
ALLINEATESTO,TEXTALIGN
ALLMULTIDIR,MLEADERALIGN
altezza,elevation
altezza della maiuscola,cap height
alzata,riser
ambiente AutoLISP,AutoLISP environment
AMBIENTERENDER,RENDERENVIRONMENT
analisi curvatura,curvature analysis
analisi delle proprietà,properties inspector
analisi sformo,draft analysis
analisi superficie,surface analysis
analisi Zebra,zebra analysis
ANALISICURVATURA,ANALYSISCURVATURE
ANALISIDESKTOP,DESKTOPANALYTICS
ANALISISFORMO,ANALYSISDRAFT
ANALISIZEBRA,ANALYSISZEBRA
ANALIZZATOREPREST,PERFANALYZER
ancorare,dock
anello sovrapposto,overlapping ring
angolo di deflessione,angle of deflection
angolo di inclinazione,oblique angle
angolo di rotazione,rotation angle
angolo di snap,snap angle
angolo inscritto,included angle
ANIMAPERC,ANIPATH
annotazione,annotation
annullare tutte le modifiche,rollback
ANNULLARITNUVPUNTI,POINTCLOUDUNCROP
ANTEPRIMA,PREVIEW
APERTURA,APERTURE
app Mobile Autocad,Autocad Mobile app
APPAUTOLOADER,APPAUTOLOADER
APPFOT,CAMERA
APPLOAD,APPLOAD
APPSTORE,APPSTORE
APPTESTOR,RTEXTAPP
APRIASSISTENTE,ASSISTANTOPEN
APRIBROWSER,BROWSEROPEN
APRIBROWSERMAT,MATBROWSEROPEN
APRICOLLIPERT,HYPERLINKOPEN
APRIDACLOUD,OPENFROMCLOUD
APRIDAWEBMOBILE,OPENFROMWEBMOBILE
APRIDWFREVISIONI,OPENDWFMARKUP
APRIEDITORMAT,MATEDITOROPEN
APRIFILE,FILEOPEN
APRIGRUPPOFOGLI,OPENSHEETSET
APRIINFOAPPROFATTIV,ACTIVITYINSIGHTSOPEN
APRIPARZIALE,PARTIALOPEN
APRIPUSHTODOCS,PUSHTODOCSOPEN
aprire,roll open
APRITAVOLOZZATRACCIA,TRACEPALETTEOPEN
arco,arc
ARCOQUOTA,DIMARC
ARCTEXT,ARCTEXT
AREA,AREA
area delimitata,bounded area
area di delimitazione,bounding area
area di disegno,canvas
area di notifica,tray
AREACONTEGGIO,COUNTAREA
ARG,ARG
ARX,ARX
ASSEGNAMATER,MATERIALASSIGN
ASSISTENZAREVISIONE,MARKUPASSIST
ASSOCIABLOC,BASSOCIATE
ASSOCIAMODELLOCOORDINAMENTO,COORDINATIONMODELATTACH
Associative QDIM extension,Associative QDIM extension
associazione quote,dimension association
ATIL,ATIL
ATTACCAIMM,IMAGEATTACH
ATTACCANUVPUNTI,POINTCLOUDATTACH
ATTACCAURL,ATTACHURL
attacco orizzontale,horizontal landing
ATTIN,ATTIN
Attivatore automatico,Live Enabler
ATTOUT,ATTOUT
ATTREDEF,ATTREDEF
ATTSCHINT,CLEANSCREENON
AutoCAD per dispositivi mobili,AutoCAD Mobile
AUTOCOMLAYOUT,LAYOUTWIZARD
AUTOCOMPCIN,PCINWIZARD
AUTOCOMPENNER14,R14PENWIZARD
Autodesk Assistant,Autodesk Assistant
Autodesk Content Explorer,Autodesk Content Explorer
Autodesk DWG TrueView Sequoia,DWG TrueView
AUTODESKCONNECTIONPOINT,AUTODESKCONNECTIONPOINT
AutoLISP Project Files,AutoLISP
AUTOPUBBL,AUTOPUBLISH
AVANTICOLLIPERT,HYPERLINKFWD
avviso relativo alla licenza,license alert
azimut,azimuth
azione di stiramento,stretch action
AZIONEBLOC,BACTION
AZIONEGEST,ACTMANAGER
AZIONEINPUTUT,ACTUSERINPUT
AZIONEMESSUT,ACTUSERMESSAGE
AZIONEPUNTOBASE,ACTBASEPOINT
AZIONEREG,ACTRECORD
AZIONESTOP,ACTSTOP
bacino di ritenuta,retention tank
BAR_STRU,TOOLBAR
BARAZIONEBLOC,BACTIONBAR
BARNAV,NAVBAR
barra dei vincoli,constraint bar
BARRAAPPLICAZIONI,TASKBAR
BARRAVINC,CONSTRAINTBAR
BASE,BASE
base di regole,rule base
BASETAGLIO,CUTBASE
BCOUNT,BCOUNT
BDA,BDA
BEXTEND,BEXTEND
BLOB,BLOB
BLOCCALAY,LAYLCK
blocco etichetta,label block
blocco intelligente,smart block
blocco sostitutivo,substitute block
BLOCCOICONA,BLOCKICON
BLOCCOSTR,BCONSTRUCTION
BLOCK?,BLOCK?
BLOCKMRULIST,BLOCKMRULIST
BLOCKREPLACE,BLOCKREPLACE
BLOCKTOXREF,BLOCKTOXREF
BLOCPARAMVINC,BCPARAMETER
BMAKE,BMAKE
BMPOUT,BMPOUT
BOM,BOM
booleano,boolean
BREAKLINE,BREAKLINE
BROWSER,BROWSER
BSCALE,BSCALE
BTRIM,BTRIM
BURST,BURST
CAL,CAL
CalcRapida,QuickCalc
calibrazione dell'apparecchio fotografico,camera calibration
CAMBIASPAZIO,CHSPACE
camera di combustione,combustion chamber
CAMPOCONTEGGIO,COUNTFIELD
CAMPODATI,FIELD
canale di informazioni,information channel
CANCELLA,ERASE
CANCESERC,TUTCLEAR
CAPROP,CHPROP
CARICAIUPERS,CUILOAD
CARICAPARZIALE,PARTIALOAD
CARICAWEB,WEBLOAD
CARMENU,MENULOAD
CARTAGEO,GEOMAP
cartella controllata,watched folder
cartella di avvio,Start In folder
cartella di disegno,drawing folder
cartiglio,title block
CDORDER,CDORDER
centrale di produzione combinata di energia elettrica e calore,combined electric and heat generating station
centrale elettrica,power station
centro,center mark
Centro aiuto integrato,Launchpad
CERCHIO,CIRCLE
CHAR,CHAR
CHIAMASCRIPT,SCRIPTCALL
CHIUDIADC,ADCCLOSE
CHIUDIAMBIENTERENDERING,RENDERENVIRONMENTCLOSE
CHIUDIANALIZZATOREPREST,PERFANALYZERCLOSE
CHIUDIAREACONTEGGIO,COUNTAREACLOSE
CHIUDIASSISTENTE,ASSISTANTCLOSE
CHIUDIBARRAMULTIF,RIBBONCLOSE
CHIUDIBLOC,BCLOSE
CHIUDIBROWSER,BROWSERCLOSE
CHIUDIBROWSERMAT,MATBROWSERCLOSE
CHIUDICALCRAP,QCCLOSE
CHIUDICONFRONTO,COMPARECLOSE
CHIUDICONTEGGIO,COUNTCLOSE
CHIUDIEDITORMAT,MATEDITORCLOSE
CHIUDIELENCOCONTEGGIO,COUNTLISTCLOSE
CHIUDIELENCOLUCI,LIGHTLISTCLOSE
CHIUDIESPOSRENDERING,RENDEREXPOSURECLOSE
CHIUDIFINRENDER,RENDERWINDOWCLOSE
CHIUDIGESTIONENUVPUNTI,POINTCLOUDMANAGERCLOSE
CHIUDIINFOAPPROFATTIV,ACTIVITYINSIGHTSCLOSE
CHIUDILAY,LAYERCLOSE
CHIUDIMACROCOMANDI,COMMANDMACROSCLOSE
CHIUDIMATER,MATERIALSCLOSE
CHIUDIPARAM,PARAMETERSCLOSE
CHIUDIPREFREND,RPREFCLOSE
CHIUDIPREIMPRENDERING,RENDERPRESETSCLOSE
CHIUDIPROP,PROPERTIESCLOSE
CHIUDIPROPRSOLE,SUNPROPERTIESCLOSE
CHIUDIPUSHTODOCS,PUSHTODOCSCLOSE
CHIUDIREVIS,MARKUPCLOSE
CHIUDIRIF,REFCLOSE
CHIUDIRIFESTERNI,EXTERNALREFERENCESCLOSE
CHIUDISCHEDEFILE,FILETABCLOSE
CHIUDISCHIZZOVISTA,VIEWSKETCHCLOSE
CHIUDISERIE,ARRAYCLOSE
CHIUDISPAZIMESH,MESHCAP
CHIUDISTILIVISUAL,VISUALSTYLESCLOSE
CHIUDITAVCREABLOC,BAUTHORPALETTECLOSE
CHIUDITAVOLOZZABLOCCHI,BLOCKSPALETTECLOSE
CHIUDITAVOLOZZATRACCIA,TRACEPALETTECLOSE
CHIUDITAVOLOZZESTRUMENTI,TOOLPALETTESCLOSE
CHIUDITUTTI,CLOSEALL
CHIUDITUTTIGLIALTRI,CLOSEALLOTHER
CHIUDIVISTECONDIVISE,SHAREDVIEWSCLOSE
CHIUSURACONFRONTOX,XCOMPARECLOSE
CHIUSURACRONOLOGIADWG,DWGHISTORYCLOSE
CHURLS,CHURLS
ciclo di interruzione,break loop
CILINDRO,CYLINDER
CIMASPIGOLO,CHAMFEREDGE
circuito derivato,branch circuit
classificare,collate
CLIP,CLIP
CLIPIT,CLIPIT
CLOB,CLOB
CNUOVO,QNEW
codice di richiesta,request code
codice EPSG,EPSG code
COLLDATI,DATALINK
COLLEGA,COPYLINK
COLLEGADB,DBCONNECT
COLLIPERT,HYPERLINK
COLORE,COLOR
colore indice,index color
colore tinta,tint color
comando VLIDE,VLIDE command
combinazione di norma,code combination
completamento automatico,AutoComplete
componente schematico,schematic component
composizione in rilievo,bump
compressione,compression
COMPRIMIMESH,MESHCOLLAPSE
concentrico,concentric
CONDIVIDIDISONLINE,ONLINEDESIGNSHARE
CONDIVIDIVISTA,SHAREVIEW
condizione di arresto,stop condition
CONFB_STRU,TBCONFIG
CONFIGCASSETTO,TRAYSETTINGS
CONFIGGRAFICA,GRAPHICSCONFIG
CONFIGR,RCONFIG
CONFIGURA,CONFIG
confine catastale,property line
CONFRONTAINFO,COMPAREINFO
CONFRONTOVERSIONI,VERSIONCOMPARE
CONFRONTOX,XCOMPARE
CONGLAY,LAYFRZ
CONO,CONE
CONTEGGIOSELEZIONE,SELECTCOUNT
Contenuto AEC,AEC content
contesto di rendering,render context
CONTORNI,BOUNDARY
contorno di sezione,section boundary
CONTRASSPOSGEO,GEOMARKPOSITION
CONTRASSPOSGEOLATLONG,GEOMARKLATLONG
CONTRASSPOSGEOPERS,GEOMARKME
CONTRASSPOSGEOPUNTO,GEOMARKPOINT
Controllo batch per standard,Batch Standards Checker
controllo delle interferenze,interference check
CONTRSTANDARD,CHECKSTANDARDS
CONVERSAME,AMECONVERT
CONVERTCTB,CONVERTCTB
CONVERTIDWG,DWGCONVERT
CONVERTILUCIPREC,CONVERTOLDLIGHTS
CONVERTIMATPREC,CONVERTOLDMATERIALS
CONVERTIPOLI,CONVERTPOLY
CONVERTSTILIST,CONVERTPSTYLES
CONVINMESH,CONVTOMESH
CONVINNURBS,CONVTONURBS
CONVINSOLIDO,CONVTOSOLID
CONVINSUPERF,CONVTOSURFACE
CONVLAYER,LAYTRANS
CONVSPAZIO,SPACETRANS
copia globale,bulk copy
copia speculare grip,grip mirror
COPIACLIP,COPYCLIP
COPIACRONO,COPYHIST
COPIADATRACCIA,COPYFROMTRACE
COPIAPROP,PAINTER
COPIAPROPRCELLA,MATCHCELL
COPIAPUNTOB,COPYBASE
COPIASULAY,COPYTOLAYER
COPYM,COPYM
CORRISPROP,MATCHPROP
CRC,CRC
CREAAPPLISP,MAKELISPAPP
Creazione e modifica interattive,Interactive Create & Edit
Creazione report,Report Designer
cronologia dello strumento Riavvolgi,rewind history
CRONOLOGIADWG,DWGHISTORY
CRS,CRS
CSS,CSS
CUNEO,WEDGE
cursore di selezione del digitalizzatore,digitizer puck
curva del profilo,profile curve
curva della traiettoria,path curve
curva periodica,periodic curve
curvatura,bulge
curvatura del vertice,vertex bulge
CV,CV
CWFU,CWFU
dashboard del progetto,project dashboard
DATA,DATE
data di restituzione,return date
DBCCONFIGURE,DBCCONFIGURE
DBCCONNECT,DBCCONNECT
DBCDEFINELLT,DBCDEFINELLT
DBCDEFINELT,DBCDEFINELT
DBCDELETELINKS,DBCDELETELINKS
DBCDELETELLT,DBCDELETELLT
DBCDELETELT,DBCDELETELT
DBCDELETEQRY,DBCDELETEQRY
DBCDISCONNECT,DBCDISCONNECT
DBCEDITLINKEDTABLE,DBCEDITLINKEDTABLE
DBCEDITLLT,DBCEDITLLT
DBCEDITLT,DBCEDITLT
DBCEDITQRY,DBCEDITQRY
DBCEDITTABLE,DBCEDITTABLE
DBCEXECUTEQRY,DBCEXECUTEQRY
DBCEXPORTLINKS,DBCEXPORTLINKS
DBCEXPORTQS,DBCEXPORTQS
DBCEXPORTTS,DBCEXPORTTS
DBCHIDELABELS,DBCHIDELABELS
DBCIMPORTQRY,DBCIMPORTQRY
DBCIMPORTQS,DBCIMPORTQS
DBCIMPORTTS,DBCIMPORTTS
DBCLINKCONVERSION,DBCLINKCONVERSION
DBCLINKMANAGER,DBCLINKMANAGER
DBCRELOADLABELS,DBCRELOADLABELS
DBCSELECTLINKS,DBCSELECTLINKS
DBCSHOWLABELS,DBCSHOWLABELS
DBCVIEWLINKEDTABLE,DBCVIEWLINKEDTABLE
DBCVIEWTABLE,DBCVIEWTABLE
DDATTE,DDATTE
DDGRIPS,DDGRIPS
DDIM,DDIM
DDIMODI,DDRMODES
DDINSERT,DDINSERT
DDPLOTSTAMP,DDPLOTSTAMP
DDSELECT,DDSELECT
DDSTILE,DDSTYLE
DDUCS,DDUCS
DDUCSP,DDUCSP
DDUNITS,DDUNITS
DDVPOINT,DDVPOINT
dedurre vincoli,infer constraints
DEFATT,ATTDEF
DEMOESERC,TUTDEMO
descrizione comando progressiva,progressive tooltip
Design Review,Design Review
Design Web Format,Design Web Format
deviare,kink
deviazione standard,standard deviation
diagramma schematico,schematic diagram
diametro,diameter
Digital Signature Extension,Digital Signature Extension
DIM,DIM
DIM1,DIM1
