source,target
3D 移動ギズモ,3D Move gizmo
3D 回転ギズモ,3D Rotate gizmo
3D 尺度変更ギズモ,3D Scale gizmo
3D 位置合わせ,3DALIGN
3D 配列複写,3DARRAY
3D クリップ,3DCLIP
3D 継続オービット,3DCORBIT
3D 距離,3DDISTANCE
3D DWF,3DDWF
3D DWF パブリッシュ,3DDWFPUBLISH
3D 面,3DFACE
3D フライスルー,3DFLY
3D 自由オービット,3DFORBIT
3D メッシュ,3DMESH
3D 移動,3DMOVE
3D オービット,3DORBIT
3D オービット中心設定,3DORBITCTR
3DORBITTRANSPARENT,3DORBITTRANSPARENT
3D 画面移動,3DPAN
3DPANTRANSPARENT,3DPANTRANSPARENT
3D ポリライン,3DPOLY
3D プリント,3DPRINT
3D プリント サービス,3DPRINTSERVICE
3D 回転,3DROTATE
3D 尺度変更,3DSCALE
3DS 読み込み,3DSIN
3D 旋回,3DSWIVEL
3DSWIVELTRANSPARENT,3DSWIVELTRANSPARENT
3D ウォークスルー,3DWALK
3D ズーム,3DZOOM
3DZOOMTRANSPARENT,3DZOOMTRANSPARENT
ACA,ACA
ACADBLOCKDIALOG,ACADBLOCKDIALOG
ACADINFO,ACADINFO
ACADWBLOCKDIALOG,ACADWBLOCKDIALOG
ACIS 読み込み,ACISIN
ACIS 書き出し,ACISOUT
ACS,ACS
アクション マクロ基点挿入,ACTBASEPOINT
アクション エディタ,action editor
アクション マクロ管理,ACTMANAGER
アクション マクロ記録,ACTRECORD
アクション マクロ記録停止,ACTSTOP
アクション マクロ ユーザ入力,ACTUSERINPUT
アクション マクロ メッセージ挿入,ACTUSERMESSAGE
ADC,ADC
デザインセンターを閉じる,ADCCLOSE
ADCCUSTOMNAVIGATE,ADCCUSTOMNAVIGATE
デザインセンター,ADCENTER
デザインセンター パス設定,ADCNAVIGATE
選択オブジェクト追加,ADDSELECTED
AEC 図形,AEC entity
建設業界,AEC Industry
建設業界ブレイクアウト,AEC Industry Breakout
建設業界コレクション,AEC Industry Collection
建設業界の概要,AEC Industry Overview
建設業界パートナー,AEC Industry Partners
建設業界プレイブック,AEC Industry Playbook
建設業界販売アカデミー,AEC Industry Sales Academy
建設業界販売資料,AEC Industry Sales Materials
建設業界ソリューション,AEC Industry Solutions
建設業界の動向,AEC Industry Trends
AEC オブジェクト,AEC object
上空表示,aerial view
AI_CIRCTAN,AI_CIRCTAN
AI_PSPACE,AI_PSPACE
AIDIMPREC,AIDIMPREC
AIDIMSTYLE,AIDIMSTYLE
AIDIMTEXTMOVE,AIDIMTEXTMOVE
ALIASEDIT,ALIASEDIT
平行寸法,Aligned Dimension
ALIGNSPACE,ALIGNSPACE
ALKIS,ALKIS
全周記号,all-around symbol
ALLPLAY,ALLPLAY
アルファブレンド,alpha-blend
変換単位,alternate unit
高度測量,altimetry
AME 変換,AMECONVERT
AMSHIDE,AMSHIDE
解析オプション,ANALYSISOPTIONS
解析サーフェス,analytical surface
アニメーション パス,ANIPATH
尺度表現位置リセット,ANNORESET
注記,annotation
注釈拘束,annotational constraint
異尺度対応オブジェクト,annotative object
異尺度対応オブジェクト更新,ANNOUPDATE
電食,anode
電食ステーション,anode station
オブジェクト スナップ範囲設定,APERTURE
アプリケーション自動ロード,APPAUTOLOADER
外観スタイル,appearance style
アプリケーション ロード,APPLOAD
円弧,ARC
円弧の長さ,Arc Length
円弧の半径,Arc radius
円弧セグメンテーション,arc segmentation
円弧-線分距離,arc-chord distance
ARCTEXT,ARCTEXT
ARG,ARG
旧配列複写,ARRAYCLASSIC
配列複写編集モード終了,ARRAYCLOSE
配列複写編集,ARRAYEDIT
矩形状配列複写,ARRAYRECT
アセンブリ抽出テンプレート,assembly extraction template
自動調整配列,associative array
Associative QDIM extension,Associative QDIM extension
仮想ノズル,assumed nozzle
ATEXT,ATEXT
ATIL,ATIL
URL アタッチ,ATTACHURL
属性定義,ATTDEF
属性表示,ATTDISP
属性編集,ATTEDIT
属性書き出し,ATTEXT
ATTIN,ATTIN
属性値インプレイス編集,ATTIPEDIT
ATTOUT,ATTOUT
属性再定義,ATTREDEF
属性同期,ATTSYNC
AutoCAD ブロック,AutoCAD block
AutoCAD カラー インデックス,AutoCAD color index
AutoCAD モバイル,AutoCAD Mobile
Autocad Mobile アプリ,Autocad Mobile app
自動拘束,AUTOCONSTRAIN
Autodesk Assistant,Autodesk Assistant
AUTODESKCONNECTIONPOINT,AUTODESKCONNECTIONPOINT
AutoLISP 開発,AutoLISP development
AutoLISP 環境,AutoLISP environment
自動パブリッシュ,AUTOPUBLISH
補助座標系,auxiliary coordinate system
軸方向応力,axial stress
軸オフセット,axis offset
方位,azimuth
背景,BACKGROUND
ビード,backing strip
逆流ゲート,backwater gate
ブロック アクション,BACTION
ブロック アクション バー,BACTIONBAR
ブロック アクション選択セット,BACTIONSET
ブロック アクション追加,BACTIONTOOL
ボール ミル,ball mill
基点,base point
ブロック アクション関連付け,BASSOCIATE
バッチ標準チェッカー,Batch Standards Checker
ブロック属性管理,BATTMAN
ブロック属性順序,BATTORDER
ボーレート,baud rate
ブロック オーサリングを開く,BAUTHORPALETTE
ブロック オーサリングを閉じる,BAUTHORPALETTECLOSE
ブロック エディタを閉じる,BCLOSE
構築ジオメトリ変換,BCONSTRUCTION
BCOUNT,BCOUNT
ブロック拘束パラメータ,BCPARAMETER
循環順序,BCYCLEORDER
ブロック エディタ,BEDIT
地下,below grade
ブロック エディタ設定,BESETTINGS
ベベル,bevel
BEXTEND,BEXTEND
ブロック グリップ設定,BGRIPSET
境界ハッチング,BHATCH
部品表,bill of materials
バイナリ ラージ オブジェクト,binary large object
モノクロ イメージ,bitonal image
ブレンド モード,blend mode
BLOB,BLOB
ブロック オーサリング オブジェクト,block authoring object
ブロック ライブラリ,block library
ブロック置換,block replacement
ブロック アイコン,BLOCKICON
BLOCKMRULIST,BLOCKMRULIST
BLOCKNAVIGATE,BLOCKNAVIGATE
BLOCKREPLACE,BLOCKREPLACE
ブロック パレットを閉じる,BLOCKSPALETTECLOSE
BLOCKTOXREF,BLOCKTOXREF
ブロック ルックアップ テーブル,BLOOKUPTABLE
ブローオフ バルブ,blow off valve
ブロック説明修正,BMOD
BMP 書き出し,BMPOUT
ブール,boolean
境界ボックス,bounding box
ブロック パラメータ,BPARAMETER
BPOLY,BPOLY
分岐回路,branch circuit
break ループ,break loop
ブレーク ポイント,break point
ブレーカ,breaker
BREAKLINE,BREAKLINE
破断線,break-out line
ブレークポイント,breakpoint
境界表現,BREP
ブラウザ,BROWSER
BROWSERCLOSE,BROWSERCLOSE
BROWSEROPEN,BROWSEROPEN
