source,target
3D 메쉬 기본체,3D mesh primitive
3D 이동 장치,3D Move gizmo
3D 회전 장치,3D Rotate gizmo
3D 축척 장치,3D Scale gizmo
ACS,ACS
AEC 컨텐츠,AEC content
AEC 도면요소,AEC entity
AEC 객체,AEC object
정렬 치수,Aligned Dimension
정렬 단면도,aligned section view
ALKIS,ALKIS
온둘레 기호,all-around symbol
알파 혼합,alpha-blend
대체 단위,alternate unit
고도계,altimetry
해석 표면,analytical surface
편각,angle of deflection
주석,annotation
주석 구속조건,annotational constraint
주석 객체,annotative object
양극,anode
양극 측점,anode station
모양 스타일,appearance style
호,arc
호 세그먼트화,arc segmentation
호-현 거리,arc-chord distance
영역 값,area value
ARG,ARG
조립품 추출 템플릿,assembly extraction template
Associative QDIM extension,Associative QDIM extension
ATIL,ATIL
AutoCAD,AutoCAD
AutoCAD 블록,AutoCAD block
AutoCAD 색상 색인,AutoCAD color index
AutoCAD Electrical,AutoCAD Electrical
AutoCAD for Mac,AutoCAD for Mac
AutoCAD including specialized toolsets,AutoCAD including specialized toolsets
AutoCAD LT,AutoCAD LT
AutoCAD LT for Mac,AutoCAD LT for Mac
AutoCAD Map 3D,AutoCAD Map 3D
AutoCAD Mechanical,AutoCAD Mechanical
AutoCAD Migration Assistance,AutoCAD Migration Assistance
AutoCAD 모바일,AutoCAD Mobile
AutoCAD Mobile 앱을,Autocad Mobile app
AutoCAD OEM,AutoCAD OEM
AutoCAD P&ID,AutoCAD P&ID
AutoCAD Plant 3D,AutoCAD Plant 3D
AutoCAD Raster Design,AutoCAD Raster Design
AutoCAD Revit Architecture Suite,AutoCAD Revit Architecture Suite
자동 완성,AutoComplete
Autodesk Assistant,Autodesk Assistant
Autodesk Content Explorer,Autodesk Content Explorer
오토데스크 제조 커뮤니티 포털,Autodesk Manufacturing Community Portal
AutoLISP 개발,AutoLISP development
AutoLISP 환경,AutoLISP environment
보조 좌표계,auxiliary coordinate system
방위각,azimuth
역류 게이트,backwater gate
볼 밀,ball mill
기준점,base point
기준선,baseline
배치 표준 검사기,Batch Standards Checker
전송 속도,baud rate
지하,below grade
대용량 이진 객체,binary large object
비트 이미지,bitonal image
혼합 모드,blend mode
혼합 표면,blend surface
BLOB,BLOB
블록 제작 객체,block authoring object
블록 정의,block definition
블록 라이브러리,block library
블록 특성 테이블,block properties table
블록 교체,block replacement
BLOCKNAVIGATE,BLOCKNAVIGATE
블록 팔레트,blocks palette
BLOCKSPALETTE,BLOCKSPALETTE
BLOCKSPALETTECLOSE,BLOCKSPALETTECLOSE
블로우 오프 밸브,blow off valve
BOM,BOM
경계 상자,bounding box
분기 회로,branch circuit
중단 루프,break loop
BREAKATPOINT,BREAKATPOINT
차단기,breaker
이탈선,break-out line
벌지,bulge
돌출 비율,bulge factor
대량 복사,bulk copy
범프,bump
범프 맵,bump map
범프 매핑,bump mapping
모선,bus bar
BYBLOCK,BYBLOCK
BYLAYER,BYLAYER
케이블 트레이,cable tray
케이블 트레이 부속,cable tray fitting
카메라 교정,camera calibration
카메라 그림 문자,camera glyph
캔버스,canvas
마감,cap
캡을 씌운 모깎기,cap filleting
캡 높이,cap height
축전지,capacitor
계단식 스타일 시트,Cascading Style Sheets
케이스,casing
케이스 모형,casing model
Catmull-Clark 세분화 표면,Catmull-Clark subdivision surface
중심선,center line
중심 표식,center mark
중심점,center point
모따기,chamfer
CHAR,CHAR
대용량 문자 객체,character large object
카이 제곱,chi square
하위 피쳐 클래스,child feature class
영화 샷,cinematic shot
써클립,circlip
회로 차단기,circuit breaker
회로,circuitry
CLASSICINSERT,CLASSICINSERT
객체 자르기,clip volume
자르기 평면,clipping plane
CLOB,CLOB
닫힌 모서리,closed edge
코드 조합,code combination
COGO,COGO
콜드 그립,cold grip
냉수기구배수부하,cold water fixture unit
동일선상 구속조건,colinear constraint
대조,collate
컬렉션,collection
연소실,combustion chamber
분쇄기,comminuting machine
COMPARECLOSE,COMPARECLOSE
COMPAREEXPORT,COMPAREEXPORT
COMPAREIMPORT,COMPAREIMPORT
구성요소 클래스,component class
구성요소 리스트,component list
복합 솔리드,composite solid
복합 기호,composite symbol
복합 기호 정의,compound symbol
압축,compression
계산된 길이,computed length
컨덕터,conductor
배선,conduit
덕트 장치,conduit fitting
커넥터 라인,connector line
커넥터 핀,connector pin
구속된 객체,constrained object
구속조건 막대,constraint bar
구속조건 매개변수,constraint parameter
구속점,constraint point
구속조건 변수,constraint variable
구성 선,construction line
컨텐츠 라이브러리,content library
컨텐츠 팩,content pack
제어 캐비닛,control cabinet
제어 케이블,control cable
제어 선체,control hull
제어점,control point
제어 정점 선체,control vertices hull
좌표계 추적기,coordinate system tracker
COUNTCLOSE,COUNTCLOSE
COUNTFIELD,COUNTFIELD
COUNTLIST,COUNTLIST
COUNTLISTCLOSE,COUNTLISTCLOSE
COUNTNAVNEXT,COUNTNAVNEXT
COUNTNAVPREV,COUNTNAVPREV
COUNTTABLE,COUNTTABLE
커버링 영역,covering area
CRC,CRC
횡단,cross section
횡단 덕트,cross section duct
CRS,CRS
CS 라이브러리,CS library
CSS,CSS
CUI 편집기,CUI editor
현재 디렉토리,current directory
곡률 분석,curvature analysis
고객 오류 보고,Customer Error Reporting
고객 지원,customer support
절단선,cutting line
CV,CV
CV 선체,CV hull
CWFU,CWFU
데이터 포인트,datumpoint
DCM 엔진,DCM Engine
고정 접합,dead joint symbol
장식 요소,decorative element
기본 다중 지시선 스타일,default mleader style
기본 플롯 스타일,default plot style
기본 테이블 스타일,default table style
DEFPOINTS,DEFPOINTS
종속성 강조,dependency highlighting
초점 심도,depth of field
깊이 폴리곤,depth polygon
Design Review,Design Review
Design Web Format,Design Web Format
