source,target
ALKIS,ALKIS
Associative QDIM extension,Associative QDIM extension
ATIL,ATIL
AutoCAD Migration Assistance,AutoCAD Migration Assistance
AutoCAD móvil,AutoCAD Mobile
Autodesk Content Explorer,Autodesk Content Explorer
BLOB,BLOB
CHAR,CHAR
CLOB,CLOB
CRS,CRS
CSS,CSS
CV,CV
CWFU,CWFU
Design Web Format,Design Web Format
Digital Signature Extension,Digital Signature Extension
DMS,DMS
DOF,DOF
DPI,DPI
DTED,DTED
DWF,DWF
DWG Convert,DWG Convert
DXF,DXF
ESW,ESW
FDO,FDO
Google Earth,Google Earth
i-drop Enhancer,i-drop Enhancer
ISA,ISA
KML,KML
KMZ,KMZ
mental ray,mental ray
NANT,NANT
NAS,NAS
NCLOB,NCLOB
ObjectARX,ObjectARX
Ohm,Ohm
P&ID,P&ID
PIP,PIP
PolarSnap,PolarSnap
ShapeManager,ShapeManager
SketchUp,SketchUp
XSL,XSL
