source,target
metauchwyt Przesunięcie 3D,3D Move gizmo
metauchwyt Obrót 3D,3D Rotate gizmo
metauchwyt Skala 3D,3D Scale gizmo
3DWYRÓWNAJ,3DALIGN
3DSZYK,3DARRAY
3DPRZEKRÓJ,3DCLIP
3DCORBITA,3DCORBIT
3DODLEG,3DDISTANCE
3DDWF,3DDWF
OPUBLIKUJDWF3D,3DDWFPUBLISH
3DEDITBAR,3DEDITBAR
3WPOW,3DFACE
3DPRZELOT,3DFLY
3DWORBITA,3DFORBIT
SIATKA3W,3DMESH
3DPRZESUŃ,3DMOVE
3DORBITA,3DORBIT
3DORBITACRT,3DORBITCTR
3DPRZEZROCZYSTAORBITA,3DORBITTRANSPARENT
PRZYCIĄGOBIEKTU3D,3DOSNAP
3DNFRAGM,3DPAN
3DNFRAGMPROST,3DPANTRANSPARENT
3WPLINIA,3DPOLY
DRUKUJ3D,3DPRINT
USŁUGADRUKU3D,3DPRINTSERVICE
3DOBRÓT,3DROTATE
SKALA3D,3DSCALE
3DSWE,3DSIN
3DKAMERA,3DSWIVEL
3DPRZEZROCZYSTAKAM,3DSWIVELTRANSPARENT
3DSPACER,3DWALK
3DZOOM,3DZOOM
3DZOOMPROST,3DZOOMTRANSPARENT
ACA,ACA
ACADBLOCKDIALOG,ACADBLOCKDIALOG
ACADINFO,ACADINFO
ACADWBLOCKDIALOG,ACADWBLOCKDIALOG
ACISWE,ACISIN
ACISWY,ACISOUT
PUNKTBAZOPER,ACTBASEPOINT
ZAMKNIJSPOSTRZAKTYW,ACTIVITYINSIGHTSCLOSE
OTWÓRZSPOSTRZAKTYW,ACTIVITYINSIGHTSOPEN
MENEDŻERREJOP,ACTMANAGER
REJOP,ACTRECORD
REJOPSTOP,ACTSTOP
REJOPWPROW,ACTUSERINPUT
REJOPKOMUNIKAT,ACTUSERMESSAGE
ADC,ADC
ADCZAMKNIJ,ADCCLOSE
ADCAPLUŻYT,ADCCUSTOMNAVIGATE
ADCENTER,ADCENTER
ADCPRZEJDŹ,ADCNAVIGATE
ADDSELECTED,ADDSELECTED
AI_CIRCTAN,AI_CIRCTAN
AI_PSPACE,AI_PSPACE
AIDIMPREC,AIDIMPREC
AIDIMSTYLE,AIDIMSTYLE
AIDIMTEXTMOVE,AIDIMTEXTMOVE
ALIASEDIT,ALIASEDIT
przekrój dopasowany,aligned section view
ALIGNSPACE,ALIGNSPACE
ALKIS,ALKIS
