source,target
ALKIS,ALKIS
Associative QDIM extension,Associative QDIM extension
ATIL,ATIL
AutoCAD Migration Assistance,AutoCAD Migration Assistance
AutoCAD para dispositivos móveis,AutoCAD Mobile
Autodesk Content Explorer,Autodesk Content Explorer
BLOB,BLOB
CHAR,CHAR
CLOB,CLOB
CRS,CRS
CSS,CSS
CV,CV
CWFU,CWFU
Design Web Format,Design Web Format
Digital Signature Extension,Digital Signature Extension
DMS,DMS
DOF,DOF
DPI,DPI
Drawing Interchange Format,Drawing Interchange Format
DTED,DTED
DWF,DWF
DWG Convert,DWG Convert
DXF,DXF
ESW,ESW
Extensible Markup Language,Extensible Markup Language
Extensible Stylesheet Language,Extensible Stylesheet Language
FDO,FDO
Google Earth,Google Earth
i-drop Enhancer,i-drop Enhancer
ISA,ISA
Keyhole Markup Language,Keyhole Markup Language
KML,KML
KMZ,KMZ
mental ray,mental ray
NANT,NANT
NAS,NAS
NCLOB,NCLOB
ObjectARX,ObjectARX
Ohm,Ohm
P&ID,P&ID
PIP,PIP
PolarSnap,PolarSnap
ShapeManager,ShapeManager
SketchUp,SketchUp
XSL,XSL
